Protein,Cluster
IL8,1
VEGFA,2
CD8A,3
MCP-3,2
CDCP1,3
CD244,4
IL7,1
OPG,2
LAP TGF-beta-1,1
uPA,3
IL6,2
MCP-1,2
CXCL11,3
AXIN1,1
TRAIL,4
CXCL9,2
CST5,4
OSM,1
CXCL1,3
CCL4,1
CD6,4
SCF,4
IL18,3
SLAMF1,4
TGF-alpha,1
MCP-4,1
CCL11,4
TNFSF14,1
MMP-1,1
LIF-R,3
FGF-21,3
CCL19,3
IL-10RB,4
IL-18R1,3
PD-L1,2
CXCL5,4
TRANCE,4
HGF,1
IL-12B,3
MMP-10,3
IL10,3
TNF,3
CCL23,3
CD5,4
CCL3,1
Flt3L,4
CXCL6,4
CXCL10,3
4E-BP1,3
SIRT2,1
DNER,4
EN-RAGE,1
CD40,1
IFN-gamma,3
FGF-19,3
MCP-2,3
CASP-8,1
CCL25,4
CX3CL1,2
TNFRSF9,4
TWEAK,4
CCL20,2
ST1A1,1
STAMBP,1
ADA,2
TNFB,4
CSF-1,3
