Assay	term	Day1	TR1	SRF1	Day2	TR2	SRF2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value	Day	group1	group2	emmean1	emmean2	x1	x2	x_center	y_position	label	x_offset	x_pos
CD8A	Day*Allocation*srf14	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.3275318017054513	0.1313371026472319	1124.120336355761	2.4938253936147303	0.01278031670706538	0.03077343007805447	4	Anakinra.No	Anakinra.Yes	0.045002196849136394	-0.28252960485631495	1	3	2	0.2450021968491364	*	-0.15	1.85
CD8A	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.2891981925257928	0.1296194553161694	1093.8146172878746	2.2311326013550743	0.025874430371946325	0.04685369824109199	7	Anakinra.No	Anakinra.Yes	0.057353525037938974	-0.23184466748785382	1	3	2	0.25735352503793896	*	-0.15	2.85
MCP-3	Day*Allocation*srf14	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.3241293429744453	0.1215284641630276	988.2732772629661	-2.6671063870241407	0.007775807382500327	0.040075314971347836	1	Anakinra.No	Anakinra.Yes	0.19392772660587734	0.5180570695803226	1	3	2	0.7180570695803226	*	-0.15	0.85
MCP-3	Day*Allocation*srf14	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.6790766775861921	0.1236232429497982	1022.9316820018976	-5.49311489799662	4.9831279426960236e-8	1.1128985738687786e-6	4	Anakinra.No	Anakinra.Yes	-0.28499278152602	0.3940838960601721	1	3	2	0.5940838960601721	***	-0.15	1.85
MCP-3	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-1.074360677501887	0.12325722135380772	1016.6764115592717	-8.716411628475328	1.150878725518978e-17	3.8554437304885767e-16	7	Anakinra.No	Anakinra.Yes	-0.5981281573860087	0.4762325201158785	1	3	2	0.6762325201158785	***	-0.15	2.85
CD244	Day*Allocation*srf14	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.5514696618705646	0.1252148661669846	1076.2759128000846	4.404186809057745	1.1677794169801544e-5	9.780152617208794e-5	4	Anakinra.No	Anakinra.Yes	0.15046386323714953	-0.4010057986334151	1	3	2	0.3504638632371495	***	-0.15	1.85
CD244	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.6823774237941351	0.12452166786051054	1063.0950280317738	5.479989430903992	5.3103123905482415e-8	5.08272757381046e-7	7	Anakinra.No	Anakinra.Yes	0.43919433753322107	-0.243183086260914	1	3	2	0.6391943375332211	***	-0.15	2.85
OPG	Day*Allocation*srf14	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.3194076709754439	0.12239800474186746	1024.5621300555272	-2.6095823346880698	0.009197450189572727	0.044016368764383765	1	Anakinra.No	Anakinra.Yes	0.35399729642474254	0.6734049674001865	1	3	2	0.8734049674001865	*	-0.15	0.85
OPG	Day*Allocation*srf14	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.45763115427410395	0.12473969550793487	1066.8772074426217	-3.6686890440981825	2.558411832815169e-4	9.522977377700907e-4	4	Anakinra.No	Anakinra.Yes	-0.06924973061906928	0.38838142365503464	1	3	2	0.5883814236550347	***	-0.15	1.85
OPG	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.6400948225023726	0.12405831974922343	1053.7688609952813	-5.159628340898752	2.95545550959235e-7	1.9801551914268744e-6	7	Anakinra.No	Anakinra.Yes	-0.3478821120309967	0.29221271047137587	1	3	2	0.4922127104713759	***	-0.15	2.85
uPA	Day*Allocation*srf14	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.3167017914469457	0.12806475653953267	1210.906448412488	-2.472981638388405	0.013535570058716933	0.03077343007805447	4	Anakinra.No	Anakinra.Yes	-0.1487104231843311	0.1679913682626146	1	3	2	0.3679913682626146	*	-0.15	1.85
uPA	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.3187005993721188	0.12722957974515298	1197.7386432998035	-2.504925348417338	0.012379699996849841	0.02858763807792226	7	Anakinra.No	Anakinra.Yes	-0.13640870164114588	0.1822918977309729	1	3	2	0.38229189773097294	*	-0.15	2.85
IL6	Day*Allocation*srf14	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.50012897064369	0.11482747947639621	1127.2482216655787	-4.355481570476306	1.448603747807567e-5	8.090277116271063e-4	1	Anakinra.No	Anakinra.Yes	0.32166308040481023	0.8217920510485002	1	3	2	1.0217920510485001	***	-0.15	0.85
IL6	Day*Allocation*srf14	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.723407668473311	0.11731648535215967	1169.5331068043704	-6.166291687837321	9.611425742188996e-10	3.2198276236333134e-8	4	Anakinra.No	Anakinra.Yes	-0.23751034327940265	0.48589732519390827	1	3	2	0.6858973251939082	***	-0.15	1.85
