Assay	term	contrast	Day1	TR1	SRF1	Day2	TR2	SRF2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value	Day	group1	group2	emmean1	emmean2	y_position	label	x_offset	x_pos
MCP-3	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.33468011116030877	0.11793177034249959	1090.796103310162	-2.837913059291188	0.004625107703439987	0.03098822161304791	1	Anakinra.No	Anakinra.Yes	0.17630551939673408	0.5109856305570428	0.7109856305570428	*	-0.15	0.85
MCP-3	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.6669796491210436	0.12041971770602651	1133.7667539734264	-5.538791003889424	3.7838949310021046e-8	8.450698679238033e-7	4	Anakinra.No	Anakinra.Yes	-0.3081865681699242	0.3587930809511194	0.5587930809511195	***	-0.15	1.85
MCP-3	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.8995913157167303	0.11969256409844486	1120.3342189623463	-7.515849647742808	1.1539590408192019e-13	3.865762786744326e-12	7	Anakinra.No	Anakinra.Yes	-0.5705170095335561	0.32907430618317424	0.5290743061831742	***	-0.15	2.85
CD244	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.5604929230035274	0.12212941358617757	1100.4737697762212	4.58933607020089	4.957788135692106e-6	4.745311501305301e-5	4	Anakinra.No	Anakinra.Yes	0.18243249029216715	-0.37806043271136014	0.3824324902921672	***	-0.15	1.85
CD244	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.6913521021874659	0.12142238887183228	1087.1199942943779	5.693777800049911	1.5979119496800168e-8	2.1412020125712225e-7	7	Anakinra.No	Anakinra.Yes	0.4712785097106986	-0.2200735924767673	0.6712785097106986	***	-0.15	2.85
OPG	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.2978141416633536	0.11038980200922523	1146.6482649763154	-2.697841070848786	0.007081488236541517	0.03649690091140628	1	Anakinra.No	Anakinra.Yes	0.33983982145949543	0.637653963122849	0.837653963122849	*	-0.15	0.85
OPG	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.4436284505075391	0.11286158335744553	1188.7002629660358	-3.930730345174381	8.957465362459754e-5	4.2867869948914536e-4	4	Anakinra.No	Anakinra.Yes	-0.08390631239658156	0.3597221381109575	0.5597221381109575	***	-0.15	1.85
OPG	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.6219179589153512	0.11213551555730096	1175.4114309742795	-5.546128323613519	3.605090757683366e-8	3.4505868680683646e-7	7	Anakinra.No	Anakinra.Yes	-0.365599055155453	0.2563189037598981	0.4563189037598981	***	-0.15	2.85
uPA	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.2949816987298635	0.12745674116004882	1212.7747786077691	-2.3143671809359363	0.02081399625373471	0.048087508586214675	4	Anakinra.No	Anakinra.Yes	-0.14420327849537004	0.15077842023449348	0.35077842023449346	*	-0.15	1.85
uPA	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.29696349616478984	0.12661547940498183	1199.6612701496542	-2.345396452000524	0.019169076779664267	0.03777435718345606	7	Anakinra.No	Anakinra.Yes	-0.13289842122252457	0.1640650749422653	0.3640650749422653	*	-0.15	2.85
IL6	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.48712221947132905	0.11313564614432607	1152.6961461566743	-4.305647566195997	1.8064950556584083e-5	0.0010772619445455767	1	Anakinra.No	Anakinra.Yes	0.30750753488525906	0.7946297543565881	0.9946297543565881	**	-0.15	0.85
IL6	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.7003220431430259	0.11568407382269029	1194.5830962266607	-6.053746380131927	1.891990595277514e-9	6.338168494179673e-8	4	Anakinra.No	Anakinra.Yes	-0.2408550271983526	0.45946701594467326	0.6594670159446733	***	-0.15	1.85
IL6	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-1.0996399700526969	0.11493508802527617	1181.330632831161	-9.567487082890365	6.139992213957507e-21	4.1137947833515293e-19	7	Anakinra.No	Anakinra.Yes	-0.6831788437088298	0.4164611263438671	0.6164611263438671	***	-0.15	2.85
MCP-1	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.4286667971550049	0.12743406015646705	1299.1841550971478	-3.3638322174517237	7.910808193545699e-4	0.0026501207448378092	4	Anakinra.No	Anakinra.Yes	-0.09380730518613091	0.334859491968874	0.5348594919688741	**	-0.15	1.85
