Assay	term	Day1	TR1	SRF1	Day2	TR2	SRF2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value	Day	group1	group2	emmean1	emmean2	x1	x2	x_center	y_position	label	x_offset	x_pos
IL8	Day*Allocation*srf14	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.6021322732646031	0.1645899915654151	1353.0499255668142	-3.6583772046995335	2.635655896732191e-4	0.001765889450810568	4	Placebo.No	Placebo.Yes	-0.10102115232217655	0.5011111209424265	2	4	3	0.7011111209424266	**	0.15	2.15
VEGFA	Day*Allocation*srf14	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.549758049255138	0.1635969088535123	992.1360005392554	-3.360442768190697	8.078367634336571e-4	0.003883085468909297	4	Placebo.No	Placebo.Yes	-0.06601103497264833	0.4837470142824897	2	4	3	0.6837470142824897	**	0.15	2.15
MCP-3	Day*Allocation*srf14	Day1	Placebo	No	Day1	Placebo	Yes	0	-0.6630458629929983	0.1520080641596727	986.7752480781097	-4.361912419965562	1.4247916850361478e-5	9.54610428974219e-4	1	Placebo.No	Placebo.Yes	0.18299234565413885	0.8460382086471372	2	4	3	1.0460382086471371	***	0.15	1.15
MCP-3	Day*Allocation*srf14	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.9888204524023457	0.15422295548684864	1016.6949149871252	-6.411629509244279	2.2006259092829783e-10	7.372096796097977e-9	4	Placebo.No	Placebo.Yes	-0.23206260924659763	0.7567578431557481	2	4	3	0.9567578431557482	***	0.15	2.15
MCP-3	Day*Allocation*srf14	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.9175160511410411	0.1544683561016983	1020.9136988478922	-5.939831783650046	3.908633731632912e-9	2.6187846001940514e-7	7	Placebo.No	Placebo.Yes	-0.3990537157164089	0.5184623354246322	2	4	3	0.7184623354246322	***	0.15	3.15
CD244	Day*Allocation*srf14	Day4	Placebo	No	Day4	Placebo	Yes	0	0.467633983317431	0.15731642107995536	1083.3962792619063	2.9725694247758034	0.003018466970105558	0.012387144199868813	4	Placebo.No	Placebo.Yes	0.1117677749327809	-0.3558662083846501	2	4	3	0.3117677749327809	*	0.15	2.15
CD244	Day*Allocation*srf14	Day7	Placebo	No	Day7	Placebo	Yes	0	0.8300364551852236	0.15791277838637002	1093.1422968110874	5.256296948650654	1.7667671904026834e-7	2.3674680351395957e-6	7	Placebo.No	Placebo.Yes	0.34484042852253705	-0.4851960266626866	2	4	3	0.544840428522537	***	0.15	3.15
OPG	Day*Allocation*srf14	Day1	Placebo	No	Day1	Placebo	Yes	0	-0.4886885329461931	0.15344850855369987	1024.8843965992123	-3.184706958394286	0.001492717162197995	0.011112449985251741	1	Placebo.No	Placebo.Yes	0.21391036313928322	0.7025988960854763	2	4	3	0.9025988960854763	*	0.15	1.15
OPG	Day*Allocation*srf14	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.7661503022014383	0.15671323466399106	1073.8905544004058	-4.888867898388682	1.1687742405029466e-6	1.3051312352282903e-5	4	Placebo.No	Placebo.Yes	-0.15250709526690726	0.613643206934531	2	4	3	0.813643206934531	***	0.15	2.15
IL6	Day*Allocation*srf14	Day1	Placebo	No	Day1	Placebo	Yes	0	-0.46992102448317985	0.14396084405175474	1127.8231981651384	-3.2642280446358076	0.0011305892595862006	0.010821354341753634	1	Placebo.No	Placebo.Yes	0.4004665457535227	0.8703875702367025	2	4	3	1.0703875702367025	*	0.15	1.15
IL6	Day*Allocation*srf14	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.8845911433206439	0.14745160854885203	1177.5713179478694	-5.999196292440384	2.6352815675730874e-9	5.885462167579895e-8	4	Placebo.No	Placebo.Yes	-0.1379296430810119	0.746661500239632	2	4	3	0.9466615002396319	***	0.15	2.15
IL6	Day*Allocation*srf14	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.8470442779108259	0.14808792506425478	1187.6930023944362	-5.719874037962898	1.3479928719014539e-8	3.010517413913247e-7	7	Placebo.No	Placebo.Yes	-0.31184094779719684	0.5352033301136291	2	4	3	0.7352033301136291	***	0.15	3.15
MCP-1	Day*Allocation*srf14	Day1	Placebo	No	Day1	Placebo	Yes	0	-0.6060041150420443	0.15711889312109215	1257.056773633549	-3.8569780056622127	1.20613652464253e-4	0.002020278678776238	1	Placebo.No	Placebo.Yes	0.04878613424560363	0.6547902492876478	2	4	3	0.8547902492876478	**	0.15	1.15
MCP-1	Day*Allocation*srf14	Day4	Placebo	No	Day4	Placebo	Yes	0	-1.1081837364854095	0.16143030213035373	1301.6338463830405	-6.864781406346868	1.0279479817332147e-11	6.887251477612538e-10	4	Placebo.No	Placebo.Yes	-0.10969858413637353	0.9984851523490359	2	4	3	1.1984851523490359	***	0.15	2.15
MCP-1	Day*Allocation*srf14	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.45872179391954354	0.16223214435918035	1311.0725529048038	-2.827564141073905	0.004761671814581954	0.015951600578849548	7	Placebo.No	Placebo.Yes	0.140937577795859	0.5996593717154025	2	4	3	0.7996593717154026	*	0.15	3.15
CXCL11	Day*Allocation*srf14	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.3643907967676056	0.1584040694192799	1050.8807643561654	-2.3003878505362083	0.021621421940968565	0.04673017000144818	4	Placebo.No	Placebo.Yes	-0.12765677208916873	0.23673402467843688	2	4	3	0.4367340246784369	*	0.15	2.15
