Assay	Day	Allocation	srf14	emmean	SE	df	lower.CL	upper.CL	group	color_class
MCP-1	1	Anakinra	No	-0.0070937085180935305	0.059237008580906754	1145.3453587059676	-0.12331893278676079	0.10913151575057373	Anakinra.No	Anakinra - SRF-
MCP-1	4	Anakinra	No	-0.09380730518613091	0.059471860433218796	1152.0899544641888	-0.21049259494652547	0.022877984574263655	Anakinra.No	Anakinra - SRF-
MCP-1	7	Anakinra	No	-0.08111887832954051	0.059890550245054096	1168.4823439875843	-0.1986239144647972	0.036386157805716204	Anakinra.No	Anakinra - SRF-
MCP-1	1	Placebo	No	0.050576929544810974	0.09116233456242154	1223.4088426158264	-0.12827490482186985	0.22942876391149178	Placebo.No	Placebo - SRF-
MCP-1	4	Placebo	No	-0.10874701176658577	0.08975675096496791	1192.6733267393356	-0.28484571874777254	0.06735169521460102	Placebo.No	Placebo - SRF-
MCP-1	7	Placebo	No	0.1420706696334125	0.09186832145876955	1239.6014508738958	-0.0381639124269664	0.32230525169379143	Placebo.No	Placebo - SRF-
MCP-1	1	Anakinra	Yes	0.25017953841310486	0.11740654227508843	1182.031176913869	0.019831078207961567	0.48052799861824813	Anakinra.Yes	Anakinra - SRF+
MCP-1	4	Anakinra	Yes	0.334859491968874	0.12048117190854157	1225.3733770815488	0.098487261100042	0.571231722837706	Anakinra.Yes	Anakinra - SRF+
MCP-1	7	Anakinra	Yes	0.5710060701610056	0.11925668060397869	1206.59105414041	0.3370325700590625	0.8049795702629486	Anakinra.Yes	Anakinra - SRF+
MCP-1	1	Placebo	Yes	0.6223064887552933	0.13413503919029804	1188.4485075341277	0.35913862663737406	0.8854743508732125	Placebo.Yes	Placebo - SRF+
MCP-1	4	Placebo	Yes	0.9641546052442165	0.13998089067962888	1264.5267171237501	0.6895342474599848	1.2387749630284481	Placebo.Yes	Placebo - SRF+
MCP-1	7	Placebo	Yes	0.5747814789607322	0.13988905871043403	1263.8028338853746	0.3003411303684672	0.8492218275529971	Placebo.Yes	Placebo - SRF+
Flt3L	1	Anakinra	No	0.1649714459836086	0.057328134928608956	1115.1582663416891	0.05248828211463788	0.2774546098525793	Anakinra.No	Anakinra - SRF-
Flt3L	4	Anakinra	No	0.3046630770358814	0.057549229181422516	1122.0793377585717	0.19174686228944166	0.41757929178232117	Anakinra.No	Anakinra - SRF-
Flt3L	7	Anakinra	No	0.5309559787712231	0.05793948613731702	1138.430432573268	0.41727581157268434	0.6446361459697619	Anakinra.No	Anakinra - SRF-
Flt3L	1	Placebo	No	0.09107479713880061	0.08811759191465038	1192.4352740261675	-0.08180798859598513	0.26395758287358634	Placebo.No	Placebo - SRF-
Flt3L	4	Placebo	No	0.11022700129227599	0.0868011066609261	1161.1085967482727	-0.06007756755533862	0.2805315701398906	Placebo.No	Placebo - SRF-
Flt3L	7	Placebo	No	0.538239869716296	0.08877730686249742	1208.8657190378074	0.36406515794277844	0.7124145814898135	Placebo.No	Placebo - SRF-
Flt3L	1	Anakinra	Yes	0.05845899444346228	0.11355782411387048	1151.8303098758588	-0.1643443726608591	0.28126236154778367	Anakinra.Yes	Anakinra - SRF+
Flt3L	4	Anakinra	Yes	-0.2899046248017591	0.11645153146238356	1196.4774571017103	-0.5183765521333386	-0.061432697470179626	Anakinra.Yes	Anakinra - SRF+
Flt3L	7	Anakinra	Yes	0.19172431592126388	0.11530229029754478	1177.236707935428	-0.03449660315738046	0.4179452349999082	Anakinra.Yes	Anakinra - SRF+
Flt3L	1	Placebo	Yes	0.13721505782089216	0.1297258419346326	1157.5795299606073	-0.11730904574069323	0.39173916138247755	Placebo.Yes	Placebo - SRF+
Flt3L	4	Placebo	Yes	0.1747259419011768	0.13521591670430158	1235.7928311384992	-0.09055220027401295	0.44000408407636654	Placebo.Yes	Placebo - SRF+
Flt3L	7	Placebo	Yes	-0.019112693464564262	0.13512883960662195	1234.9931334860973	-0.2842201686395742	0.24599478171044573	Placebo.Yes	Placebo - SRF+
