Assay	term	contrast	Day1	TR1	Day2	TR2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value	Allocation	Day	group	emmean	x_offset	y_position	x_pos	label
IL8	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	-0.26459427622827353	0.057759333203016267	1053.7624445776644	-4.58097871902815	5.1806825890328035e-6	1.0554959139263915e-5	Anakinra	4	Anakinra	0.013993098833870711	-0.15	0.21399309883387072	2	***
IL8	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	-0.4443085078849437	0.05805159551860113	1058.5577429396355	-7.6536829679827925	4.38334548335761e-14	8.157892982915552e-14	Anakinra	7	Anakinra	0.19370733049054087	-0.15	0.39370733049054085	3	***
IL8	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	-0.1913114738099917	0.08504964723845124	1059.4775651669652	-2.249409374663451	0.024691152501827435	0.04241813378519072	Placebo	4	Placebo	0.052024820369968326	0.15	0.2520248203699683	2	*
IL8	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	-0.36033654046190355	0.08606753137559352	1067.6459652023561	-4.186672194528464	3.0638945835101254e-5	5.13202342737946e-5	Placebo	7	Placebo	0.22104988702188016	0.15	0.4210498870218802	3	***
VEGFA	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	0.11397968411592618	0.04376069589182667	1033.228023389676	2.6046131532660235	0.00932987215451707	0.015246376447625457	Anakinra	4	Anakinra	-0.039132470183587065	-0.15	0.16086752981641295	2	*
CD8A	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	0.29345612436386553	0.04972797063177825	1041.7318118609926	5.901228637235697	4.8750263919912265e-9	1.1665241723693291e-8	Anakinra	4	Anakinra	0.028065709863617075	-0.15	0.22806570986361707	2	***
CD8A	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	0.2851249312475177	0.05000214365024916	1045.2476113337639	5.702254152179672	1.5378207968024245e-8	2.4531903187086298e-8	Anakinra	7	Anakinra	0.03639690297996491	-0.15	0.2363969029799649	3	***
CD8A	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	0.2390972998182951	0.07326426453266395	1046.1893764725799	3.2634914353326594	0.001136105262305662	0.00237872039295248	Placebo	4	Placebo	0.029668048264954817	0.15	0.22966804826495482	2	**
CD8A	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	0.19614483966298552	0.07419669359292931	1051.9330211852875	2.6435792508370946	0.00832546626090921	0.011383800805733	Placebo	7	Placebo	0.07262050842026442	0.15	0.2726205084202644	3	*
MCP-3	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	0.423262565206738	0.04685775282596903	1039.5578625520072	9.032924962892409	7.94988460281017e-19	2.663211341941407e-18	Anakinra	4	Anakinra	-0.22981080007275212	-0.15	-0.02981080007275211	2	***
MCP-3	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	0.6376938361048712	0.04711972196931389	1042.8363953526919	13.533480450503529	1.4538013704847368e-38	5.411371767915409e-38	Anakinra	7	Anakinra	-0.4442420709708853	-0.15	-0.2442420709708853	3	***
MCP-3	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	0.3276914465037196	0.0690423456217548	1043.7615445447432	4.746238609837527	2.360808031509382e-6	7.532101814815647e-6	Placebo	4	Placebo	-0.029686919872430287	0.15	0.17031308012756974	2	***
MCP-3	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	0.5016052768141241	0.06992975157290779	1049.075819461699	7.172988113523576	1.3842451122667887e-12	4.416401072470231e-12	Placebo	7	Placebo	-0.2036007501828348	0.15	-0.0036007501828347888	3	***
CDCP1	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	0.49477027048318645	0.04182505470838801	1033.0754120244085	11.829518788028276	2.267903224861485e-30	1.688327956285772e-29	Anakinra	4	Anakinra	-0.09071746665734383	-0.15	0.10928253334265618	2	***
CDCP1	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	0.3897291806245612	0.04206818084432282	1035.6399155595798	9.264227090465118	1.1030807002076483e-19	2.6829407243133857e-19	Anakinra	7	Anakinra	0.014323623201281426	-0.15	0.21432362320128143	3	***
CDCP1	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	0.4032261153604595	0.06164471870419614	1036.4749696483402	6.541129943269771	9.57350867021004e-11	4.5816077207433764e-10	Placebo	4	Placebo	-0.1353948743931912	0.15	0.06460512560680881	2	***
CDCP1	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	0.2200215081543804	0.06245906467830866	1040.534499188701	3.522651344325869	4.4579801269653535e-4	6.493144967536493e-4	Placebo	7	Placebo	0.047809732812887876	0.15	0.24780973281288787	3	***
CD244	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	0.14045843120952872	0.04616018139758543	1039.0070606156942	3.0428483371791057	0.0024023916255112862	0.00412718561305785	Anakinra	4	Anakinra	0.11005984899930119	-0.15	0.31005984899930117	2	**
CD244	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	-0.12090041012682162	0.04641914411588293	1042.2252735899128	-2.60453768438729	0.009330769873155694	0.010967747043884764	Anakinra	7	Anakinra	0.37141869033565156	-0.15	0.5714186903356515	3	*
OPG	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	0.3977439536373328	0.04530969187295481	1043.2856096792543	8.778341612928617	6.673759057857009e-18	2.12924693750676e-17	Anakinra	4	Anakinra	-0.032948191822224415	-0.15	0.1670518081777756	2	***
OPG	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	0.6428961098052973	0.045556963302856086	1046.9701095612634	14.11191754664193	1.5838715302997324e-41	6.63246203313013e-41	Anakinra	7	Anakinra	-0.27810034799018896	-0.15	-0.07810034799018895	3	***
OPG	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	0.2960127473154371	0.06675009999856459	1047.91970172692	4.434641256294786	1.0195134941573504e-5	2.7322961643416993e-5	Placebo	4	Placebo	0.02684331296987698	0.15	0.22684331296987698	2	***
OPG	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	0.41516212724347223	0.06759347194808683	1053.9724427131246	6.14204471642358	1.1527229120502317e-9	2.758301253834483e-9	Placebo	7	Placebo	-0.09230606695815817	0.15	0.10769393304184184	3	***
LAP TGF-beta-1	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	-0.2558468979219007	0.05508128364069716	1052.450320083823	-4.644897159456658	3.8326461390036974e-6	5.4635593896435685e-6	Anakinra	7	Anakinra	0.23511397944746087	-0.15	0.4351139794474609	3	***
LAP TGF-beta-1	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	-0.17768682256341725	0.08070155063783362	1053.4031563669685	-2.2017770558192478	0.02789723339159226	0.04672786593091704	Placebo	4	Placebo	0.05913307358351825	0.15	0.2591330735835183	2	*
LAP TGF-beta-1	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	-0.20097140001148261	0.08169658734447578	1060.4502286842455	-2.4599730116520226	0.014053398329530918	0.018462307609383756	Placebo	7	Placebo	0.08241765103158363	0.15	0.28241765103158367	3	*
uPA	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	0.4992237479365656	0.05172925644520795	1045.7826304293253	9.650704112968402	3.609610591133195e-21	1.5115244350370253e-20	Anakinra	4	Anakinra	-0.10766207178101317	-0.15	0.09233792821898684	2	***
uPA	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	0.4863730137228301	0.05200682000854676	1049.7364512428562	9.352100621474259	5.025920112797032e-20	1.2951409521438506e-19	Anakinra	7	Anakinra	-0.09481133756727766	-0.15	0.10518866243272235	3	***
uPA	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	0.5283270043940022	0.07619868648421561	1050.6917279352792	6.933544773156213	7.155421802863598e-12	4.3583023708351006e-11	Placebo	4	Placebo	-0.11151934488139696	0.15	0.08848065511860305	2	***
uPA	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	0.430364363157824	0.07714988227213329	1057.2445264079163	5.578289304963367	3.084365622786694e-8	6.666209571829306e-8	Placebo	7	Placebo	-0.013556703645218868	0.15	0.18644329635478113	3	***
IL6	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	0.5105380215268024	0.04716725510292086	1041.99774718064	10.823992628207595	5.992014396522781e-26	4.014649645670263e-25	Anakinra	4	Anakinra	-0.15907102041258275	-0.15	0.04092897958741726	2	***
IL6	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	0.8714152948993766	0.0474268593080109	1045.5424753874086	18.37387732634839	1.4700366424116777e-65	1.2311556880197802e-64	Anakinra	7	Anakinra	-0.5199482937851571	-0.15	-0.31994829378515705	3	***
IL6	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	0.4232444547670813	0.06949072244950072	1046.485817324274	6.090661312014065	1.5772734849690113e-9	6.2163131466425746e-9	Placebo	4	Placebo	0.0494823795214742	0.15	0.2494823795214742	2	***
IL6	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	0.602205250501239	0.0703740380812459	1052.2822404946924	8.557207557224455	4.040667499810586e-17	2.2560393540609104e-16	Placebo	7	Placebo	-0.1294784162126835	0.15	0.07052158378731652	3	***
CXCL11	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	0.6619684083838778	0.047961524513429346	1042.3057148503099	13.802071871141733	6.3799543639260484e-40	6.106527748329217e-39	Anakinra	4	Anakinra	-0.15249304431325422	-0.15	0.04750695568674579	2	***
CXCL11	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	0.7928598267314363	0.0482249686453733	1045.8839162244271	16.440857277934242	3.365245750520819e-54	2.505238503165499e-53	Anakinra	7	Anakinra	-0.2833844626608127	-0.15	-0.08338446266081267	3	***
CXCL11	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	0.6658621042549034	0.07065991903465484	1046.828961297546	9.423476751060731	2.7030434803296386e-20	2.5871987597440826e-19	Placebo	4	Placebo	-0.07392867720709612	0.15	0.1260713227929039	2	***
CXCL11	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	0.8594318653157487	0.07155681134349862	1052.6865702205957	12.010482987987885	3.1019657019755885e-31	2.9690243147480633e-30	Placebo	7	Placebo	-0.26749843826794134	0.15	-0.06749843826794133	3	***
AXIN1	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	-0.1809686676988974	0.05692732740088523	1052.2221324735806	-3.17894192405181	0.0015212663998837596	0.0027547256430327537	Anakinra	4	Anakinra	-0.008630180128464867	-0.15	0.19136981987153515	2	**
AXIN1	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	-0.48332852859175063	0.05721882606318783	1056.8577036050415	-8.44701930895964	9.775504790260933e-17	2.1127703901531692e-16	Anakinra	7	Anakinra	0.2937296807643883	-0.15	0.49372968076438833	3	***
AXIN1	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	-0.19806517589830086	0.08383058410503459	1057.7904024002928	-2.362683953748161	0.018323350662251235	0.03230696037817981	Placebo	4	Placebo	-0.027003468431114633	0.15	0.1729965315688854	2	*
AXIN1	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	-0.42868549756286384	0.08484251914379407	1065.6458361931666	-5.05272004991168	5.122459518493833e-7	9.827010698240077e-7	Placebo	7	Placebo	0.20361685323344833	0.15	0.4036168532334483	3	***
TRAIL	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	-0.25775477368968835	0.05266911194537857	1046.8572908147405	-4.89385076317591	1.1443222363635762e-6	2.4732125753664386e-6	Anakinra	4	Anakinra	0.17193686956239662	-0.15	0.37193686956239663	2	***
TRAIL	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	-0.4225250290968806	0.052949610087188466	1050.9262608118706	-7.9797571389314825	3.8158618242408225e-15	7.747355824973791e-15	Anakinra	7	Anakinra	0.3367071249695889	-0.15	0.53670712496958894	3	***
TRAIL	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	-0.2769117471420093	0.07854254927338777	1058.6505217969545	-3.5256271881136163	4.4055896226307545e-4	6.493144967536493e-4	Placebo	7	Placebo	0.32039845185105287	0.15	0.5203984518510529	3	***
CXCL9	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	0.14412254511212547	0.04907771869644455	1041.1957648282353	2.9366186721830343	0.0033911249984454645	0.005680134372396153	Anakinra	4	Anakinra	-0.09158186110110289	-0.15	0.10841813889889712	2	**
CXCL9	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	0.18689434687657436	0.0723080021914402	1045.5914731057014	2.584697975498746	0.009880977242482247	0.017892580412062445	Placebo	4	Placebo	-0.045107273032507035	0.15	0.15489272696749298	2	*
CST5	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	-0.2864743587145403	0.04009721716444108	1031.9235526977293	-7.1444947797671805	1.7046278598401728e-12	3.0867585570078802e-12	Anakinra	7	Anakinra	0.15563028381691008	-0.15	0.3556302838169101	3	***
CST5	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	-0.39065455779848635	0.059545164115968684	1036.117043046555	-6.560642893479263	8.445825531934137e-11	2.2634812425583487e-10	Placebo	7	Placebo	0.1584996473667279	0.15	0.3584996473667279	3	***
OSM	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	-0.18518102001116776	0.052081610486360175	1048.1841043167099	-3.5555931984796327	3.9396020831476296e-4	4.980251690016815e-4	Anakinra	7	Anakinra	-0.07015902064075025	-0.15	0.12984097935924976	3	***
OSM	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	-0.26090374308581527	0.07630924064917795	1049.13722476167	-3.419032097112421	6.526040157858624e-4	0.0014104667437952508	Placebo	4	Placebo	0.033767307119545356	0.15	0.23376730711954535	2	**
OSM	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	-0.3639874811981737	0.0772683538011296	1055.4088928423307	-4.710692842440918	2.7982106814382183e-6	5.0670301528746115e-6	Placebo	7	Placebo	0.1368510452319038	0.15	0.3368510452319038	3	***
CXCL1	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	0.2973547280758333	0.05210217890215361	1044.660518137212	5.707145734428054	1.495803590418165e-8	3.340628018600569e-8	Anakinra	4	Anakinra	-0.08806262340589162	-0.15	0.11193737659410839	2	***
CXCL1	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	0.20791658286740966	0.05238390179428065	1048.4936025793097	3.969093094361869	7.706050172706755e-5	9.92894926098755e-5	Anakinra	7	Anakinra	0.0013755218025320176	-0.15	0.20137552180253204	3	***
CXCL1	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	0.21076618780729509	0.07675195647091879	1049.4473626624056	2.74606925345485	0.0061345259535758945	0.011417034413599581	Placebo	4	Placebo	0.07864191824211052	0.15	0.27864191824211054	2	*
CCL4	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	-0.44900289613909944	0.0471594686471648	1039.7877729639658	-9.520949005987013	1.1582181432861514e-20	4.5647420941277734e-20	Anakinra	4	Anakinra	0.059786817600625354	-0.15	0.2597868176006254	2	***
CCL4	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	-0.7511543707012313	0.04742274231957081	1043.0914606397198	-15.839538878611805	8.460139337328112e-51	5.152993960008941e-50	Anakinra	7	Anakinra	0.3619382921627572	-0.15	0.5619382921627571	3	***
CCL4	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	-0.3667722628864628	0.06948618850484577	1044.0186835527834	-5.278347694389442	1.5851831896771545e-7	5.589856510966808e-7	Placebo	4	Placebo	0.04140277625053123	0.15	0.24140277625053125	2	***
CCL4	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	-0.6568828595781453	0.07037838289823352	1049.3781844022778	-9.333588419159783	5.909973887056964e-20	3.959682504328166e-19	Placebo	7	Placebo	0.3315133729422138	0.15	0.5315133729422138	3	***
CD6	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	-0.3118721524001656	0.0484785569668091	1044.1101123202702	-6.433197931483176	1.8994023042563169e-10	3.348946168030874e-10	Anakinra	7	Anakinra	0.32053311810721297	-0.15	0.520533118107213	3	***
CD6	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	-0.2809124734815144	0.07194086128074084	1050.5854533301763	-3.904769396425296	1.0033203123997629e-4	1.608609421620564e-4	Placebo	7	Placebo	0.2130816818083395	0.15	0.4130816818083395	3	***
SCF	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	0.4452665114465818	0.04358440499893543	1035.3190308246105	10.216188828491697	2.0727185233452403e-23	1.0682472389548547e-22	Anakinra	4	Anakinra	0.013015753387914213	-0.15	0.21301575338791423	2	***
SCF	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	0.42393162383499744	0.04383446642390953	1038.13157086199	9.671193889650354	3.046530629423656e-21	8.164702086855399e-21	Anakinra	7	Anakinra	0.034350640999498576	-0.15	0.2343506409994986	3	***
SCF	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	0.457916385611312	0.0642314066851184	1039.0048007273767	7.1291663882772385	1.887791887213282e-12	1.264820564432899e-11	Placebo	4	Placebo	-0.05383157745692423	0.15	0.14616842254307577	2	***
SCF	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	0.4144812148368781	0.06507218354494979	1043.4938719044849	6.36956057499696	2.837393075331446e-10	7.040938372118774e-10	Placebo	7	Placebo	-0.01039640668249038	0.15	0.18960359331750964	3	***
IL18	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	0.3322584576989267	0.030785316736578344	1022.2006955423526	10.792757487018008	8.603324710796356e-26	5.240206869303235e-25	Anakinra	4	Anakinra	0.03148792650668078	-0.15	0.2314879265066808	2	***
IL18	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	0.6263457575113963	0.030974922657862735	1023.5561639613582	20.221059611020642	9.230885485498024e-77	1.236938655056735e-75	Anakinra	7	Anakinra	-0.26259937330578886	-0.15	-0.06259937330578885	3	***
IL18	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	0.3106816724558419	0.04539486320973402	1024.0983097549415	6.843983007954574	1.32427203963897e-11	7.393852221317582e-11	Placebo	4	Placebo	-0.022292257618969465	0.15	0.17770774238103054	2	***
IL18	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	0.6034219663277115	0.0460190346107438	1026.1588361309564	13.112442958263058	1.9816694024013006e-36	3.3192962490221785e-35	Placebo	7	Placebo	-0.3150325514908391	0.15	-0.11503255149083907	3	***
SLAMF1	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	0.17583331426507365	0.05349100878265132	1046.7676984731786	3.2871564449182995	0.00104568275705472	0.00194613179785184	Anakinra	4	Anakinra	0.03853726259535857	-0.15	0.23853726259535857	2	**
SLAMF1	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	0.1890755442267228	0.05377606330684461	1050.827087520781	3.5159796496791405	4.5682814030896616e-4	5.668052851981617e-4	Anakinra	7	Anakinra	0.025295032633709427	-0.15	0.22529503263370942	3	***
TGF-alpha	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	-0.13665198308566043	0.053864927395486324	1050.8317411495964	-2.536938035436976	0.011326396643035226	0.013083940949713106	Anakinra	7	Anakinra	-0.06322572564555237	-0.15	0.13677427435444764	3	*
TGF-alpha	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	-0.24524885559156367	0.0789204288466035	1051.786973013018	-3.1075459063742588	0.0019370890583560358	0.003932877785147103	Placebo	4	Placebo	0.035308102772882405	0.15	0.23530810277288242	2	**
TGF-alpha	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	-0.4014463156388567	0.07990076127313363	1058.5388591720396	-5.024311523973449	5.927616534072427e-7	1.103195299396813e-6	Placebo	7	Placebo	0.1915055628201754	0.15	0.3915055628201754	3	***
MCP-4	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	-0.368029006242816	0.03978582435070593	1030.5680804672234	-9.250254638403288	1.2547489123203996e-19	4.424640901340356e-19	Anakinra	4	Anakinra	0.11545625042989609	-0.15	0.3154562504298961	2	***
MCP-4	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	-0.6506721879116552	0.040020386906618396	1032.8545755118353	-16.258518175496445	4.265780923238461e-53	2.8580732185697688e-52	Anakinra	7	Anakinra	0.3980994320987353	-0.15	0.5980994320987353	3	***
MCP-4	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	-0.4264322331726276	0.05864559832119663	1033.6380430402892	-7.271342528336003	7.016227778145297e-13	5.876090764196686e-12	Placebo	4	Placebo	0.1325275503305215	0.15	0.3325275503305215	2	***
MCP-4	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	-0.6509453462012361	0.059427998154109686	1037.2240645002607	-10.953512930272254	1.6949921301145096e-26	1.2618274746408016e-25	Placebo	7	Placebo	0.35704066335913004	0.15	0.55704066335913	3	***
CCL11	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	-0.31668581665828205	0.04729214903484851	1038.4582295344856	-6.696371874006475	3.492822090860448e-11	9.000733849525001e-11	Anakinra	4	Anakinra	0.05067839699984563	-0.15	0.2506783969998456	2	***
CCL11	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	-0.5089032948422815	0.047558370134820165	1041.6162631715117	-10.700604192272028	2.0018771175466255e-25	6.096625767073814e-25	Anakinra	7	Anakinra	0.24289587518384506	-0.15	0.4428958751838451	3	***
CCL11	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	-0.32953649461051693	0.06968584561654001	1042.5304474204802	-4.728887074483618	2.5675243939442506e-6	7.819278836102946e-6	Placebo	4	Placebo	0.055933687463163476	0.15	0.2559336874631635	2	***
CCL11	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	-0.6014161581191133	0.07058588302698475	1047.6290463330693	-8.520346170199414	5.473510138013035e-17	2.8209629172836413e-16	Placebo	7	Placebo	0.32781335097175984	0.15	0.5278133509717599	3	***
TNFSF14	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	-0.4203387659640012	0.05185252598812104	1047.959952138583	-8.106427950304623	1.4445577537204039e-15	3.0245427968520954e-15	Anakinra	7	Anakinra	0.18218417185609026	-0.15	0.38218417185609027	3	***
TNFSF14	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	-0.31387979580714664	0.07597373118124019	1048.9125436504066	-4.1314253088132045	3.892236831633715e-5	1.0029994912286882e-4	Placebo	4	Placebo	0.007474504171011987	0.15	0.207474504171012	2	***
TNFSF14	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	-0.5621233207157599	0.07692955818838983	1055.1437252985754	-7.306987508484031	5.381569579255182e-13	1.89771137794788e-12	Placebo	7	Placebo	0.2557180290796252	0.15	0.4557180290796252	3	***
MMP-1	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	-0.1933617253413121	0.04221196367856962	1032.2393206487268	-4.580732770777943	5.198711217846406e-6	1.0554959139263915e-5	Anakinra	4	Anakinra	0.028950905298070716	-0.15	0.22895090529807072	2	***
MMP-1	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	-0.41513838861581237	0.0424585113548042	1034.7112039371189	-9.777506920737562	1.1773809140280318e-21	3.2868550516615886e-21	Anakinra	7	Anakinra	0.250727568572571	-0.15	0.450727568572571	3	***
