Assay	emm_day_srf	Day	srf14	emmean	SE	df	lower.CL	upper.CL	group	color_class
IL8		1	No	-0.23695138052499376	0.058029019050136625	1178.1493166762866	-0.35080313076971015	-0.12309963028027737	No	SRF-
IL8		4	No	-0.05726806558284188	0.057474737037765136	1158.8957023543153	-0.17003425244805018	0.05549812128236642	No	SRF-
IL8		7	No	0.1708108679277997	0.058630330663060115	1199.8057534281422	0.05578149174586276	0.28584024410973663	No	SRF-
IL8		1	Yes	-0.026877445582967497	0.09569363051646754	1154.8018362262337	-0.21463029790104451	0.1608754067351095	Yes	SRF+
IL8		4	Yes	0.3575582662054916	0.09892775909411831	1213.604732788659	0.16346985439299727	0.5516466780179858	Yes	SRF+
IL8		7	Yes	0.379735961353429	0.09845107308697347	1205.2928805378208	0.18658143991224088	0.5728904827946172	Yes	SRF+
MCP-3		1	No	0.17329631762805575	0.0544468365025626	981.800941290572	0.06645076256252011	0.28014187269359137	No	SRF-
MCP-3		4	No	-0.2809003227105499	0.05404539378676496	963.6033122005945	-0.3869605655237156	-0.17484007989738415	No	SRF-
MCP-3		7	No	-0.4866519675295774	0.054877790934699605	1001.8857898953443	-0.5943405557273541	-0.3789633793318007	No	SRF-
MCP-3		1	Yes	0.6384094796735436	0.09000028271972958	963.8617526839314	0.461790383189173	0.8150285761579141	Yes	SRF+
MCP-3		4	Yes	0.5250482636672087	0.09240305533520439	1023.433799797281	0.34372716800780495	0.7063693593266125	Yes	SRF+
MCP-3		7	Yes	0.388762900826766	0.09204850283878488	1014.7032114353532	0.20813569798889828	0.5693901036646337	Yes	SRF+
CD244		1	No	0.23596723784980259	0.05537901247078293	953.8479582615917	0.12728846535967872	0.3446460103399265	No	SRF-
CD244		4	No	0.14947779455280796	0.05499065578571957	936.2978968535231	0.041558584252353925	0.257397004853262	No	SRF-
CD244		7	No	0.4086969046889471	0.05579532727335458	973.1729722599532	0.2992038958837569	0.5181899134941372	No	SRF-
CD244		1	Yes	-0.025946714109615132	0.0915734319170554	936.9901645553423	-0.2056594828584859	0.15376605463925563	Yes	SRF+
CD244		4	Yes	-0.34450804736413376	0.09390757522975081	995.096673257439	-0.528787652562575	-0.1602284421656925	Yes	SRF+
CD244		7	Yes	-0.33339665791614886	0.09356314763515693	986.5509430164896	-0.5170023121136997	-0.14979100371859802	Yes	SRF+
OPG		1	No	0.28148429071526604	0.05078954154670436	1029.7229168664337	0.1818214744488636	0.3811471069816685	No	SRF-
OPG		4	No	-0.11512913141508963	0.050385337338769154	1010.6859591772322	-0.21400098121676056	-0.01625728161341869	No	SRF-
OPG		7	No	-0.2593864756316014	0.051224529196011996	1050.8186889632423	-0.3599004807452959	-0.15887247051790687	No	SRF-
OPG		1	Yes	0.6541903471911776	0.08390498676630508	1010.0774056804985	0.48954230314059866	0.8188383912417566	Yes	SRF+
OPG		4	Yes	0.46820445447017917	0.08630789226887745	1071.2388694946853	0.29885275172585357	0.6375561572145048	Yes	SRF+
OPG		7	Yes	0.21614777873009045	0.08595335431822969	1062.3370739246607	0.0474901450558364	0.3848054124043445	Yes	SRF+
IL6		1	No	0.3538298615753932	0.05203348723670094	1035.001231382301	0.2517267001958075	0.4559330229549789	No	SRF-
IL6		4	No	-0.19085960488750994	0.051616151058615736	1015.893490253193	-0.2921460751111432	-0.08957313466387669	No	SRF-
IL6		7	No	-0.498558220357049	0.05248272985544535	1056.184982184331	-0.6015404937640666	-0.3955759469500314	No	SRF-
IL6		1	Yes	0.8158907331812145	0.0859544437551825	1015.1804976549805	0.6472220253671539	0.9845594409952751	Yes	SRF+
IL6		4	Yes	0.5852269788234286	0.08843361951317058	1076.4461284117817	0.41170516401417373	0.7587487936326833	Yes	SRF+
IL6		7	Yes	0.4619130578222597	0.08806783457446038	1067.5365791965278	0.28910735192361486	0.6347187637209046	Yes	SRF+
MCP-1		1	No	0.02174161051335872	0.056802621439714256	1134.564356456362	-0.08970837551817153	0.13319159654488896	No	SRF-
MCP-1		4	No	-0.10127715847635833	0.05628488928716073	1114.9783456629712	-0.21171339616199442	0.009159079209277748	No	SRF-
MCP-1		7	No	0.03047589565193599	0.0573629047034035	1156.4829400155397	-0.08207112019025578	0.14302291149412777	No	SRF-
MCP-1		1	Yes	0.4362430135841991	0.09371994945496469	1112.0096414307925	0.2523551393833019	0.6201308877850963	Yes	SRF+
MCP-1		4	Yes	0.6495070486065452	0.096756358811379	1172.6338715136812	0.4596721304741821	0.8393419667389083	Yes	SRF+
MCP-1		7	Yes	0.5728937745608689	0.09630862265375983	1163.9788030659022	0.38393585817344544	0.7618516909482923	Yes	SRF+
TRAIL		1	No	0.018830213774756688	0.05681207152578933	1077.6647991056402	-0.09264459931081832	0.13030502686033169	No	SRF-
TRAIL		4	No	0.20591079272446888	0.05632878571680508	1058.149092106965	0.09538197544528101	0.3164396100036567	No	SRF-
TRAIL		7	No	0.43590317484533453	0.057333470886762376	1099.3824696086858	0.3234077873980307	0.5483985622926384	No	SRF-
TRAIL		1	Yes	-0.24872946935478832	0.09379957799837277	1056.532231080696	-0.4327841130666551	-0.06467482564292151	Yes	SRF+
TRAIL		4	Yes	-0.23304627323921148	0.09665425221365692	1118.126960291636	-0.4226904111654919	-0.04340213531293105	Yes	SRF+
TRAIL		7	Yes	-0.12565751966378041	0.0962331454008298	1109.2341913650946	-0.31447704937384846	0.06316201004628763	Yes	SRF+
CXCL9		1	No	0.029589834424267394	0.05719107286048661	989.6671946195039	-0.08263986283376451	0.1418195316822993	No	SRF-
CXCL9		4	No	-0.15314660151942094	0.05676374535187983	971.3079506494734	-0.2645403047890934	-0.041752898249748455	No	SRF-
CXCL9		7	No	-0.02966050130218014	0.05764999909132917	1009.9436838570325	-0.14278799781294382	0.08346699520858353	No	SRF-
CXCL9		1	Yes	0.4574000829611155	0.094527196917958	971.4344824278144	0.2718990602928715	0.6429011056293595	Yes	SRF+
CXCL9		4	Yes	0.3189523046528623	0.09708197298516871	1031.3472299881353	0.128451571432601	0.5094530378731236	Yes	SRF+
CXCL9		7	Yes	0.48548452750052407	0.096704994031983	1022.5759822253655	0.29572161515903594	0.6752474398420122	Yes	SRF+
CST5		1	No	-0.16028998944686731	0.058790000334250254	810.681841070965	-0.27568856073773	-0.044891418156004614	No	SRF-
CST5		4	No	-0.04444990763546883	0.05850200416322896	798.0935818998676	-0.15928588101698687	0.07038606574604922	No	SRF-
CST5		7	No	0.230032406013835	0.059096500074172276	824.3622467213706	0.11403508625387172	0.3460297257737983	No	SRF-
CST5		1	Yes	-0.3680247104546538	0.09739923188031152	800.0595819041396	-0.5592129272655193	-0.17683649364378826	Yes	SRF+
CST5		4	Yes	-0.3889718636669122	0.09917217787956424	844.3706017916152	-0.5836247792530651	-0.19431894808075936	Yes	SRF+
CST5		7	Yes	-0.1798474398950753	0.09891070735477046	837.7776521283332	-0.37398934010839546	0.014294460318244856	Yes	SRF+
CD6		1	No	-0.010727124598401812	0.05700077433463586	966.9805492940246	-0.12258660029997376	0.10113235110317015	No	SRF-
CD6		4	No	0.11908019531588085	0.056591288376052526	949.1121584688136	0.008021682913013292	0.2301387077187484	No	SRF-
CD6		7	No	0.4159667861251395	0.057440032026194625	986.6776974664426	0.30324812221011144	0.5286854500401675	No	SRF-
CD6		1	Yes	-0.1841644470779562	0.09423947380355771	949.6074995165459	-0.36910614216670745	7.772480107950397e-4	Yes	SRF+
CD6		4	Yes	-0.15453786655407015	0.09669575664038657	1008.452141577174	-0.34428580162294953	0.035210068514809206	Yes	SRF+
CD6		7	Yes	-0.2416820272677376	0.09633330539678879	999.811689591456	-0.430720680378057	-0.05264337415741818	Yes	SRF+
SCF		1	No	0.44882035067859766	0.05683079525128033	888.9730274782689	0.3372821796294631	0.5603585217277323	No	SRF-
SCF		4	No	0.04825312467843206	0.056483261862803634	873.3463465702201	-0.06260566905505321	0.15911191841191732	No	SRF-
SCF		7	No	0.11436322860321556	0.05720212897051946	906.0840656746374	0.0020991549178826924	0.22662730228854844	No	SRF-
SCF		1	Yes	0.31618072693873395	0.09405305219746317	874.8219839100981	0.1315847393350256	0.5007767145424423	Yes	SRF+
SCF		4	Yes	-0.3064997809265523	0.09616340286449605	927.9856583373662	-0.4952227315401668	-0.11777683031293776	Yes	SRF+
SCF		7	Yes	-0.3499657734746635	0.09585203848720271	920.1148539713212	-0.5380797655948748	-0.16185178135445222	Yes	SRF+
CCL11		1	No	-0.23719506619006048	0.058058777141064916	941.4669899540363	-0.3511346576385259	-0.12325547474159504	No	SRF-
CCL11		4	No	0.12739972412314624	0.05766117611418493	924.2394931533458	0.01423770437744451	0.24056174386884796	No	SRF-
CCL11		7	No	0.36726406741277307	0.05848473475932175	960.4170616072817	0.2524914547131301	0.482036680112416	No	SRF-
CCL11		1	Yes	-0.4914967239259531	0.09601977878681454	925.1059471073887	-0.679938574942524	-0.3030548729093823	Yes	SRF+
CCL11		4	Yes	-0.3161031360157336	0.09841401002763801	982.4358626964091	-0.5092289779462326	-0.12297729408523461	Yes	SRF+
CCL11		7	Yes	-0.09141860851023782	0.09806071907154865	973.9922799148155	-0.28385321647596157	0.10101599945548591	Yes	SRF+
IL-18R1		1	No	0.3211817243655195	0.05533863005190684	843.6526015617802	0.21256417583695175	0.42979927289408726	No	SRF-
IL-18R1		4	No	-0.2959287384604318	0.0550380983925113	829.6948717440769	-0.4039590204353817	-0.18789845648548187	No	SRF-
IL-18R1		7	No	-0.46811120956834595	0.05565900800886889	858.8717040967036	-0.5773548084326603	-0.35886761070403156	No	SRF-
IL-18R1		1	Yes	0.650494031723349	0.09163937102262974	831.5181966271775	0.4706223488638475	0.8303657145828505	Yes	SRF+
IL-18R1		4	Yes	0.13800139307608983	0.09347849223192085	879.9430946112991	-0.045465438263596836	0.3214682244157765	Yes	SRF+
IL-18R1		7	Yes	-0.037686999673508574	0.09320720283803732	872.7500680287923	-0.22062345783932957	0.1452494584923124	Yes	SRF+
PD-L1		1	No	0.2068364389443274	0.05588217277868112	897.8372941276011	0.09716154483720814	0.3165113330514467	No	SRF-
PD-L1		4	No	-0.1777217308168817	0.055533284607306305	881.9145468671154	-0.28671454989216677	-0.06872891174159661	No	SRF-
PD-L1		7	No	-0.3647750685036908	0.056255120861030065	915.2863065125674	-0.4751790730567549	-0.2543710639506267	No	SRF-
PD-L1		1	Yes	0.6752913247835263	0.0924723078223609	883.3024531548723	0.4938002456239042	0.8567824039431484	Yes	SRF+
PD-L1		4	Yes	0.555374142913797	0.09458779993326795	937.2691027009699	0.3697457513928285	0.7410025344347656	Yes	SRF+
PD-L1		7	Yes	0.22835915616196323	0.09427566775589061	929.2856348155614	0.04334126831327009	0.41337704401065634	Yes	SRF+
TRANCE		1	No	-0.1894792535730046	0.052558859161799525	1076.1325055829761	-0.2926087157402307	-0.08634979140577853	No	SRF-
TRANCE		4	No	0.1477177782931431	0.05211264738688638	1056.6262981041148	0.0454617343636845	0.24997382222260167	No	SRF-
TRANCE		7	No	0.5603149500876207	0.053040221598966555	1097.836561675655	0.4562432892081454	0.664386610967096	No	SRF-
TRANCE		1	Yes	-0.541861352990644	0.08677891702874896	1055.0436518007991	-0.7121402480699622	-0.3715824579113257	Yes	SRF+
TRANCE		4	Yes	-0.294164425543299	0.08941512687753708	1116.6423100447853	-0.4696050160692148	-0.11872383501738323	Yes	SRF+
TRANCE		7	Yes	-0.19306907540679488	0.08902624352437252	1107.7465129125314	-0.36774816361125484	-0.01838998720233495	Yes	SRF+
HGF		1	No	-0.10707037992260257	0.0581621721137999	1090.589974317105	-0.22119279608493853	0.00705203623973337	No	SRF-
HGF		4	No	-0.1435496864695474	0.05765914324345451	1071.0097492288141	-0.2566873867793167	-0.03041198615977811	No	SRF-
HGF		7	No	-0.07100629582035935	0.058705245196878524	1112.4056386266705	-0.18619178854931953	0.04417919690860084	No	SRF-
HGF		1	Yes	0.09410339241616236	0.09601370045329768	1069.0994191507893	-0.09429328877385021	0.2825000736061749	Yes	SRF+
HGF		4	Yes	0.3424991403538973	0.09898005254194182	1130.6145062110368	0.148293902122034	0.5367043785857606	Yes	SRF+
HGF		7	Yes	0.48077562003348007	0.09854250478334158	1121.7543891797056	0.2874272421222279	0.6741239979447322	Yes	SRF+
IL-12B		1	No	0.8746611586213826	0.04764043207479041	1039.4400703681583	0.7811787751893629	0.9681435420534024	No	SRF-
IL-12B		4	No	0.17752707798026982	0.04725585833543973	1020.2762118793651	0.08479729349235972	0.2702568624681799	No	SRF-
IL-12B		7	No	0.1512357734540061	0.04805450294016619	1060.6941286871952	0.05694308253657243	0.24552846437143977	No	SRF-
IL-12B		1	Yes	1.0039985433122154	0.07869325717705843	1019.4740832357568	0.8495792637831522	1.1584178228412787	Yes	SRF+
IL-12B		4	Yes	-0.012015662001350154	0.0809764255974407	1080.8164683413384	-0.17090446978184998	0.14687314577914967	Yes	SRF+
IL-12B		7	Yes	-0.25872896606513424	0.08063956543087306	1071.9020866103988	-0.4169582750869542	-0.10049965704331426	Yes	SRF+
IL10		1	No	0.5203830250985606	0.05382619491143581	1070.073872043245	0.4147661603346319	0.6259998898624893	No	SRF-
IL10		4	No	-0.2794295830070013	0.053372857990200355	1050.6090374279115	-0.3841591147297283	-0.17470005128427432	No	SRF-
IL10		7	No	-0.4081347718684956	0.05431508706859723	1091.7199832056833	-0.5147085399522686	-0.30156100378472267	No	SRF-
IL10		1	Yes	0.8854447907073025	0.08887790010961237	1049.160447212374	0.7110461163224906	1.0598434650921145	Yes	SRF+
