Assay	term	Day1	SRF1	Day2	SRF2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value	Day	group1	group2	emmean1	emmean2	x1	x2	x_center	y_position	label	x_offset	x_pos
IL8	Day*srf14	Day4	No	Day4	Yes	0	-0.41482633178833345	0.10580187503511358	1333.2612726839775	-3.920784311720947	9.274790209006332e-5	2.3657777055967926e-4	4	No	Yes	-0.05726806558284188	0.3575582662054916	1	2	1.5	0.5575582662054916	***	0.15	2.15
MCP-3	Day*srf14	Day1	No	Day1	Yes	0	-0.4651131620454878	0.0954804721587576	1079.3890223851242	-4.87129097217003	1.2743538212216642e-6	4.416295139061284e-6	1	No	Yes	0.17329631762805575	0.6384094796735436	1	2	1.5	0.8384094796735435	***	0.15	1.15
MCP-3	Day*srf14	Day4	No	Day4	Yes	0	-0.8059485863777586	0.09758793162856995	1125.9489740720749	-8.258691140675925	4.0933980140447967e-16	3.739877276468201e-15	4	No	Yes	-0.2809003227105499	0.5250482636672087	1	2	1.5	0.7250482636672086	***	0.15	2.15
MCP-3	Day*srf14	Day7	No	Day7	Yes	0	-0.8754148683563434	0.09750481909772998	1124.7793681846115	-8.978170273603677	1.1311486433226991e-18	1.3374169253403678e-17	7	No	Yes	-0.4866519675295774	0.388762900826766	1	2	1.5	0.5887629008267661	***	0.15	3.15
CD244	Day*srf14	Day1	No	Day1	Yes	0	0.26191395195941775	0.09693501990670843	1046.5546107423138	2.701953867771289	0.007004806924898129	0.013282699923627584	1	No	Yes	0.23596723784980259	-0.025946714109615132	1	2	1.5	0.4359672378498026	*	0.15	1.15
CD244	Day*srf14	Day4	No	Day4	Yes	0	0.4939858419169417	0.09898769781330434	1092.8933596329023	4.990376105610854	7.007350645704928e-7	2.4623732164102983e-6	4	No	Yes	0.14947779455280796	-0.34450804736413376	1	2	1.5	0.349477794552808	***	0.15	2.15
CD244	Day*srf14	Day7	No	Day7	Yes	0	0.742093562605096	0.09890564128397109	1091.643730827606	7.503045862413933	1.289590426244393e-13	9.744649461470788e-13	7	No	Yes	0.4086969046889471	-0.33339665791614886	1	2	1.5	0.6086969046889471	***	0.15	3.15
OPG	Day*srf14	Day1	No	Day1	Yes	0	-0.3727060564759116	0.08934294868496034	1134.6148561730574	-4.171633709898491	3.2549406029134295e-5	9.137472921586583e-5	1	No	Yes	0.28148429071526604	0.6541903471911776	1	2	1.5	0.8541903471911776	***	0.15	1.15
OPG	Day*srf14	Day4	No	Day4	Yes	0	-0.5833335858852688	0.09144126711803796	1180.6110288951456	-6.37932526823219	2.5484640315125553e-10	1.327049923145139e-9	4	No	Yes	-0.11512913141508963	0.46820445447017917	1	2	1.5	0.6682044544701792	***	0.15	2.15
OPG	Day*srf14	Day7	No	Day7	Yes	0	-0.47553425436169183	0.09136042580221003	1179.6060321725872	-5.20503544271122	2.286194467536655e-7	8.385494306110724e-7	7	No	Yes	-0.2593864756316014	0.21614777873009045	1	2	1.5	0.41614777873009046	***	0.15	3.15
IL6	Day*srf14	Day1	No	Day1	Yes	0	-0.4620608716058214	0.09156181496871056	1140.6099344302243	-5.046436353011586	5.234655097989714e-7	1.858949955293167e-6	1	No	Yes	0.3538298615753932	0.8158907331812145	1	2	1.5	1.0158907331812146	***	0.15	1.15
