Assay	Day	srf14	emmean	SE	df	lower.CL	upper.CL	group	color_class
MCP-3	1	No	0.17329631762805575	0.0544468365025626	981.800941290572	0.06645076256252011	0.28014187269359137	No	SRF-
MCP-3	4	No	-0.2809003227105499	0.05404539378676496	963.6033122005945	-0.3869605655237156	-0.17484007989738415	No	SRF-
MCP-3	7	No	-0.4866519675295774	0.054877790934699605	1001.8857898953443	-0.5943405557273541	-0.3789633793318007	No	SRF-
MCP-3	1	Yes	0.6384094796735436	0.09000028271972958	963.8617526839314	0.461790383189173	0.8150285761579141	Yes	SRF+
MCP-3	4	Yes	0.5250482636672087	0.09240305533520439	1023.433799797281	0.34372716800780495	0.7063693593266125	Yes	SRF+
MCP-3	7	Yes	0.388762900826766	0.09204850283878488	1014.7032114353532	0.20813569798889828	0.5693901036646337	Yes	SRF+
CD244	1	No	0.23596723784980259	0.05537901247078293	953.8479582615917	0.12728846535967872	0.3446460103399265	No	SRF-
CD244	4	No	0.14947779455280796	0.05499065578571957	936.2978968535231	0.041558584252353925	0.257397004853262	No	SRF-
CD244	7	No	0.4086969046889471	0.05579532727335458	973.1729722599532	0.2992038958837569	0.5181899134941372	No	SRF-
CD244	1	Yes	-0.025946714109615132	0.0915734319170554	936.9901645553423	-0.2056594828584859	0.15376605463925563	Yes	SRF+
CD244	4	Yes	-0.34450804736413376	0.09390757522975081	995.096673257439	-0.528787652562575	-0.1602284421656925	Yes	SRF+
CD244	7	Yes	-0.33339665791614886	0.09356314763515693	986.5509430164896	-0.5170023121136997	-0.14979100371859802	Yes	SRF+
IL6	1	No	0.3538298615753932	0.05203348723670094	1035.001231382301	0.2517267001958075	0.4559330229549789	No	SRF-
IL6	4	No	-0.19085960488750994	0.051616151058615736	1015.893490253193	-0.2921460751111432	-0.08957313466387669	No	SRF-
IL6	7	No	-0.498558220357049	0.05248272985544535	1056.184982184331	-0.6015404937640666	-0.3955759469500314	No	SRF-
IL6	1	Yes	0.8158907331812145	0.0859544437551825	1015.1804976549805	0.6472220253671539	0.9845594409952751	Yes	SRF+
IL6	4	Yes	0.5852269788234286	0.08843361951317058	1076.4461284117817	0.41170516401417373	0.7587487936326833	Yes	SRF+
