Assay	Day	srf14	emmean	SE	df	lower.CL	upper.CL	group	color_class
MCP-3	1	No	0.17433031099862362	0.04990664845897047	959.5628640232796	0.07639154300929678	0.27226907898795044	No	SRF-
MCP-3	4	No	-0.29335198992212963	0.04985130125466179	956.3943397080511	-0.3911825517061364	-0.19552142813812284	No	SRF-
MCP-3	7	No	-0.523538326718786	0.0503539144190022	982.0807397473498	-0.6223519656649232	-0.4247246877726487	No	SRF-
MCP-3	1	Yes	0.616646879482489	0.0893206197340319	966.2049931133172	0.4413621073012986	0.7919316516636794	Yes	SRF+
MCP-3	4	Yes	0.4954346206525222	0.09152532525338848	1021.1167419026725	0.3158353987223813	0.6750338425826631	Yes	SRF+
MCP-3	7	Yes	0.3779498833743213	0.09106250457189798	1009.4060912597243	0.19925638964508244	0.5566433771035602	Yes	SRF+
CD244	1	No	0.2513430315101671	0.050677107592680626	934.3691158277454	0.15188889760439014	0.3507971654159441	No	SRF-
CD244	4	No	0.16442571617543303	0.050623919523387836	931.35428574412	0.06507554706457602	0.26377588528629003	No	SRF-
CD244	7	No	0.43642481762828	0.051109732301688714	956.0595161600502	0.3361246064669228	0.5367250287896372	No	SRF-
CD244	1	Yes	-0.020057829115407447	0.0906880731935411	940.9001808708175	-0.19803212568607137	0.1579164674552565	Yes	SRF+
CD244	4	Yes	-0.3489152358931826	0.09283191699215172	994.5713069101731	-0.5310841394728147	-0.16674633231355046	Yes	SRF+
CD244	7	Yes	-0.3108251002823581	0.0923822671443173	983.1193870374501	-0.4921142055246043	-0.12953599504011196	Yes	SRF+
IL6	1	No	0.33185450347112705	0.04779363894373315	1011.1920059171533	0.2380684358294629	0.4256405711127912	No	SRF-
IL6	4	No	-0.21492635066096738	0.047735037369235386	1007.7576444196861	-0.3085978062294756	-0.12125489509245918	No	SRF-
IL6	7	No	-0.5804691577063101	0.04826133603147228	1035.032794064086	-0.6751703793037851	-0.4857679361088352	No	SRF-
IL6	1	Yes	0.806893166335171	0.08555914651426713	1017.9179412588337	0.6390006906250663	0.9747856420452758	Yes	SRF+
IL6	4	Yes	0.5590775319895799	0.0878407206425268	1074.3624341316831	0.38671870940784475	0.731436354571315	Yes	SRF+
IL6	7	Yes	0.44962039491024475	0.08736097590503944	1062.3482829834766	0.278200728846408	0.6210400609740815	Yes	SRF+
TRAIL	1	No	-0.02400869319801839	0.051869744414541286	1055.6534252328465	-0.12578821764965015	0.07777083125361337	No	SRF-
TRAIL	4	No	0.21874530318887392	0.05180116002996968	1052.0493198128506	0.11709995626678552	0.32039065011096235	No	SRF-
TRAIL	7	No	0.4263163470850913	0.052411732902028364	1080.214828664861	0.3234760093840655	0.5291566847861171	No	SRF-
TRAIL	1	Yes	-0.2528390407762805	0.09287306443330566	1062.2989952421442	-0.4350745340162757	-0.07060354753628528	Yes	SRF+
TRAIL	4	Yes	-0.23918828562362826	0.09549461463727234	1119.008633696688	-0.42655695272842464	-0.051819618518831906	Yes	SRF+
TRAIL	7	Yes	-0.1278600915865703	0.09494269102769042	1106.9696769527375	-0.3141480306695714	0.058427847496430846	Yes	SRF+
CD6	1	No	0.0017450246554773091	0.05217420553765233	947.2426341048125	-0.10064536830227531	0.10413541761322993	No	SRF-
CD6	4	No	0.10639507496001813	0.052117850539099266	944.1474303848781	0.004114848107469676	0.20867530181256658	No	SRF-
CD6	7	No	0.4014967315354577	0.052631050785428915	969.3704141765288	0.2982128090675633	0.504780654003352	No	SRF-
CD6	1	Yes	-0.17854032616952586	0.09337329686042616	953.8362402130249	-0.3617811423521424	0.004700490013090669	Yes	SRF+
CD6	4	Yes	-0.14559395102748712	0.09563101133761652	1008.1822876630044	-0.3332525763541709	0.042064674299196636	Yes	SRF+
CD6	7	Yes	-0.21036214971980133	0.09515726300733819	996.5889601209059	-0.39709374022746785	-0.023630559212134805	Yes	SRF+
SCF	1	No	0.446919698489984	0.052099177179419635	870.9991772693331	0.3446650951709339	0.549174301809034	No	SRF-
SCF	4	No	0.04852840570106517	0.052052670609275944	868.4305226199423	-0.05363534005928452	0.15069215146141485	No	SRF-
SCF	7	No	0.09553327964372679	0.05248423347602167	890.1091706994061	-0.007473993052214939	0.19854055233966852	No	SRF-
SCF	1	Yes	0.32951684609692394	0.09319991559046982	877.0446779122632	0.1465959343742689	0.512437757819579	Yes	SRF+
SCF	4	Yes	-0.30010281372393594	0.09513497287710376	926.1210459072458	-0.4868079370906874	-0.11339769035718444	Yes	SRF+
SCF	7	Yes	-0.3301135168961372	0.0947301026635871	915.6502027173029	-0.5160268528247295	-0.14420018096754492	Yes	SRF+
TGF-alpha	1	No	-0.1759669230674146	0.05398112011954587	1029.8663189149204	-0.28189246228200215	-0.07004138385282702	No	SRF-
TGF-alpha	4	No	-0.18433655595538495	0.05391272507292289	1026.353589879455	-0.2901283116312442	-0.07854480027952572	No	SRF-
