Assay	term	Day1	SRF1	Day2	SRF2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value	Day	group1	group2	emmean1	emmean2	y_position	label	x_offset	x_pos
MCP-3	Day*srf14	Day1	No	Day1	Yes	0	-0.4423165684838653	0.09248321973175558	1078.149021470326	-4.782668356127624	1.9699044945065257e-6	1.8714092697811996e-5	1	No	Yes	0.17433031099862362	0.616646879482489	0.816646879482489	***	0.15	1.15
MCP-3	Day*srf14	Day4	No	Day4	Yes	0	-0.7887866105746518	0.0946463733546557	1127.835242839539	-8.334039463075223	2.2484841159664617e-16	2.136059910168139e-15	4	No	Yes	-0.29335198992212963	0.4954346206525222	0.6954346206525222	***	0.15	2.15
MCP-3	Day*srf14	Day7	No	Day7	Yes	0	-0.9014882100931072	0.09436922566978789	1121.5912310689864	-9.552777440895298	7.640026476212197e-21	7.258025152401587e-20	7	No	Yes	-0.523538326718786	0.3779498833743213	0.5779498833743213	***	0.15	3.15
CD244	Day*srf14	Day1	No	Day1	Yes	0	0.27140086062557456	0.09371068703510785	1047.3190484292036	2.896156982862549	0.003856170604841874	0.010466748784570802	1	No	Yes	0.2513430315101671	-0.020057829115407447	0.45134303151016714	*	0.15	1.15
CD244	Day*srf14	Day4	No	Day4	Yes	0	0.5133409520686156	0.09581848270998901	1096.7500024795113	5.357431442765898	1.0282574671289828e-7	3.9073783750901344e-7	4	No	Yes	0.16442571617543303	-0.3489152358931826	0.36442571617543307	***	0.15	2.15
CD244	Day*srf14	Day7	No	Day7	Yes	0	0.7472499179106381	0.09554837294515701	1090.511958502417	7.820645133743362	1.2343633974442584e-14	5.863226137860227e-14	7	No	Yes	0.43642481762828	-0.3108251002823581	0.6364248176282801	***	0.15	3.15
IL6	Day*srf14	Day1	No	Day1	Yes	0	-0.475038662864044	0.0889422493032611	1139.7755048909626	-5.340978742783229	1.1153935025429218e-7	2.1192476548315516e-6	1	No	Yes	0.33185450347112705	0.806893166335171	1.006893166335171	***	0.15	1.15
IL6	Day*srf14	Day4	No	Day4	Yes	0	-0.7740038826505472	0.09117167468324405	1188.811949677867	-8.489521392906882	6.105941871259694e-17	1.160128955539342e-15	4	No	Yes	-0.21492635066096738	0.5590775319895799	0.75907753198958	***	0.15	2.15
IL6	Day*srf14	Day7	No	Day7	Yes	0	-1.030089552616555	0.09088617107219431	1182.7065831744023	-11.33384254683054	2.4323555854562105e-28	4.6214756123668e-27	7	No	Yes	-0.5804691577063101	0.44962039491024475	0.6496203949102448	***	0.15	3.15
TRAIL	Day*srf14	Day1	No	Day1	Yes	0	0.2288303475782621	0.09686590043797753	1191.0314404414833	2.3623416139591904	0.01831999226034607	0.034807985294657534	1	No	Yes	-0.02400869319801839	-0.2528390407762805	0.1759913068019816	*	0.15	1.15
TRAIL	Day*srf14	Day4	No	Day4	Yes	0	0.4579335888125022	0.09941884478241864	1238.3580289992976	4.606104504781811	4.526142890467347e-6	9.555190546542177e-6	4	No	Yes	0.21874530318887392	-0.23918828562362826	0.41874530318887393	***	0.15	2.15
TRAIL	Day*srf14	Day7	No	Day7	Yes	0	0.5541764386716617	0.09909206324074668	1232.5164921821888	5.592541123351887	2.753692978778074e-8	5.2320166596783404e-8	7	No	Yes	0.4263163470850913	-0.1278600915865703	0.6263163470850913	***	0.15	3.15
CD6	Day*srf14	Day4	No	Day4	Yes	0	0.2519890259875053	0.09880242992882322	1112.7421732381538	2.5504334880127635	0.010891956846338122	0.014360897124715501	4	No	Yes	0.10639507496001813	-0.14559395102748712	0.30639507496001817	*	0.15	2.15
CD6	Day*srf14	Day7	No	Day7	Yes	0	0.611858881255259	0.09851830432888921	1106.494708784787	6.2106111693991	7.455898989905273e-10	2.023744011545717e-9	7	No	Yes	0.4014967315354577	-0.21036214971980133	0.6014967315354577	***	0.15	3.15
SCF	Day*srf14	Day4	No	Day4	Yes	0	0.34863121942500114	0.09771208302108556	1014.7803071143534	3.567943785926343	3.7660974978606974e-4	5.504296343027173e-4	4	No	Yes	0.04852840570106517	-0.30010281372393594	0.24852840570106519	***	0.15	2.15
SCF	Day*srf14	Day7	No	Day7	Yes	0	0.425646796539864	0.0974668421940942	1008.795642270505	4.367093331004163	1.3890405115011752e-5	1.6494856074076457e-5	7	No	Yes	0.09553327964372679	-0.3301135168961372	0.2955332796437268	***	0.15	3.15
TGF-alpha	Day*srf14	Day7	No	Day7	Yes	0	-0.2641809776196754	0.10285383077000357	1203.9478323540748	-2.568508879464327	0.010333401383187692	0.011549095663562716	7	No	Yes	-0.03896303439716495	0.22521794322251043	0.42521794322251044	*	0.15	3.15
MCP-4	Day*srf14	Day1	No	Day1	Yes	0	0.2898424497121881	0.09708474670116336	879.3833343992123	2.9854581647552974	0.002909996198736474	0.010466748784570802	1	No	Yes	-0.20733212304797097	-0.49717457276015903	-0.0073321230479709565	*	0.15	1.15
LIF-R	Day*srf14	Day1	No	Day1	Yes	0	-0.26697432481008854	0.09716210471668439	1095.7887601644911	-2.747720683784699	0.006099574151373182	0.014486488609511308	1	No	Yes	0.3177346670679418	0.5847089918780303	0.7847089918780303	*	0.15	1.15
PD-L1	Day*srf14	Day1	No	Day1	Yes	0	-0.44219444485024434	0.09418875663970863	981.6764266169741	-4.6947688941444365	3.048185876740162e-6	1.9305177219354357e-5	1	No	Yes	0.2226842523760223	0.6648786972262667	0.8648786972262668	***	0.15	1.15
PD-L1	Day*srf14	Day4	No	Day4	Yes	0	-0.7117397747335605	0.09611326876348696	1029.2694474948914	-7.405218695505939	2.7202480465042327e-13	1.722823762786014e-12	4	No	Yes	-0.173863391061214	0.5378763836723466	0.7378763836723465	***	0.15	2.15
PD-L1	Day*srf14	Day7	No	Day7	Yes	0	-0.6179840492250745	0.09586655821295811	1023.2156029022887	-6.446294315190537	1.7628858120271787e-10	5.721168931945409e-10	7	No	Yes	-0.3816944794333985	0.2362895697916761	0.4362895697916761	***	0.15	3.15
TRANCE	Day*srf14	Day1	No	Day1	Yes	0	0.33889278875295503	0.08983355842953346	1186.9154042314096	3.7724520176809726	1.6962467384386626e-4	0.00080571720075836475	1	No	Yes	-0.18046912611479923	-0.5193619148677543	0.019530873885200778	***	0.15	1.15
TRANCE	Day*srf14	Day4	No	Day4	Yes	0	0.48477122857154975	0.09219214712430629	1234.4182372153396	5.258270294083873	1.7124178956758608e-7	5.122248367173289e-7	4	No	Yes	0.1930505856299963	-0.2917206429415534	0.3930505856299963	***	0.15	2.15
TRANCE	Day*srf14	Day7	No	Day7	Yes	0	0.7988276155712472	0.09189023137015608	1228.5506586421284	8.693281142729703	1.107956222903032e-17	7.017056078385869e-17	7	No	Yes	0.6085439607996694	-0.1902836547715777	0.8085439607996694	***	0.15	3.15
HGF	Day*srf14	Day1	No	Day1	Yes	0	-0.22326960119700262	0.09928363060221393	1202.8719211891907	-2.248805768309846	0.024705235081052185	0.04267267877636287	1	No	Yes	-0.11889523320379354	0.10437436799320908	0.3043743679932091	*	0.15	1.15
