Protein	Protein_label	Arm	AUC	CI_lower	CI_upper	Direction	Threshold_in_sample	Sensitivity_in_sample	Specificity_in_sample	Threshold_cv	Sensitivity_cv	Specificity_cv	n_cv_folds	n	n_srf
CD244	CD244	Placebo	0.5783045977011494	0.4774742545399785	0.6791349408623203	>	0.1342760363316745	0.75	0.5086206896551724	0.1672265634487988	0.7464285714285714	0.4742753623188406	5	152	36
IL6	IL-6	Placebo	0.7045019157088123	0.6046743737023297	0.8043294577152948	<	0.8623283119548155	0.6388888888888888	0.75	0.7637170217632869	0.6178571428571429	0.7057971014492753	5	152	36
MCP-1	MCP-1	Placebo	0.6848659003831418	0.5882561758309204	0.7814756249353632	<	0.502610360096806	0.6111111111111112	0.7068965517241379	0.1375475110318848	0.7	0.5431159420289855	5	152	36
MCP-3	MCP-3	Placebo	0.7672413793103449	0.6880441057460792	0.8464386528746105	<	0.5917381071736935	0.75	0.6982758620689655	0.4776219830307886	0.7464285714285714	0.6134057971014493	5	152	36
PD-L1	PD-L1	Placebo	0.7272509578544062	0.6357652184283757	0.8187366972804366	<	0.5648993159455545	0.6944444444444444	0.7068965517241379	0.4529858920958409	0.6964285714285714	0.6557971014492754	5	152	36
TNFB	TNF-B	Placebo	0.6259578544061303	0.5232071149901871	0.7287085938220734	>	0.35739658030113397	0.8333333333333334	0.4396551724137931	0.051932234471726804	0.6035714285714285	0.5268115942028986	5	152	36
CD244	CD244	Anakinra	0.5781535937401401	0.49137382750808145	0.6649333599721987	>	-0.16672987787260202	0.6037735849056604	0.6421404682274248	-0.1673437023787288	0.5854545454545454	0.6189265536723164	5	352	53
IL6	IL-6	Anakinra	0.709913548305673	0.6376485493286315	0.7821785472827145	<	0.30938749864347903	0.8301886792452831	0.5183946488294314	0.4788536424335229	0.6836363636363636	0.5680225988700565	5	352	53
MCP-1	MCP-1	Anakinra	0.6114722029406197	0.5311152301909148	0.6918291756903245	<	-0.10115912834814256	0.7358490566037735	0.4983277591973244	-0.09565930438316622	0.7181818181818181	0.498135593220339	5	352	53
MCP-3	MCP-3	Anakinra	0.6670663217012683	0.5909699712467913	0.7431626721557456	<	0.8476625638028961	0.5094339622641509	0.7792642140468228	0.8476815769640246	0.49272727272727274	0.7755367231638418	5	352	53
PD-L1	PD-L1	Anakinra	0.6237142676847353	0.5406989913640106	0.70672954400546	<	0.6730166347977935	0.5094339622641509	0.7190635451505016	0.43997740841083577	0.5145454545454545	0.5787005649717514	5	352	53
TNFB	TNF-B	Anakinra	0.6288887486590522	0.5499300803230746	0.7078474169950298	>	-0.1366374329075645	0.660377358490566	0.5551839464882943	-0.029118617755960686	0.5509090909090909	0.5153107344632768	5	352	53
CD244	CD244	Global	0.5815892784621632	0.5170595994568435	0.6461189574674829	>	0.15404522647555952	0.6853932584269663	0.4987951807228916	0.04010900524930501	0.5816993464052288	0.5277108433734939	5	504	89
IL6	IL-6	Global	0.7095167185596318	0.6519223363204943	0.7671111007987691	<	0.3465652105903625	0.8202247191011236	0.5277108433734939	0.549371909034351	0.6836601307189543	0.5975903614457831	5	504	89
MCP-1	MCP-1	Global	0.6421280628130499	0.5806555716747707	0.7036005539513291	<	0.5052738520949156	0.5056179775280899	0.7180722891566265	0.2691028659756492	0.5045751633986928	0.6289156626506024	5	504	89
MCP-3	MCP-3	Global	0.7053472316231217	0.6497922204756819	0.7609022427705616	<	0.809046898980287	0.5393258426966292	0.763855421686747	0.6384328285902277	0.5823529411764706	0.6457831325301204	5	504	89
PD-L1	PD-L1	Global	0.6634628401245432	0.601464162208206	0.7254615180408801	<	0.6266053054794689	0.5842696629213483	0.6987951807228916	0.6260362067580547	0.5738562091503268	0.6963855421686747	5	504	89
TNFB	TNF-B	Global	0.6232299986462705	0.5614654815373239	0.6849945157552171	>	-0.1255825998842855	0.651685393258427	0.5686746987951807	0.1933092601139756	0.7058823529411765	0.44819277108433736	5	504	89
