Assay	n_placebo	n_anakinra	median_placebo	median_anakinra	p.value	adj.p.value
CCL23	30	48	0.2857552723749155	-0.402694067558683	0.002663234523507807	0.08027721142256301
OSM	30	48	0.580845955845517	-0.061975356650197426	0.00314908355642185	0.08027721142256301
CCL19	30	48	0.022145045545387487	-0.5597753611402059	0.003594502003995359	0.08027721142256301
TNFSF14	30	48	0.777799255852222	0.08586341430546596	0.008176830147776037	0.13696190497524863
IL6	30	48	0.44101825633031116	-0.383149884273164	0.013508306942496384	0.18101131302945156
VEGFA	30	48	0.27571194172099706	-0.14689004590168198	0.0229096503893933	0.18486414242223811
OPG	30	48	0.34935127257260773	-0.439212665050688	0.0248242838270627	0.18486414242223811
IL10	30	48	-0.2077999116761335	-0.6901218397408655	0.02617637995616895	0.18486414242223811
TNF	30	48	0.24296817896249961	-0.41752012323493504	0.02617637995616895	0.18486414242223811
TGF-alpha	30	48	0.6514448912266235	0.2275933369095087	0.02759166304809524	0.18486414242223811
ST1A1	30	48	-0.09434891558771302	0.3834418773393537	0.03224016915539913	0.19637193940106742
IL-18R1	30	48	-0.08273678275147961	-0.6526742962776994	0.037544195306479455	0.20962175712784362
CXCL5	30	48	0.3102807051288105	-0.12970062321855105	0.051621262216649866	0.2660480437319647
CCL20	30	48	0.4289925656605714	-0.3516472963491679	0.06376157199728727	0.27954764814561567
CDCP1	30	48	-0.12113335434406564	-0.523181885767054	0.06675764731835598	0.27954764814561567
IL18	30	48	-0.14965547100143894	-0.3410398470502499	0.06675764731835598	0.27954764814561567
FGF-21	30	48	0.19844564396142006	-0.48181373557653895	0.07146828911599701	0.2816691394571647
CCL11	30	48	0.20982928735143305	-0.17689964374831052	0.1013881629092881	0.3373756645604152
CSF-1	30	48	-0.19953028274764079	-0.7843721952938375	0.1035481783681036	0.3373756645604152
HGF	30	48	0.39057089352231505	0.014105927622800968	0.10574461128013013	0.3373756645604152
IL-10RB	30	48	0.2951618950749636	-0.0020228617611105504	0.10574461128013013	0.3373756645604152
CD8A	30	48	-0.17083836502431898	-0.438021150310384	0.13241589642396945	0.40326659365481604
STAMBP	30	48	0.005230959914238512	0.22274792105514557	0.14614326563860555	0.4257216868602857
CXCL6	30	48	0.516340501570459	0.006020825512570521	0.16402345638589466	0.4395828631141977
TRAIL	30	48	0.115656042462761	-0.19340611426033077	0.16402345638589466	0.4395828631141977
MCP-3	30	48	0.13617320604592043	-0.03940443590185497	0.18350418691944737	0.47287617398472975
IFN-gamma	30	48	-0.3395068966490371	-0.678783636261469	0.21586168956610896	0.525998845542006
CD244	30	48	-0.28463798130899853	-0.39784874867746595	0.22751089252444667	0.525998845542006
SIRT2	30	48	0.10450897364676184	0.4080086505430581	0.23552187113821163	0.525998845542006
CXCL1	30	48	0.06164371070164147	-0.39721795722645054	0.23552187113821166	0.525998845542006
Flt3L	30	48	-0.09606068329458693	-0.29897091266613873	0.2695542980864063	0.5269671344072558
MCP-2	30	48	-0.39330576845411747	-0.6790891702446458	0.2695542980864063	0.5269671344072558
CX3CL1	30	48	0.13260367716367005	0.015998484635794508	0.2740343956806297	0.5269671344072558
TNFRSF9	30	48	0.13418323495912599	0.15953929707753	0.2740343956806297	0.5269671344072558
CCL3	30	48	0.5775724151183546	0.2989051544984274	0.2785651068086472	0.5269671344072558
uPA	30	48	-0.3385027536533309	-0.6946722336461545	0.28314651998001805	0.5269671344072558
AXIN1	30	48	0.3739263424824006	0.1467230978053755	0.29719570956964314	0.5381652038152998
MCP-1	30	48	0.252721704292082	-0.25431997648171994	0.31170345139295796	0.5495824011402153
CCL4	30	48	0.38839766921524	0.33945128459776	0.3633775046494485	0.6242639182439244
IL7	30	48	0.39375241327704547	0.14873086944657402	0.37986973829691695	0.6362818116473359
SLAMF1	30	48	0.11573992839513245	-0.029025425806420008	0.3911160643912386	0.6391408857125118
MMP-10	30	48	-0.366454766691553	-0.4921256880768584	0.4260485838999768	0.673182841270317
PD-L1	30	48	-0.23601233291492058	-0.21667324159368556	0.4320427190242333	0.673182841270317
IL8	30	48	0.3064224744102525	0.12245753221137698	0.5011226895171437	0.7399164165595393
LAP TGF-beta-1	30	48	0.32343154968540055	-0.12071956027396619	0.5011226895171437	0.7399164165595393
MCP-4	30	48	0.611895152187621	0.3664146027399049	0.514283045492445	0.7399164165595393
4E-BP1	30	48	0.16525560661676378	-0.022566684381033	0.5276208857648237	0.7399164165595393
CXCL11	30	48	-0.45253859165106713	-0.417578252089306	0.5411329016629467	0.7399164165595393
LIF-R	30	48	-0.6333278768466255	-0.6930806222888599	0.5411329016629467	0.7399164165595393
ADA	30	48	0.1437004603658748	-0.0738562865082385	0.5548155934013881	0.7434528951578601
SCF	30	48	-0.556064034771533	-0.679175001043482	0.5826780620492134	0.759862928230039
DNER	30	48	-0.1448907777670675	-0.15792969289538752	0.5897443622083884	0.759862928230039
CASP-8	30	48	0.11490876924291091	0.1758737587832834	0.6550403280284893	0.8280698486397884
CST5	30	48	0.023026387328632048	-0.028852661707035043	0.6774397744832994	0.8344196265422883
TWEAK	30	48	0.16862984099580502	0.055909466784507006	0.6849713352212814	0.8344196265422883
CCL25	30	48	-0.2938982262431119	-0.423605428360877	0.7462985013801635	0.8863843969924889
CXCL10	30	48	-0.3656402274115915	-0.404297546452057	0.7540882183368935	0.8863843969924889
