Assay	term	contrast	null.value	estimate	std.error	df	statistic	p.value	adj.p.value
IL8	Day*Allocation*srf14	Day1 Anakinra No - Day4 Anakinra No	0	-0.2350367799963375	0.06420587153234109	1042.6513982717202	-3.660674240329365	2.641668239943383e-4	5.363387032612323e-4
IL8	Day*Allocation*srf14	Day1 Anakinra No - Day7 Anakinra No	0	-0.4327039586776129	0.06471296461349205	1048.0508149542222	-6.686511138254948	3.709759215304477e-11	6.411505349235044e-11
IL8	Day*Allocation*srf14	Day1 Anakinra No - Day1 Placebo No	0	-0.026033766734208368	0.10618684204153028	1324.0499102218523	-0.2451694224414962	0.8063632437500071	0.9893930626752736
IL8	Day*Allocation*srf14	Day1 Anakinra No - Day4 Placebo No	0	-0.15036361662217462	0.10488436511637837	1303.1500307502868	-1.4336132602350506	0.151922538602979	0.21605500090420615
IL8	Day*Allocation*srf14	Day1 Anakinra No - Day7 Placebo No	0	-0.4088543049621824	0.1065336538996689	1329.9545095939106	-3.8377948187831104	1.29970809614041e-4	2.721263826293983e-4
IL8	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	0	-0.08743396263544446	0.1274094335085638	1307.696431825796	-0.6862440262680205	0.49268089158540584	0.7176004290483086
IL8	Day*Allocation*srf14	Day1 Anakinra No - Day4 Anakinra Yes	0	-0.4815091867441125	0.13051349743274399	1339.1602478869884	-3.6893439852245407	2.338436220463496e-4	0.0011102661560034065
IL8	Day*Allocation*srf14	Day1 Anakinra No - Day7 Anakinra Yes	0	-0.5803573135651184	0.12927918481617118	1325.1305857823427	-4.489178318925501	7.770667674459134e-6	3.062557259933894e-5
IL8	Day*Allocation*srf14	Day1 Anakinra No - Day1 Placebo Yes	0	-0.35874767398281643	0.1438381376638483	1295.6387209061752	-2.4941067773083567	0.012751308641312362	0.05695584526452855
IL8	Day*Allocation*srf14	Day1 Anakinra No - Day4 Placebo Yes	0	-0.7335438734510665	0.14981162799462983	1355.126420234379	-4.896441506378673	1.0931033672416225e-6	1.8309481401297176e-5
IL8	Day*Allocation*srf14	Day1 Anakinra No - Day7 Placebo Yes	0	-0.67905113692593555	0.14974942208862443	1354.943542527067	-4.53458268789886	6.281487636211657e-6	3.155568970470979e-5
IL8	Day*Allocation*srf14	Day4 Anakinra No - Day7 Anakinra No	0	-0.1976671786812754	0.06492162644717363	1047.100726720024	-3.0447046615832414	0.002387289783550918	0.0039011808658027196
IL8	Day*Allocation*srf14	Day4 Anakinra No - Day1 Placebo No	0	0.20900301326212914	0.10635331559462233	1326.3005684383195	1.965176281468908	0.04960227350239852	0.08982033309893786
IL8	Day*Allocation*srf14	Day4 Anakinra No - Day4 Placebo No	0	0.08467316337416289	0.10505304128321519	1305.5740870546035	0.8060039227792591	0.42038736728265824	0.9152190012754137
IL8	Day*Allocation*srf14	Day4 Anakinra No - Day7 Placebo No	0	-0.17381752496584485	0.10670119988220604	1332.2485732332839	-1.629011905749257	0.10354691351944632	0.18256955804744482
IL8	Day*Allocation*srf14	Day4 Anakinra No - Day1 Anakinra Yes	0	0.14760281736089303	0.12757304084478285	1309.866029112708	1.1570063422763455	0.24748071973082186	0.3070594115178716
IL8	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	0	-0.24647240674777499	0.13067318160230224	1341.102957930811	-1.8861743758401959	0.059487375029692945	0.1207773977875584
IL8	Day*Allocation*srf14	Day4 Anakinra No - Day7 Anakinra Yes	0	-0.3453205335687809	0.12944057796986636	1327.1955723097117	-2.6677919628045172	0.007728089226020154	0.023535544461061375
IL8	Day*Allocation*srf14	Day4 Anakinra No - Day1 Placebo Yes	0	-0.12371089398647891	0.1439850753458679	1297.4101485758238	-0.8591924801185943	0.3903930474610011	0.4588830557874926
IL8	Day*Allocation*srf14	Day4 Anakinra No - Day4 Placebo Yes	0	-0.49850709345472904	0.14995280194341187	1356.579912348738	-3.3244266662176285	9.096533438284399e-4	0.0032077249492897613
IL8	Day*Allocation*srf14	Day4 Anakinra No - Day7 Placebo Yes	0	-0.444014356929598	0.1498880699407924	1356.2818009493185	-2.9623061869099323	0.0031066171609910554	0.012243726458023572
IL8	Day*Allocation*srf14	Day7 Anakinra No - Day1 Placebo No	0	0.40667019194340454	0.1066519369486346	1330.977806900686	3.813059599088799	1.435362779774663e-4	2.671369617913956e-4
IL8	Day*Allocation*srf14	Day7 Anakinra No - Day4 Placebo No	0	0.2823403420554383	0.10535358963927932	1310.478891720123	2.679930916660218	0.007456008471595007	0.022479726670978206
IL8	Day*Allocation*srf14	Day7 Anakinra No - Day7 Placebo No	0	0.023849653715430533	0.10700030348036638	1336.8731889341357	0.2228933277727267	0.8236525792009841	0.9681530316923849
IL8	Day*Allocation*srf14	Day7 Anakinra No - Day1 Anakinra Yes	0	0.34526999604216846	0.1278400072234914	1313.152621587626	2.7007976887748715	0.00700628996668056	0.009987689952502075
IL8	Day*Allocation*srf14	Day7 Anakinra No - Day4 Anakinra Yes	0	-0.048805228066499604	0.13093335202628256	1344.0296285959366	-0.37274863364609206	0.7093943086397225	0.7666035270784097
IL8	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	0	-0.14765335488750547	0.12970074786786528	1330.1766274222014	-1.1384156014114097	0.255151972993796	0.3561496289705069
IL8	Day*Allocation*srf14	Day7 Anakinra No - Day1 Placebo Yes	0	0.07395628469479648	0.14422675111286037	1300.112855288575	0.5127778593370946	0.6081938278774526	0.6367029135592082
IL8	Day*Allocation*srf14	Day7 Anakinra No - Day4 Placebo Yes	0	-0.3008399147734536	0.1501817948811313	1358.6845259017489	-2.003171656135606	0.045357183344991225	0.0675318063136536
IL8	Day*Allocation*srf14	Day7 Anakinra No - Day7 Placebo Yes	0	-0.2463471782483226	0.1501233391058451	1358.5993730213213	-1.640965220435408	0.10103609808563485	0.1651077700423789
IL8	Day*Allocation*srf14	Day1 Placebo No - Day4 Placebo No	0	-0.12432984988796625	0.10179745449088591	1045.5479578523646	-1.2213453716477527	0.22223060331033218	0.30386633513861744
IL8	Day*Allocation*srf14	Day1 Placebo No - Day7 Placebo No	0	-0.382820538227974	0.10350639891050374	1057.4821016661083	-3.698520499771012	2.280099579142159e-4	4.0201755737506484e-4
IL8	Day*Allocation*srf14	Day1 Placebo No - Day1 Anakinra Yes	0	-0.0614001959012361	0.14519211076339214	1322.5953860190982	-0.4228893400502665	0.672444747367841	0.901075961472907
IL8	Day*Allocation*srf14	Day1 Placebo No - Day4 Anakinra Yes	0	-0.45547542000990415	0.14791282787901622	1346.359876220018	-3.079350361568745	0.0021164979127033714	0.010128954296508992
IL8	Day*Allocation*srf14	Day1 Placebo No - Day7 Anakinra Yes	0	-0.55432354683091	0.14682839286551658	1335.80177903277	-3.7753157683788543	1.6681663523646903e-4	6.574537976966721e-4
IL8	Day*Allocation*srf14	Day1 Placebo No - Day1 Placebo Yes	0	-0.33271390724860805	0.15991522988758614	1308.852416944573	-2.080564230702056	0.03766792017017856	0.13953392170852363
IL8	Day*Allocation*srf14	Day1 Placebo No - Day4 Placebo Yes	0	-0.7075101067168582	0.16531859778247157	1356.5485908351538	-4.279676432096342	2.0030517005206695e-5	3.3551115983721213e-4
IL8	Day*Allocation*srf14	Day1 Placebo No - Day7 Placebo Yes	0	-0.6530173701917271	0.16522634313428397	1356.059098900262	-3.952259414595904	8.140602051538449e-5	4.5451694787756336e-4
IL8	Day*Allocation*srf14	Day4 Placebo No - Day7 Placebo No	0	-0.25849068834000777	0.10210478507723832	1047.0520110956413	-2.5316216879010085	0.011499000653802868	0.03081732175219169
IL8	Day*Allocation*srf14	Day4 Placebo No - Day1 Anakinra Yes	0	0.06292965398673014	0.14425648580255285	1311.3190550592892	0.43623448634998224	0.6627384177026819	0.7048170473980903
IL8	Day*Allocation*srf14	Day4 Placebo No - Day4 Anakinra Yes	0	-0.3311455701219379	0.1469952977280775	1336.0338020898168	-2.2527630151442994	0.024435798566203926	0.060636981627246775
IL8	Day*Allocation*srf14	Day4 Placebo No - Day7 Anakinra Yes	0	-0.42999369694294376	0.14590215157833974	1325.0146017475442	-2.9471374636450496	0.003263421716437541	0.013665578437582203
IL8	Day*Allocation*srf14	Day4 Placebo No - Day1 Placebo Yes	0	-0.2083840573606418	0.15906559517188115	1299.4604125657763	-1.3100510964389798	0.1904100818220169	0.269469138305331
IL8	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	0	-0.583180256828892	0.16449436346997665	1348.5123950434106	-3.545290212544781	4.055964692472796e-4	0.0030194403821741924
IL8	Day*Allocation*srf14	Day4 Placebo No - Day7 Placebo Yes	0	-0.5286875203037609	0.16440703656163352	1348.1463787955802	-3.2157231914192708	0.00133203316420408	0.007437185166806113
IL8	Day*Allocation*srf14	Day7 Placebo No - Day1 Anakinra Yes	0	0.3214203423267379	0.14521063883771113	1323.0987391140081	2.2134765393185862	0.027034880575200485	0.0385390850752858
IL8	Day*Allocation*srf14	Day7 Placebo No - Day4 Anakinra Yes	0	-0.07265488178193014	0.14792905470122078	1346.766391535678	-0.4911467995835882	0.623402646947267	0.6961329557577814
IL8	Day*Allocation*srf14	Day7 Placebo No - Day7 Anakinra Yes	0	-0.17150300860293602	0.14684487155804132	1336.2330765950214	-1.1679196337146063	0.24304752767181007	0.34647200753215474
IL8	Day*Allocation*srf14	Day7 Placebo No - Day1 Placebo Yes	0	0.05010663097936594	0.15995717963773287	1309.5375852088846	0.3132502779359215	0.7541404059049341	0.7894907374317279
IL8	Day*Allocation*srf14	Day7 Placebo No - Day4 Placebo Yes	0	-0.32468956848888414	0.16536182612072509	1357.2221481215795	-1.9635098142411613	0.04979086949465879	0.08778916463531944
IL8	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	0	-0.27019683196375316	0.16527024675132174	1356.7132769582936	-1.6348788561459098	0.10230642422026232	0.2016038359634581
IL8	Day*Allocation*srf14	Day1 Anakinra Yes - Day4 Anakinra Yes	0	-0.394075224108668	0.13240417645315053	1082.462386903337	-2.9763050884433873	0.002982291918008566	0.007136198518091926
IL8	Day*Allocation*srf14	Day1 Anakinra Yes - Day7 Anakinra Yes	0	-0.49292335092967393	0.1314562091022337	1084.705846074777	-3.7497152420265416	1.8638586806132108e-4	4.803020446195582e-4
IL8	Day*Allocation*srf14	Day1 Anakinra Yes - Day1 Placebo Yes	0	-0.271313711347372	0.17278012373544183	1321.9059862253293	-1.570283117534996	0.11658857463509917	0.9153337162977851
IL8	Day*Allocation*srf14	Day1 Anakinra Yes - Day4 Placebo Yes	0	-0.6461099108156221	0.1778075842257161	1362.4400724174097	-3.6337590076890316	2.897046291131326e-4	0.0024262762688224853
IL8	Day*Allocation*srf14	Day1 Anakinra Yes - Day7 Placebo Yes	0	-0.5916171742904911	0.17780571817253574	1362.624072264603	-3.3273236674897535	9.00219600843517e-4	0.003015735662825782
IL8	Day*Allocation*srf14	Day4 Anakinra Yes - Day7 Anakinra Yes	0	-0.09884812682100588	0.1329468981565546	1057.3892787625955	-0.7435158562677036	0.457334595353624	0.666117780188974
IL8	Day*Allocation*srf14	Day4 Anakinra Yes - Day1 Placebo Yes	0	0.12276151276129607	0.17507755907543932	1338.7385470745708	0.7011835977699419	0.483310304734496	0.5969872452297763
IL8	Day*Allocation*srf14	Day4 Anakinra Yes - Day4 Placebo Yes	0	-0.252034686706954	0.1800417947079822	1376.795538845135	-1.3998676647038555	0.16177823484576428	0.44740482011467014
IL8	Day*Allocation*srf14	Day4 Anakinra Yes - Day7 Placebo Yes	0	-0.197541950181823	0.18003967565649448	1376.9570245473653	-1.0972134306591501	0.2727399422128742	0.5374581214194873
IL8	Day*Allocation*srf14	Day7 Anakinra Yes - Day1 Placebo Yes	0	0.22160963958230195	0.17416235659247156	1330.947541668534	1.2724313331430965	0.20344215457564957	0.2963179207949679
IL8	Day*Allocation*srf14	Day7 Anakinra Yes - Day4 Placebo Yes	0	-0.15318655988594815	0.17914841628486683	1370.004209252321	-0.8550818537092937	0.3926553423741702	0.5597427221078597
IL8	Day*Allocation*srf14	Day7 Anakinra Yes - Day7 Placebo Yes	0	-0.09869382336081713	0.17915387588449608	1370.4076166540428	-0.5508885748274122	0.5817998539234125	0.9309787269339678
IL8	Day*Allocation*srf14	Day1 Placebo Yes - Day4 Placebo Yes	0	-0.3747961994682501	0.15512183065461257	1078.4942697422825	-2.416140899618151	0.015851279965419084	0.040847529141656874
IL8	Day*Allocation*srf14	Day1 Placebo Yes - Day7 Placebo Yes	0	-0.32030346294311907	0.15513217491524836	1078.2574390216462	-2.064713287995265	0.039188809720254916	0.06106163375016464
IL8	Day*Allocation*srf14	Day4 Placebo Yes - Day7 Placebo Yes	0	0.05449273652513102	0.15952003888759164	1072.4000166396647	0.3416043332557749	0.732715600257158	0.8431894494798821
VEGFA	Day*Allocation*srf14	Day1 Anakinra No - Day4 Anakinra No	0	0.13538155693250642	0.04851512707299087	1024.8121414621198	2.7905019547578482	0.005360306284637083	0.008978513026767113
VEGFA	Day*Allocation*srf14	Day1 Anakinra No - Day7 Anakinra No	0	0.052033589804987096	0.048938226166214106	1027.430923127095	1.0632504257154698	0.28791823323747545	0.306198755982712
VEGFA	Day*Allocation*srf14	Day1 Anakinra No - Day1 Placebo No	0	0.08929038829693216	0.10676480523956518	949.349762472067	0.8363279275092304	0.40318089911287924	0.9893930626752736
VEGFA	Day*Allocation*srf14	Day1 Anakinra No - Day4 Placebo No	0	0.15548750814858997	0.10595652926371585	929.3672583004516	1.467465093742323	0.1425878998639769	0.20768237588883592
VEGFA	Day*Allocation*srf14	Day1 Anakinra No - Day7 Placebo No	0	0.05252279559184039	0.106974854299292	954.7049752221754	0.4909826326558316	0.6235515690253982	0.6799384154887018
VEGFA	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	0	0.008861732721927614	0.12848081236868872	938.7405139586073	0.06897319964399021	0.9450256410206205	0.9893237179434621
VEGFA	Day*Allocation*srf14	Day1 Anakinra No - Day4 Anakinra Yes	0	0.030316154341910345	0.13055570115609663	976.5782872199601	0.23220858279994505	0.816424662918835	0.8546945689931553
VEGFA	Day*Allocation*srf14	Day1 Anakinra No - Day7 Anakinra Yes	0	-0.01386064731529246	0.1297615205444991	961.2110418200227	-0.10681631393598867	0.9149569939181987	0.928819978674535
VEGFA	Day*Allocation*srf14	Day1 Anakinra No - Day1 Placebo Yes	0	-0.11243894132456685	0.1454296300494417	928.3698079928203	-0.7731501571333227	0.43963032537187785	0.5846468033107596
VEGFA	Day*Allocation*srf14	Day1 Anakinra No - Day4 Placebo Yes	0	-0.38786751826964755	0.1492990883622131	993.494799023756	-2.5979228843557696	0.009517744223273375	0.03036613633139601
VEGFA	Day*Allocation*srf14	Day1 Anakinra No - Day7 Placebo Yes	0	-0.2798369167286849	0.14925261677005877	992.8472329668506	-1.8749213433209455	0.061096917753093824	0.11695695684163675
VEGFA	Day*Allocation*srf14	Day4 Anakinra No - Day7 Anakinra No	0	-0.08334796712751932	0.04908501396522143	1026.4187704397982	-1.6980328697996192	0.08980465631701957	0.12033823946480623
VEGFA	Day*Allocation*srf14	Day4 Anakinra No - Day1 Placebo No	0	-0.04609116863557426	0.10687301583928574	951.8469996437398	-0.4312704032314908	0.6663694220153829	0.7567245978818755
VEGFA	Day*Allocation*srf14	Day4 Anakinra No - Day4 Placebo No	0	0.020105951216083565	0.10606555641878267	931.9034736619486	0.18956154943173514	0.8496939988757796	0.9791167195678598
VEGFA	Day*Allocation*srf14	Day4 Anakinra No - Day7 Placebo No	0	-0.08285876134066603	0.10708325434160906	957.2180302543318	-0.7737788868120887	0.43925261394297344	0.5169160601417854
VEGFA	Day*Allocation*srf14	Day4 Anakinra No - Day1 Anakinra Yes	0	-0.1265198242105788	0.12858314903677484	940.800618808441	-0.9839533808150404	0.3253914058761589	0.38930757488754725
VEGFA	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	0	-0.10506540259059607	0.1306563833809463	978.5723126445256	-0.8041352429315584	0.4215141738606918	0.5431048009358914
VEGFA	Day*Allocation*srf14	Day4 Anakinra No - Day7 Anakinra Yes	0	-0.14924220424779888	0.1298627565781427	963.2308275442208	-1.1492302195048119	0.25074634075300695	0.39069778675468525
VEGFA	Day*Allocation*srf14	Day4 Anakinra No - Day1 Placebo Yes	0	-0.24782049825707325	0.1455212295929052	929.9988619903777	-1.7029851860814376	0.08890496892032891	0.12156393709514361
VEGFA	Day*Allocation*srf14	Day4 Anakinra No - Day4 Placebo Yes	0	-0.5232490752021539	0.14938830532823394	995.0400344081934	-3.502610689989944	4.811989982858979e-4	0.0018964901697150094
VEGFA	Day*Allocation*srf14	Day4 Anakinra No - Day7 Placebo Yes	0	-0.4152184736611913	0.14934137240929482	994.3658695743701	-2.7803311765691836	0.005532861754430728	0.01765246369270756
VEGFA	Day*Allocation*srf14	Day7 Anakinra No - Day1 Placebo No	0	0.03725679849194506	0.10705828265319373	956.4246975906349	0.34800482100609925	0.727913140377186	0.727913140377186
VEGFA	Day*Allocation*srf14	Day7 Anakinra No - Day4 Placebo No	0	0.10345391834360289	0.10625168733427277	936.51592934841	0.9736684747239075	0.33047259269646057	0.4428332742132572
VEGFA	Day*Allocation*srf14	Day7 Anakinra No - Day7 Placebo No	0	4.892057868532973e-4	0.10726876848777667	961.8073246515462	0.0045605612309145005	0.9963621569295963	0.9963621569295963
VEGFA	Day*Allocation*srf14	Day7 Anakinra No - Day1 Anakinra Yes	0	-0.043171857083059484	0.1287525882157996	944.1630097671513	-0.3353086542283718	0.7374667520180177	0.7486404906849573
VEGFA	Day*Allocation*srf14	Day7 Anakinra No - Day4 Anakinra Yes	0	-0.02171743546307675	0.13082291613844615	981.8179728387952	-0.16600635503411199	0.8681861264188513	0.8948995456932773
VEGFA	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	0	-0.06589423712027956	0.13002957261647624	966.4842042607407	-0.5067634676815819	0.6124363833454441	0.7198813628797327
VEGFA	Day*Allocation*srf14	Day7 Anakinra No - Day1 Placebo Yes	0	-0.16447253112955393	0.1456740120287755	932.6839135764918	-1.1290451113343751	0.2591691115953842	0.3157150995798317
