Assay	term	contrast	null.value	estimate	std.error	df	statistic	p.value	adj.p.value
IL8	Day*srf14	Day1 No - Day4 No	0	-0.1796833149421519	0.060177002580472476	1044.732677769074	-2.985913342923122	0.0028932310955049733	0.00484616208497083
IL8	Day*srf14	Day1 No - Day7 No	0	-0.40776224845279346	0.06103418530822288	1054.8713581391362	-6.680882957535887	3.837351418295682e-11	6.427563625645268e-11
IL8	Day*srf14	Day1 No - Day1 Yes	0	-0.21007393494202625	0.10301406067949956	1295.5176206516865	-2.039274382121627	0.04162523338936912	0.10343369174362825
IL8	Day*srf14	Day1 No - Day4 Yes	0	-0.5945096467304853	0.10606017991455867	1337.462150657093	-5.6053991913781225	2.5204745930014444e-8	2.4124542533013823e-7
IL8	Day*srf14	Day1 No - Day7 Yes	0	-0.6166873418784228	0.10562263227218287	1331.6667403336924	-5.83859092139702	6.60590728537952e-9	3.404582985541753e-8
IL8	Day*srf14	Day4 No - Day7 No	0	-0.22807893351064157	0.06049694867234237	1047.100416040265	-3.7700898725643217	1.7231101938072085e-4	3.6077619682838426e-4
IL8	Day*srf14	Day4 No - Day1 Yes	0	-0.030390619999874385	0.10274880448859162	1290.7366382391695	-0.29577589881591965	0.7674488056684572	0.8034229684341662
IL8	Day*srf14	Day4 No - Day4 Yes	0	-0.41482633178833345	0.10580187503511358	1333.2612726839775	-3.920784311720947	9.274790209006332e-5	2.959099733349639e-4
IL8	Day*srf14	Day4 No - Day7 Yes	0	-0.4370040269362709	0.10536384047032657	1327.3842850157862	-4.147571168491562	3.5735922944942934e-5	1.8417744902393668e-4
IL8	Day*srf14	Day7 No - Day1 Yes	0	0.19768831351076718	0.10309560615014388	1296.8797793892493	1.9175241399023608	0.05539083405985435	0.07002237513226871
IL8	Day*srf14	Day7 No - Day4 Yes	0	-0.18674739827769188	0.10613851817645256	1338.619932302159	-1.7594686781591309	0.07872634707532317	0.10143587027012793
IL8	Day*srf14	Day7 No - Day7 Yes	0	-0.20892509342562932	0.10570217064538531	1332.864926166762	-1.976544967336018	0.04829895836382236	0.07892756610673408
IL8	Day*srf14	Day1 Yes - Day4 Yes	0	-0.3844357117884591	0.1019721996283406	1080.1842844858425	-3.770005091481962	1.7208429628847162e-4	5.012890370142435e-4
IL8	Day*srf14	Day1 Yes - Day7 Yes	0	-0.4066134069363965	0.10166740391060426	1081.0398782050067	-3.9994471314909354	6.780773044371964e-5	1.2278697134403285e-4
IL8	Day*srf14	Day4 Yes - Day7 Yes	0	-0.022177695147937427	0.10382533568198934	1066.3553128485053	-0.21360581212919313	0.8308952992394736	0.9126227057220448
VEGFA	Day*srf14	Day1 No - Day4 No	0	0.10078933839208212	0.04548090454648813	1025.182789582611	2.2160803395864894	0.026904971405699713	0.03755485592045585
VEGFA	Day*srf14	Day1 No - Day7 No	0	0.007632998549947666	0.04620013071157649	1030.207883834405	0.16521595139199563	0.8688064235965168	0.8802125859492662
VEGFA	Day*srf14	Day1 No - Day1 Yes	0	-0.0964337984497857	0.10412462943093949	930.042761676997	-0.9261382151064007	0.3546144107327919	0.4658659905705305
VEGFA	Day*srf14	Day1 No - Day4 Yes	0	-0.22342087611233466	0.10611435627011877	976.2881730833521	-2.1054726614333594	0.03550510868470863	0.06607895227431884
VEGFA	Day*srf14	Day1 No - Day7 Yes	0	-0.19149397617045474	0.10582938566316105	969.621466241814	-1.8094593951433409	0.07068922781534781	0.11551654301532446
VEGFA	Day*srf14	Day4 No - Day7 No	0	-0.09315633984213445	0.045737838520502255	1026.1498366812193	-2.0367455668106524	0.04193182433089062	0.056188644603393435
VEGFA	Day*srf14	Day4 No - Day1 Yes	0	-0.19722313684186782	0.10396371952527268	925.8657277236333	-1.8970380988910711	0.0581338723839094	0.07637194999454765
VEGFA	Day*srf14	Day4 No - Day4 Yes	0	-0.3242102145044168	0.10595621842896534	972.2445386213108	-3.0598507507303334	0.0022752046651301405	0.00544423973441855
VEGFA	Day*srf14	Day4 No - Day7 Yes	0	-0.29228331456253687	0.10567114330570462	965.5690359754931	-2.7659709682232427	0.0057836543672856525	0.013839458664576382
VEGFA	Day*srf14	Day7 No - Day1 Yes	0	-0.10406679699973335	0.10417549751064488	931.3083968391442	-0.9989565635537242	0.3180752106175332	0.34372643728023744
VEGFA	Day*srf14	Day7 No - Day4 Yes	0	-0.23105387466228233	0.10616393164980226	977.4907440640721	-2.176387696571453	0.0297650883496978	0.043353498248472885
VEGFA	Day*srf14	Day7 No - Day7 Yes	0	-0.19912697472040242	0.10587950041979519	970.8492829861042	-1.8806943169442243	0.0603126460960284	0.09397551833567216
VEGFA	Day*srf14	Day1 Yes - Day4 Yes	0	-0.12698707766254896	0.07754604367267878	1048.1908870447708	-1.6375700377257205	0.10181156095666755	0.15158610186881613
VEGFA	Day*srf14	Day1 Yes - Day7 Yes	0	-0.09506017772066906	0.07733137384472248	1049.2628302689382	-1.2292575832358175	0.2192508339410072	0.2577158925271488
VEGFA	Day*srf14	Day4 Yes - Day7 Yes	0	0.031926899941879916	0.07873871504311045	1036.8032629129991	0.40547905721346267	0.6852090656307583	0.8198037035225144
CD8A	Day*srf14	Day1 No - Day4 No	0	0.266635076121139	0.05173386272477854	1032.7838237875387	5.153975792212226	3.054508499328314e-7	6.821735648499901e-7
CD8A	Day*srf14	Day1 No - Day7 No	0	0.20522403675796033	0.052521771549875446	1039.8225321891002	3.907408884010635	9.932134807392913e-5	1.4158575150964364e-4
CD8A	Day*srf14	Day1 No - Day1 Yes	0	0.0901228759353147	0.10269213071374492	1079.4079788987476	0.8776025515190925	0.38035473243681395	0.49007244371666414
CD8A	Day*srf14	Day1 No - Day4 Yes	0	0.3880514034824824	0.10516046205570583	1130.7106178348643	3.6900884219862307	2.3485061746301398e-4	8.74166187223441e-4
CD8A	Day*srf14	Day1 No - Day7 Yes	0	0.4478590500776441	0.10480631445256697	1123.3954604897228	4.27320674729322	2.0900467440421304e-5	5.60132527403291e-5
CD8A	Day*srf14	Day4 No - Day7 No	0	-0.061411039363178696	0.05202011745752101	1034.2592663564258	-1.1805248116428455	0.23806297118246403	0.27500377705560497
CD8A	Day*srf14	Day4 No - Day1 Yes	0	-0.1765122001858243	0.1024860499252177	1074.331899873831	-1.7223046484338327	0.08530215531340833	0.10783480011317656
CD8A	Day*srf14	Day4 No - Day4 Yes	0	0.12141632736134336	0.10495881885559018	1125.9679382796626	1.1567996732927854	0.24759957578285632	0.3300237832236731
CD8A	Day*srf14	Day4 No - Day7 Yes	0	0.18122397395650505	0.10460445220882353	1118.6150848498562	1.732469030999988	0.08346571598217789	0.13639519440990044
CD8A	Day*srf14	Day7 No - Day1 Yes	0	-0.11510116082264563	0.10275646929569256	1080.904354787566	-1.1201354193226503	0.2629048821871516	0.2985530018057484
CD8A	Day*srf14	Day7 No - Day4 Yes	0	0.18282736672452207	0.10522274720430283	1132.0748241366982	1.737527023216191	0.08256613857965388	0.104376061978053
