Assay	Day	Allocation	srf14	emmean	SE	df	lower.CL	upper.CL
IL8	1	Anakinra	No	-0.24996826389209795	0.06053147889929522	1190.2158855758437	-0.36872855109455605	-0.13120797668963985
IL8	4	Anakinra	No	-0.014931483895760433	0.06078049834337452	1196.5987813682307	-0.13417968957055665	0.10431672177903578
IL8	7	Anakinra	No	0.18273569478551496	0.06123099780655159	1212.8098918671044	0.06260525817124708	0.30286613139978286
IL8	1	Placebo	No	-0.22393449715788957	0.09331932745944355	1268.4613474225098	-0.4070117072826473	-0.04085728703313185
IL8	4	Placebo	No	-0.09960464726992332	0.0918177137467384	1239.1088074866489	-0.2797400130893243	0.0805307185494776
IL8	7	Placebo	No	0.15888604107008442	0.09407618576121615	1284.04293714428	-0.025673861878746318	0.34344594401891515
IL8	1	Anakinra	Yes	-0.16253430125665347	0.12007112271084287	1226.4005557621167	-0.39810186078643406	0.07303325827312715
IL8	4	Anakinra	Yes	0.23154092285201455	0.12333323124431507	1267.2369030374225	-0.010418865581933445	0.47350071128596255
IL8	7	Anakinra	Yes	0.33038904967302046	0.12202890727818769	1249.4015558411725	0.09098486607071932	0.5697932332753216
IL8	1	Placebo	Yes	0.10877941009071848	0.13720041148924958	1233.8846853816435	-0.1603924916491882	0.37795131183062514
IL8	4	Placebo	Yes	0.4835756095589686	0.1434218987129919	1305.6951710207027	0.20221303771681193	0.76493818140112535
IL8	7	Placebo	Yes	0.4290828730338376	0.14332560481178286	1305.0939746521756	0.1479090887078942	0.7102566573597809
VEGFA	1	Anakinra	No	0.08821289211180097	0.06238058254280813	860.6569324401652	-0.03422298363568692	0.21064876785928888
VEGFA	4	Anakinra	No	-0.04716866482070544	0.06254442578185278	866.7658534277934	-0.16992490127117338	0.07558757162976248
VEGFA	7	Anakinra	No	0.03617930230681388	0.06280846783689037	878.2758728529076	-0.08709291174718173	0.15945151636080948
VEGFA	1	Placebo	No	-0.0010774961851311785	0.09477455472428133	913.2094362800499	-0.18707872984812973	0.1849237374778674
VEGFA	4	Placebo	No	-0.067274616036789	0.09384360376487692	887.7100776807973	-0.25145581893025937	0.1169065868566814
VEGFA	7	Placebo	No	0.035690096519960586	0.09523229753115056	926.1628648658065	-0.1512060182396076	0.22258621127952877
VEGFA	1	Anakinra	Yes	0.07935115938987336	0.12285402666863386	887.204619660738	-0.16176724510845067	0.32046956388819736
VEGFA	4	Anakinra	Yes	0.057896737769890634	0.1250016373162319	928.2172996778004	-0.18742184949789095	0.30321532503767223
VEGFA	7	Anakinra	Yes	0.10207353942709343	0.12417181483341538	911.5003028848657	-0.14162233743536287	0.3457694162895497
VEGFA	1	Placebo	Yes	0.20065183343636783	0.14026315170286732	889.1773758475745	-0.07463360706524536	0.475937273937981
VEGFA	4	Placebo	Yes	0.4760804103814485	0.1442551735815094	958.6944269508866	0.19298806545926783	0.7591727553036292
VEGFA	7	Placebo	Yes	0.3680498088404859	0.14418694371313065	957.6481371585508	0.0850909702639891	0.6510086474169827
CD8A	1	Anakinra	No	0.32971576410268677	0.06102227646409968	988.223202755152	0.2099676369187784	0.44946389128659514
CD8A	4	Anakinra	No	0.06970347454603636	0.061225168996091886	995.2684527920131	-0.05044175944422803	0.18984870853630076
CD8A	7	Anakinra	No	0.07877628920111183	0.0615680841576387	1010.1279892491671	-0.04203970057720445	0.1995922789794281
CD8A	1	Placebo	No	0.2789405723201266	0.09328847617320474	1056.8794222562901	0.0958888876328132	0.46199225700743995
CD8A	4	Placebo	No	0.0056827096344989475	0.09210710208403936	1026.0789073514165	-0.17505708985090523	0.1864225091199031
CD8A	7	Placebo	No	0.11943197370578086	0.09387490914279001	1072.7766738666994	-0.06476728679378764	0.3036312342053494
CD8A	1	Anakinra	Yes	0.22937995762978797	0.12055631768699186	1021.9458612973981	-0.007186259966017072	0.465946175225593
CD8A	4	Anakinra	Yes	-0.21145039472135624	0.12321150807627833	1068.3030593227318	-0.4532144211882456	0.030313631745533143
CD8A	7	Anakinra	Yes	-0.19993306969401314	0.12217030780361354	1048.8307572653032	-0.4396591145148926	0.03979297512686633
CD8A	1	Placebo	Yes	0.19903062692239595	0.13767598102786588	1025.3987714620885	-0.07112822221539597	0.4691894760601879
CD8A	4	Placebo	Yes	0.04400392417920479	0.142665215036832	1105.5360625902365	-0.23592122143233507	0.32392906979074465
CD8A	7	Placebo	Yes	-0.08712869403846164	0.1425829938810294	1104.507005644148	-0.36689279819532195	0.1926354101183987
MCP-3	1	Anakinra	No	0.17630551939673408	0.056736981989422106	988.2065227059372	0.06496671216751596	0.2876443266259522
MCP-3	4	Anakinra	No	-0.3081865681699242	0.05692562187760828	995.2517213303943	-0.41989458650066214	-0.19647854983918622
MCP-3	7	Anakinra	No	-0.5705170095335561	0.05724444630271998	1010.1109320869724	-0.6828486611367942	-0.458185357930318
MCP-3	1	Placebo	No	0.17028711585937742	0.0867372196840579	1056.8610881853936	9.037607592948804e-5	0.34048385564282535
MCP-3	4	Placebo	No	-0.2536140772511756	0.08563883723421621	1026.0609601051906	-0.42166134222190427	-0.08556681228044688
MCP-3	7	Placebo	No	-0.40278692552559864	0.08728245501009521	1072.7581085219838	-0.5740506223804929	-0.23152322867070435
MCP-3	1	Anakinra	Yes	0.5109856305570428	0.11209019818285978	1021.9285037725544	0.29103237338665366	0.730938887727432
MCP-3	4	Anakinra	Yes	0.3587930809511194	0.114558868967324	1068.285491454537	0.13400714676321496	0.5835790151390239
MCP-3	7	Anakinra	Yes	0.32907430618317424	0.1135908117960492	1048.8133482111066	0.10618318761593101	0.5519654247504174
MCP-3	1	Placebo	Yes	0.7658333287900443	0.12800762099297647	1025.3811685816352	0.5146465058474049	1.0170201517326838
MCP-3	4	Placebo	Yes	0.6913034463832979	0.1326463692455777	1105.5179210032798	0.43103639471181143	0.9515704980547843
MCP-3	7	Placebo	Yes	0.44845149547035773	0.13256992362378206	1104.4888458883574	0.1883341730591998	0.7085688178815157
CDCP1	1	Anakinra	No	0.39282415608813626	0.05998005125953222	855.9274820742347	0.2750989450094469	0.5105493671668255
CDCP1	4	Anakinra	No	-0.0686451583172511	0.060135793442711756	861.9804047313975	-0.18667487708748287	0.04938456045298069
CDCP1	7	Anakinra	No	-0.019682247221013915	0.060386311079795696	873.3362428684654	-0.13820149506578847	0.09883700062376063
CDCP1	1	Placebo	No	0.21907894635502267	0.09110465312441013	907.7618250968727	0.040278709519622424	0.3978791831904229
CDCP1	4	Placebo	No	-0.19839818767105266	0.09022057851259982	882.5457954929611	-0.37547011119519036	-0.021326264146914936
CDCP1	7	Placebo	No	-0.017623416986927598	0.09153919101147673	920.5630763922225	-0.19727313425142126	0.16202630027756607
CDCP1	1	Anakinra	Yes	0.500861574976898	0.1181112274774182	882.1376728697397	0.2690497658340697	0.7326733841197263
CDCP1	4	Anakinra	Yes	-0.1369783193182072	0.12015284544624921	922.8015607782154	-0.37278284787816673	0.09882620924175237
CDCP1	7	Anakinra	Yes	0.2034870853374539	0.11936444552151446	906.2469825456127	-0.030775798343178534	0.4377499690180864
CDCP1	1	Placebo	Yes	0.4121990513053424	0.13484702346962038	884.0690857543188	0.14754141197373338	0.6768566906369514
