Assay	Day	Allocation	emmean	SE	df	lower.CL	upper.CL
IL8	1	Anakinra	-0.20625128257437572	0.07058524128063726	1145.8823850127549	-0.3447420947753719	-0.06776047037337954
IL8	4	Anakinra	0.10830471947812706	0.07199866218548279	1179.3159652197876	-0.03295504158882884	0.24956448054508296
IL8	7	Anakinra	0.2565623722292677	0.07151624747269915	1167.8900187522438	0.11624768771894364	0.3968770567395917
IL8	1	Placebo	-0.057577543533585546	0.08586620235955038	1188.402996938853	-0.22604378413525641	0.11088869706808532
IL8	4	Placebo	0.19198548114452263	0.08795207723931632	1230.6163126204417	0.019432867259645353	0.36453809502939993
IL8	7	Placebo	0.293984457051961	0.08870014230941468	1246.764160752235	0.11996643798844431	0.46800247611547774
VEGFA	1	Anakinra	0.08378202575083717	0.07324885450851222	839.8995511707914	-0.059990273591355156	0.22755432509302947
VEGFA	4	Anakinra	0.005364036474592596	0.07416761176223098	869.0806311851661	-0.14020453921171533	0.15093261216090054
VEGFA	7	Anakinra	0.06912642086695366	0.07385695076846167	859.009423480907	-0.0758347914561807	0.214087633190088
VEGFA	1	Placebo	0.09978716862561832	0.088472291867518	862.9325985649166	-0.0738588902156197	0.27343322746685633
VEGFA	4	Placebo	0.20440289717232976	0.08979827625931275	899.4736291650757	0.02816436231835992	0.38064143202629963
VEGFA	7	Placebo	0.20186995268022323	0.090257938360971	912.799180490264	0.024732767015929247	0.3790071383445172
CD8A	1	Anakinra	0.2795478608662374	0.07146136451570397	957.5746736751091	0.1393089033795818	0.419786818352893
CD8A	4	Anakinra	-0.07087346008765993	0.07260342376391689	991.8911745844979	-0.21334740735143667	0.0716004871761168
CD8A	7	Anakinra	-0.06057839024645066	0.07221536381383961	980.0089487976528	-0.2022929239231001	0.08113614343019877
CD8A	1	Placebo	0.23898559962126129	0.08656315138498967	989.4803493901703	0.06911715627913836	0.40885404296338423
CD8A	4	Placebo	0.02484331690685187	0.08822683600428093	1032.980659414016	-0.14828095329792637	0.19796758711163012
CD8A	7	Placebo	0.01615163983365961	0.08881174566846757	1049.2083184582002	-0.15811721529345285	0.19042049496077207
MCP-3	1	Anakinra	0.34364557497688847	0.06644300725389678	957.5592576242606	0.2132548621412536	0.4740362878125233
MCP-3	4	Anakinra	0.025303256390597606	0.06750483937846749	991.8753876638322	-0.10716544293610872	0.15777195571730393
