Assay	Day	srf14	emmean	SE	df	lower.CL	upper.CL
IL8	1	No	-0.23695138052499376	0.058029019050136625	1178.1493166762866	-0.35080313076971015	-0.12309963028027737
IL8	4	No	-0.05726806558284188	0.057474737037765136	1158.8957023543153	-0.17003425244805018	0.05549812128236642
IL8	7	No	0.1708108679277997	0.058630330663060115	1199.8057534281422	0.05578149174586276	0.28584024410973663
IL8	1	Yes	-0.026877445582967497	0.09569363051646754	1154.8018362262337	-0.21463029790104451	0.1608754067351095
IL8	4	Yes	0.3575582662054916	0.09892775909411831	1213.604732788659	0.16346985439299727	0.5516466780179858
IL8	7	Yes	0.379735961353429	0.09845107308697347	1205.2928805378208	0.18658143991224088	0.5728904827946172
VEGFA	1	No	0.0435676979633349	0.05989236797224155	857.2335919647401	-0.07398516004931142	0.16112055597598124
VEGFA	4	No	-0.05722164042874722	0.05955449619780168	842.7490913125944	-0.1741141861624708	0.059670905304976346
VEGFA	7	No	0.035934699413387235	0.06025279984630251	873.0476583893172	-0.0823225623141739	0.15419196114094838
VEGFA	1	Yes	0.1400014964131206	0.09916193029596168	844.486264673317	-0.054631267181900006	0.3346342600081412
VEGFA	4	Yes	0.26698857407566956	0.10122465686265655	894.4424797686863	0.06832306326452195	0.46565408488681714
VEGFA	7	Yes	0.23506167413378964	0.10092036081868527	887.0284671163548	0.036991137554093806	0.4331322107134855
CD8A	1	No	0.3043281682114067	0.05855915410834781	981.8171884166951	0.1894126726750004	0.41924366374781297
CD8A	4	No	0.03769309209026765	0.0581273787884023	963.6192160738253	-0.0763777537019623	0.1517639378824976
CD8A	7	No	0.09910413145344635	0.059022671403715324	1001.90244301684	-0.01671809679386875	0.21492635970076146
CD8A	1	Yes	0.21420529227609197	0.09679789850381187	963.8773884736883	0.024246366481528503	0.40416421807065545
CD8A	4	Yes	-0.08372323527107572	0.09938221603905206	1023.4501716825151	-0.27873942704726856	0.11129295650511711
CD8A	7	Yes	-0.14353088186623741	0.09900087482732095	1014.7194942199565	-0.3378007526886357	0.05073898895616086
MCP-3	1	No	0.17329631762805575	0.0544468365025626	981.800941290572	0.06645076256252011	0.28014187269359137
MCP-3	4	No	-0.2809003227105499	0.05404539378676496	963.6033122005945	-0.3869605655237156	-0.17484007989738415
MCP-3	7	No	-0.4866519675295774	0.054877790934699605	1001.8857898953443	-0.5943405557273541	-0.3789633793318007
MCP-3	1	Yes	0.6384094796735436	0.09000028271972958	963.8617526839314	0.461790383189173	0.8150285761579141
MCP-3	4	Yes	0.5250482636672087	0.09240305533520439	1023.433799797281	0.34372716800780495	0.7063693593266125
MCP-3	7	Yes	0.388762900826766	0.09204850283878488	1014.7032114353532	0.20813569798889828	0.5693901036646337
CDCP1	1	No	0.30595155122157947	0.05758853925634754	852.6002898644413	0.19291963042171845	0.4189834720214405
CDCP1	4	No	-0.13352167299415188	0.05726776941721146	838.2929932024076	-0.24592672988512299	-0.02111661610318076
CDCP1	7	No	-0.018652832103970757	0.05793064700434888	868.2140050026904	-0.13235331822445012	0.09504765401650861
