Assay	effect	term	estimate	std.error	statistic	df	p.value
IL8	fixed	(Intercept)	-0.9661336713783735	0.28290672499372493	-3.4150254696130076	588.3731059899994	6.816860469269364e-4
IL8	fixed	Day4	0.2350367799963375	0.06420186600549194	3.6609026282231745	1044.2736044384458	2.639145388021634e-4
IL8	fixed	Day7	0.4327039586776129	0.06470813497179952	6.687010201517782	1049.6651634092739	3.694971744090888e-11
IL8	fixed	AllocationPlacebo	0.026033766734208368	0.10618101944703477	0.24518286667227313	1325.0402712452708	0.8063528082137388
IL8	fixed	srf14Yes	0.08743396263544446	0.12740207175028884	0.6862836799610069	1308.735907077481	0.49265580224199634
IL8	fixed	DEXcorrectedYes	-0.10323178856230197	0.08437185261974499	-1.2235335050370024	572.3530765648288	0.22163172957031127
IL8	fixed	cbmi	0.011344184614856478	0.005875417506775425	1.9307878294222613	568.3085628373433	0.05400638514670128
IL8	fixed	Age	0.006178249955261668	0.00268759987507012	2.298798274464303	570.9483619580791	0.021876673662956207
IL8	fixed	GenderMale	0.09942671243324591	0.06541520143991027	1.5199328328076505	574.193519233725	0.12907829109296962
IL8	fixed	Day4:AllocationPlacebo	-0.11070693010837127	0.12034592563248947	-0.9199059255769604	1046.3328749673283	0.35783394613755004
IL8	fixed	Day7:AllocationPlacebo	-0.0498834204496389	0.12206255397489314	-0.4086709545656348	1056.3872938649797	0.6828639806078921
IL8	fixed	Day4:srf14Yes	0.15903844411233053	0.14713228361837857	1.080921468770466	1076.3997089057439	0.2799741617933437
IL8	fixed	Day7:srf14Yes	0.060219392252061014	0.1465004903844722	0.4110524960976087	1079.0996163180143	0.681115656533794
IL8	fixed	AllocationPlacebo:srf14Yes	0.2452799446131636	0.2028793974309981	1.208993854078192	1322.5749829287768	0.2268812931775362
IL8	fixed	Day4:AllocationPlacebo:srf14Yes	0.09142790546795332	0.23678109554868984	0.38612839955017775	1072.542273162391	0.6994781588783221
IL8	fixed	Day7:AllocationPlacebo:srf14Yes	-0.12273646753691594	0.2371450284524963	-0.5175586784923973	1075.485683108982	0.6048726520150973
VEGFA	fixed	(Intercept)	0.29693397914286135	0.32718293632997053	0.9075472653726584	582.2183903331356	0.3644929387448065
VEGFA	fixed	Day4	-0.13538155693250642	0.04851317497814655	-2.7906142402242478	1025.4605446157814	0.005358399536845399
VEGFA	fixed	Day7	-0.052033589804987096	0.04893593546647364	-1.063300196654781	1028.0779423658062	0.2878955227632332
VEGFA	fixed	AllocationPlacebo	-0.08929038829693216	0.10676278232922505	-0.8363437740090628	950.0313502186586	0.4031718403722574
VEGFA	fixed	srf14Yes	-0.008861732721927614	0.12847828462545624	-0.06897455665571504	939.4257434000551	0.9450245504317729
VEGFA	fixed	DEXcorrectedYes	-0.21862407359185587	0.09795225771093202	-2.2319452221003395	576.120315373887	0.026002302872698363
VEGFA	fixed	cbmi	-1.3839530299362808e-4	0.006829260863183049	-0.02026504855594628	573.8059303854345	0.9838389818801614
VEGFA	fixed	Age	-0.0019515209656165852	0.003121021179267014	-0.6252828332536048	575.8922344103903	0.532033132094303
VEGFA	fixed	GenderMale	0.05077281132438712	0.0758844973574094	0.6690801559276539	578.149954062286	0.5037114262699405
VEGFA	fixed	Day4:AllocationPlacebo	0.0691844370808486	0.09095796667706081	0.760619873204538	1025.8268715887361	0.44705893571922284
VEGFA	fixed	Day7:AllocationPlacebo	0.08880118251007886	0.0923975889393719	0.9610768368463285	1030.7754988629863	0.33673892274897466
VEGFA	fixed	Day4:srf14Yes	0.11392713531252369	0.11177377564943694	1.0192653388558732	1044.368942679718	0.308313067674266
VEGFA	fixed	Day7:srf14Yes	0.07475596984220717	0.11135856253424747	0.6713086819813837	1046.9388809901923	0.5021719897283949
VEGFA	fixed	AllocationPlacebo:srf14Yes	0.21059106234342662	0.20408413198705397	1.0318835682765646	948.5233919925238	0.3023896946618935
VEGFA	fixed	Day4:AllocationPlacebo:srf14Yes	0.22769856148421483	0.17978407944132255	1.2665112627980526	1042.9193755546673	0.20561288816925938
VEGFA	fixed	Day7:AllocationPlacebo:srf14Yes	0.055874412856819114	0.18015113555327697	0.3101529872971303	1044.7825504075004	0.7565064743097631
CD8A	fixed	(Intercept)	0.7365732227325817	0.3062726829070796	2.404958926604798	578.14367595083	0.016487559254077036
CD8A	fixed	Day4	-0.2600122895566504	0.05518565652985009	-4.711591850248424	1026.8571333123823	2.795739017222249e-6
CD8A	fixed	Day7	-0.2509394749015749	0.055649663373530556	-4.509272108570074	1030.575475952736	7.251224185231813e-6
CD8A	fixed	AllocationPlacebo	-0.05077519178256015	0.10552487674733028	-0.4811679799838737	1100.314925372104	0.6304927844268242
CD8A	fixed	srf14Yes	-0.10033580647289878	0.12683492372041225	-0.7910739686655497	1086.0839697164088	0.4290735422625075
CD8A	fixed	DEXcorrectedYes	-0.3275170674726235	0.09157222003885973	-3.576598528829353	568.7066118524845	3.777386176079751e-4
CD8A	fixed	cbmi	0.006424019464716851	0.006381498795591703	1.0066631163755013	565.6726553101595	0.3145270993226169
CD8A	fixed	Age	-0.0056279848451916605	0.0029175394700486027	-1.9290175515938797	568.1159446307964	0.05422646174771129
CD8A	fixed	GenderMale	-0.17053788273400058	0.07096769992955117	-2.4030352245217417	570.8678048345083	0.016577679172229617
CD8A	fixed	Day4:AllocationPlacebo	-0.013245573128977256	0.10346216077522581	-0.12802335684592556	1027.7711501803997	0.8981555340263243
CD8A	fixed	Day7:AllocationPlacebo	0.09143087628722918	0.10503962721702703	0.8704417438413009	1034.759572752309	0.38426092428058856
CD8A	fixed	Day4:srf14Yes	-0.1808180627944938	0.12688075988876418	-1.4251023004040662	1051.6850467250686	0.15442432697728395
CD8A	fixed	Day7:srf14Yes	-0.17837355242222622	0.12637638611519203	-1.4114468525760722	1054.5427676855027	0.15840786355496322
CD8A	fixed	AllocationPlacebo:srf14Yes	0.020425861075168125	0.20168098141405422	0.10127807258748663	1098.0693954318501	0.9193482115231345
CD8A	fixed	Day4:AllocationPlacebo:srf14Yes	0.2990492227369303	0.20411951336424217	1.4650692518715263	1049.345376922024	0.14320156629492004
CD8A	fixed	Day7:AllocationPlacebo:srf14Yes	0.05172283007571436	0.20449488315514944	0.25292970306974605	1051.71647932304	0.8003719630587647
MCP-3	fixed	(Intercept)	-0.39456425288099134	0.28476628935942455	-1.3855721959525296	575.5960238249627	0.1664142088076327
MCP-3	fixed	Day4	-0.4844920875666583	0.051309407825877305	-9.442558550097129	1024.343207119546	2.374604691071764e-20
MCP-3	fixed	Day7	-0.7468225289302902	0.051740824848927856	-14.433912314132067	1028.069070421806	3.85643447595405e-43
MCP-3	fixed	AllocationPlacebo	-0.006018403537356666	0.09811425927967275	-0.061340763121916116	1097.956031979806	0.9510989913423655
MCP-3	fixed	srf14Yes	0.33468011116030877	0.11792779903707315	2.8380086281021395	1083.688068700791	0.004624287783392486
MCP-3	fixed	DEXcorrectedYes	0.08235294579566768	0.08514205649218899	0.967241680417043	566.1776731083118	0.333836208623842
MCP-3	fixed	cbmi	0.0011036302752367602	0.005933392933465881	0.18600323417180045	563.149792161765	0.8525092037120486
MCP-3	fixed	Age	0.005926384447055862	0.0027126710823528956	2.184704399147235	565.5881962476271	0.02932026917416993
MCP-3	fixed	GenderMale	0.26095332133665594	0.06598437451160949	3.9547744942364047	568.3346291239098	8.628374864137185e-5
MCP-3	fixed	Day4:AllocationPlacebo	0.06059089445610531	0.09619496420441025	0.6298759499234514	1025.2590132043354	0.5289160924945668
MCP-3	fixed	Day7:AllocationPlacebo	0.1737484875453142	0.09766163658380493	1.7790863805176762	1032.2617320606653	0.07551979954272206
MCP-3	fixed	Day4:srf14Yes	0.33229953796073486	0.11796866810808407	2.8168457209017457	1049.2238829966398	0.004940735917497664
MCP-3	fixed	Day7:srf14Yes	0.5649112045564216	0.11749972509726694	4.807766180633911	1052.0880904062726	1.748294083145841e-6
MCP-3	fixed	AllocationPlacebo:srf14Yes	0.26086610177035807	0.18751768473548794	1.3911546643631787	1095.7045597500382	0.16446093627724567
MCP-3	fixed	Day4:AllocationPlacebo:srf14Yes	0.017071772743071784	0.18978217456159624	0.08995456387043832	1046.8790647475782	0.9283405278605013
MCP-3	fixed	Day7:AllocationPlacebo:srf14Yes	-0.3092189964911321	0.1901311832465657	-1.6263455116151626	1049.2554499895332	0.10417644297974468
CDCP1	fixed	(Intercept)	-1.1005491071075935	0.31511315205277685	-3.4925521195740745	576.7704321916153	5.150743306667217e-4
CDCP1	fixed	Day4	-0.46146931440538735	0.046321983117781004	-9.962209805051486	1019.8674364279816	2.257519237095947e-22
CDCP1	fixed	Day7	-0.41250640330915017	0.04672616937577457	-8.828166503266075	1022.4549675099656	4.537459350509328e-18
CDCP1	fixed	AllocationPlacebo	-0.17374520973311358	0.10261179368829379	-1.6932284632008618	938.4549941830004	0.0907438616187216
CDCP1	fixed	srf14Yes	0.10803741888876173	0.12348890114965559	0.8748755384731435	927.9768217091452	0.38186800186475445
CDCP1	fixed	DEXcorrectedYes	-0.3072039817778502	0.09434309519061275	-3.256242347753896	570.8134168156297	0.0011959092216603643
CDCP1	fixed	cbmi	0.020748262478285803	0.0065777440737762	3.154312822994113	568.5379533181233	0.0016937341325086407
CDCP1	fixed	Age	0.01707342776042536	0.003006028676399704	5.679728837741517	570.5974202536383	2.15122841446922e-8
CDCP1	fixed	GenderMale	-0.04687003481517654	0.07308732610047228	-0.6412881318266435	572.8231653899039	0.5215919941052178
CDCP1	fixed	Day4:AllocationPlacebo	0.04399218037931201	0.0868498066841461	0.5065317017837705	1020.2182929831775	0.6125928868611977
CDCP1	fixed	Day7:AllocationPlacebo	0.1758040399671999	0.08822626472580487	1.9926497003310153	1025.1118068506867	0.04656462621406958
CDCP1	fixed	Day4:srf14Yes	-0.17637057988971783	0.10673386099745026	-1.65243324134907	1038.620925128177	0.09874850477733609
CDCP1	fixed	Day7:srf14Yes	0.11513191366970608	0.10633852672786598	1.0826923901658287	1041.185423820254	0.27919565571889393
CDCP1	fixed	AllocationPlacebo:srf14Yes	0.08508268606155797	0.19615056886396545	0.4337621173077739	936.974469386691	0.6645610442377984
CDCP1	fixed	Day4:AllocationPlacebo:srf14Yes	0.2292343441626221	0.1716765121700337	1.3352691132004204	1037.1957835623527	0.18208125410231352
CDCP1	fixed	Day7:AllocationPlacebo:srf14Yes	-0.056002072395892014	0.17202837025127413	-0.32553974855480117	1039.0463414314831	0.7448381473295893
CD244	fixed	(Intercept)	0.2772098811358941	0.29247301861959607	0.9478135194974895	582.5436931113645	0.34361740074611424
CD244	fixed	Day4	-0.0874353679794252	0.050692210698590597	-1.7248284652508985	1030.0233366133855	0.0848583724453126
CD244	fixed	Day7	0.20141065143910625	0.05112196971401206	3.939806164861082	1033.4857837613436	8.702421030904797e-5
CD244	fixed	AllocationPlacebo	-0.06780124084357952	0.09956218085512644	-0.6809939302378032	1070.6792806574497	0.49602258054162485
CD244	fixed	srf14Yes	-0.27194586467318077	0.11969931572954678	-2.271908264602161	1057.1966425643018	0.023292283137450766
CD244	fixed	DEXcorrectedYes	-0.49439347843676196	0.08747331684917971	-5.651934741301607	573.8718383799805	2.501735482168347e-8
CD244	fixed	cbmi	0.02940292629962501	0.006096478750433071	4.822935911576225	570.9818658770914	1.816926262296567e-6
CD244	fixed	Age	-0.008780521910614899	0.002786998657167147	-3.1505296524038826	573.3713346362537	0.0017147049228823995
CD244	fixed	GenderMale	-0.17571764229221615	0.0677860347640888	-2.592239580080978	576.036268116822	0.00977732354113576
CD244	fixed	Day4:AllocationPlacebo	0.0018918493648611243	0.09503938514649676	0.019905951221643185	1030.7980374846506	0.9841222500212844
CD244	fixed	Day7:AllocationPlacebo	-0.057361969199923465	0.09650095779261783	-0.5944186515039084	1037.3133590535203	0.5523617562988644
CD244	fixed	Day4:srf14Yes	-0.28854705833034655	0.1166035639244392	-2.4745989626640332	1053.5365693144638	0.01349513487364607
CD244	fixed	Day7:srf14Yes	-0.41940623751428513	0.11614631064072348	-3.6110164429728515	1056.3495979663257	3.193254796621976e-4
CD244	fixed	AllocationPlacebo:srf14Yes	0.020063825427526102	0.19029273649921394	0.10543663303517095	1068.5804950030233	0.9160491370271466
CD244	fixed	Day4:AllocationPlacebo:srf14Yes	0.11295033674564506	0.1875780961723396	0.6021509923092012	1051.4112216603646	0.5472034630978098
CD244	fixed	Day7:AllocationPlacebo:srf14Yes	-0.12154674626278619	0.18793133448429267	-0.6467614705994922	1053.6713734543155	0.5179271899459406
IL7	fixed	(Intercept)	0.8720375756994789	0.30124219142026315	2.8948055768287078	588.6946326002301	0.003934583906245893
IL7	fixed	Day4	-0.057367300734885385	0.0593914132189735	-0.9659191055679159	1039.945710657414	0.3343092261076077
IL7	fixed	Day7	0.0029820805635061725	0.05988005554029156	0.049800898422674586	1044.2419640914368	0.9602905743363939
IL7	fixed	AllocationPlacebo	-0.03772487286123865	0.10700419173331377	-0.3525550938720255	1191.7697478833734	0.7244843464848065
IL7	fixed	srf14Yes	-0.08144696846784463	0.12853058527316058	-0.6336777218803513	1176.3592878894926	0.5264143513540391
IL7	fixed	DEXcorrectedYes	0.02458604263379302	0.08999318768773631	0.2731989305579787	577.0347943047826	0.7847980509448798
IL7	fixed	cbmi	-0.005383437066004377	0.006269830158125747	-0.8586256613390718	573.6029449021028	0.3909057282922712
IL7	fixed	Age	-0.012721529480714231	0.002867065821702992	-4.4371250162501825	576.1796630360712	1.0925129817043369e-5
IL7	fixed	GenderMale	0.08667945082050589	0.06975596070951148	1.2426099495850944	579.1619208634661	0.21451446726937284
IL7	fixed	Day4:AllocationPlacebo	0.11818733107235188	0.11134167942610208	1.0614832799499245	1041.2272335541852	0.28871646931485034
IL7	fixed	Day7:AllocationPlacebo	0.07535546115463959	0.11300135099823688	0.6668545153572132	1049.277194082705	0.5050116746138636
IL7	fixed	Day4:srf14Yes	0.1804282079171746	0.13639160630703784	1.3228688539014917	1067.4427517980484	0.18616231179430787
IL7	fixed	Day7:srf14Yes	0.04235027573259175	0.13583224914121442	0.3117836596268343	1070.294499648212	0.7552656666065691
IL7	fixed	AllocationPlacebo:srf14Yes	0.008211109767532145	0.20448744303814922	0.040154591624485605	1189.3087427018995	0.9679766184935616
IL7	fixed	Day4:AllocationPlacebo:srf14Yes	0.15866912686982312	0.21944523150980427	0.7230465924375038	1064.5916628186403	0.46981007848381784
IL7	fixed	Day7:AllocationPlacebo:srf14Yes	0.11299444760833736	0.21982468542858427	0.5140207406098918	1067.1751340106928	0.6073439064125321
OPG	fixed	(Intercept)	-1.8574955469410843	0.2612307417112919	-7.110554962914583	580.1104282920536	3.4134747936163915e-12
OPG	fixed	Day4	-0.42374613385607696	0.0500788051339418	-8.461586348210922	1030.702856883537	8.952351309198476e-17
OPG	fixed	Day7	-0.7054388766149484	0.050493795167273654	-13.970803229941444	1034.8308628525476	9.219271532956454e-41
OPG	fixed	AllocationPlacebo	-0.11671106148845878	0.09187918850800873	-1.270266568345731	1158.4981685922864	0.20424474604710854
OPG	fixed	srf14Yes	0.2978141416633536	0.11038545660144872	2.6979472734222947	1143.2997549728725	0.0070795448859773714
OPG	fixed	DEXcorrectedYes	-0.27671286718464944	0.07806186678193318	-3.5447892625685005	569.2362402219102	4.2522491358825754e-4
OPG	fixed	cbmi	0.0030253115876353897	0.005439033015536327	0.5562223246289806	565.9441852076912	0.5782787235214655
OPG	fixed	Age	0.035208612935939576	0.0024869997323478258	14.15706341982645	568.4741399555032	3.423558914098507e-39
OPG	fixed	GenderMale	0.1370583057810862	0.06050447686004754	2.2652589179163507	571.3754077921124	0.02387035077036056
OPG	fixed	Day4:AllocationPlacebo	0.054265423451442626	0.0938848411032056	0.5779998433590553	1031.8660279716846	0.5633903356962315
OPG	fixed	Day7:AllocationPlacebo	0.32913622053616204	0.09529477949050191	3.4538746224704497	1039.6086211343013	5.748733022662237e-4
OPG	fixed	Day4:srf14Yes	0.14581430884418542	0.11504863068006696	1.2674145531525118	1057.4890494517279	0.20528611681138212
OPG	fixed	Day7:srf14Yes	0.3241038172519975	0.11458132417269835	2.8285920030344935	1060.365897694086	0.004763406014720453
OPG	fixed	AllocationPlacebo:srf14Yes	0.14978382962511597	0.17558896258240722	0.85303670243407	1156.0720768977596	0.3938156480284464
OPG	fixed	Day4:AllocationPlacebo:srf14Yes	0.12962644113034355	0.1850986914758193	0.7003098730564367	1054.7923149498085	0.48388824080732007
OPG	fixed	Day7:AllocationPlacebo:srf14Yes	-0.44255123873243457	0.18542529311112613	-2.3866821581196684	1057.3225391252433	0.01717621862608426
LAP TGF-beta-1	fixed	(Intercept)	0.19967279140335484	0.29845622666972205	0.6690186820069831	579.5836266692306	0.5037499501660029
LAP TGF-beta-1	fixed	Day4	-0.06933577981041594	0.06080019812534857	-1.1403873991902134	1032.1386788519692	0.25438948839804026
LAP TGF-beta-1	fixed	Day7	0.24287775089271016	0.06129600763174829	3.962374716993991	1036.7094857145225	7.92873875152927e-5
LAP TGF-beta-1	fixed	AllocationPlacebo	-0.1269639334382143	0.10729334574024554	-1.1833346472910888	1215.679727904453	0.236907895433685
LAP TGF-beta-1	fixed	srf14Yes	-0.1944088711872581	0.12884631651506834	-1.508843065486644	1199.6933948926837	0.1316021911932223
LAP TGF-beta-1	fixed	DEXcorrectedYes	-0.14844917568873867	0.08912985391447595	-1.6655381914030987	567.1108250495373	0.09635769019675579
LAP TGF-beta-1	fixed	cbmi	3.798025794563988e-4	0.006209045516066425	0.06116923744134713	563.5635045025788	0.9512461149795699
LAP TGF-beta-1	fixed	Age	-0.003601973180915593	0.0028394857321157644	-1.2685301215553852	566.1508047807617	0.20513003971880733
LAP TGF-beta-1	fixed	GenderMale	0.19454251452314716	0.06909100291035557	2.8157430971954893	569.1812882689355	0.005035091204199284
LAP TGF-beta-1	fixed	Day4:AllocationPlacebo	0.18306182921863962	0.11398020670925363	1.6060843764356632	1033.5906448410653	0.10856081953655312
LAP TGF-beta-1	fixed	Day7:AllocationPlacebo	0.012573509750842317	0.11566360256879717	0.10870757499848359	1042.1465777006981	0.9134553598851949
LAP TGF-beta-1	fixed	Day4:srf14Yes	0.11721086948987969	0.13956327297953264	0.8398403604870245	1060.9380275322428	0.40118711091378734
LAP TGF-beta-1	fixed	Day7:srf14Yes	0.06673570287200631	0.13898452668178105	0.4801664218694241	1063.800221675017	0.6312077768547292
LAP TGF-beta-1	fixed	AllocationPlacebo:srf14Yes	0.15989640759314738	0.20503200316045783	0.7798607296833199	1213.1350946651887	0.4356249748376877
LAP TGF-beta-1	fixed	Day4:AllocationPlacebo:srf14Yes	0.10645678526029816	0.22455896721261587	0.47407051511553866	1057.8454311624032	0.6355474556075171
LAP TGF-beta-1	fixed	Day7:AllocationPlacebo:srf14Yes	-0.2523959148700034	0.22493772027666187	-1.1220702092986865	1060.5364321077423	0.2620865651129146
uPA	fixed	(Intercept)	-0.539860456744685	0.29215895529740954	-1.8478312814170708	583.7679452161035	0.0651324157373906
uPA	fixed	Day4	-0.5036884290206831	0.05752013887334231	-8.756731796663262	1035.1217035538054	8.062737844729646e-18
uPA	fixed	Day7	-0.49238357174783765	0.05799355901937487	-8.490314787946346	1039.425798330002	7.037566460462458e-17
uPA	fixed	AllocationPlacebo	-0.018457212619827596	0.10372574293462047	-0.17794244801371428	1186.4960556021463	0.8587985485674079
uPA	fixed	srf14Yes	0.26471080198098457	0.12459388691417404	2.1245890030168932	1171.0021212337804	0.03382993814080679
uPA	fixed	DEXcorrectedYes	-0.3222798179493917	0.087280906862305	-3.692443508381767	572.186424185495	2.4338053664247418e-4
uPA	fixed	cbmi	0.018519987175979406	0.006080891425575702	3.0456039879426142	568.7731161728145	0.0024296802961647863
uPA	fixed	Age	0.0074526310318438465	0.0027806590359962116	2.6801671601472825	571.3389249883045	0.007570855991456286
uPA	fixed	GenderMale	0.10217752594072872	0.06765342572672098	1.51030823410871	574.3073035155375	0.13151477002411208
uPA	fixed	Day4:AllocationPlacebo	-0.02013904746372551	0.1078336788911968	-0.18676027444121263	1036.4019798720487	0.8518851461508715
uPA	fixed	Day7:AllocationPlacebo	0.12418341112583196	0.10944167309496299	1.1346994943880062	1044.4674372093389	0.25676158750270034
uPA	fixed	Day4:srf14Yes	0.030270896748878943	0.13209676811942764	0.2291569822625128	1062.6929584230672	0.8187909998348429
uPA	fixed	Day7:srf14Yes	0.03225269418380528	0.13155528313684334	0.24516456819340463	1065.558207077831	0.8063762166006814
uPA	fixed	AllocationPlacebo:srf14Yes	0.050993185238009664	0.19822257982248875	0.2572521520185784	1184.0213400513478	0.7970288250861682
uPA	fixed	Day4:AllocationPlacebo:srf14Yes	-0.02654701117721518	0.21253469846755957	-0.12490671579100862	1059.8378201452895	0.9006210885866838
uPA	fixed	Day7:AllocationPlacebo:srf14Yes	-0.22665499427243557	0.21290258233630374	-1.0645948573531547	1062.429446221881	0.2873011971378269
IL6	fixed	(Intercept)	-0.4869004440772702	0.26713392721361234	-1.8226829109876508	579.3015763416042	0.068866755505652
IL6	fixed	Day4	-0.5483625620836117	0.051546050811568066	-10.63830406888411	1030.1161611588336	3.776829098272885e-25
IL6	fixed	Day7	-0.9906863785940888	0.051972500930026366	-19.061741514573413	1034.2927516136835	1.1683772678535053e-69
IL6	fixed	AllocationPlacebo	0.09264465338026828	0.09416899432658851	0.9838127086604148	1163.9166447325376	0.32541206770299147
IL6	fixed	srf14Yes	0.48712221947132905	0.11313112082501484	4.305819794933205	1148.6081176421687	1.805631087637051e-5
IL6	fixed	DEXcorrectedYes	-0.10777751366139533	0.07982083219779978	-1.350242921475907	568.2721458130648	0.17747558018482038
IL6	fixed	cbmi	-3.1190700349658317e-4	0.005561482881780735	-0.05608342417422194	564.9548917489215	0.9552951770317422
IL6	fixed	Age	0.012604010762530603	0.0025430277463166628	4.95630092152409	567.4907002767417	9.499389476353377e-7
IL6	fixed	GenderMale	0.15601221185007697	0.061868591947019366	2.521670639986064	570.4048490218366	0.011951130217631499
IL6	fixed	Day4:AllocationPlacebo	0.007346191241417083	0.096635179452492	0.07601984373639657	1031.3090221221294	0.9394180547810105
IL6	fixed	Day7:AllocationPlacebo	0.2765965933232933	0.09808395310954685	2.8199984253731225	1039.1411244405288	0.004893702512104432
IL6	fixed	Day4:srf14Yes	0.21319982367169682	0.11840915874201305	1.8005349074070471	1057.1346518562016	0.07206117221831349
IL6	fixed	Day7:srf14Yes	0.6125177505813678	0.11792711821844665	5.194036450943777	1060.0138827830197	2.4665730476712854e-7
IL6	fixed	AllocationPlacebo:srf14Yes	-0.05012269573101537	0.17996361824060786	-0.27851571457072116	1161.4718977923746	0.780666079772443
IL6	fixed	Day4:AllocationPlacebo:srf14Yes	0.2016517768668407	0.19050701210997784	1.0585005487904513	1054.3954443621067	0.2900697309281478
IL6	fixed	Day7:AllocationPlacebo:srf14Yes	-0.22821468801576092	0.19084160621445737	-1.19583298706523	1056.9447307813568	0.2320299489933668
