Assay	term	contrast	Day1	TR1	SRF1	Day2	TR2	SRF2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value
IL8	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.583180256828892	0.16449436346997665	1348.5123950434106	-3.545290212544781	4.055964692472796e-4	0.0030194403821741924
VEGFA	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.5433550264182375	0.16424808208513678	983.7390964249661	-3.3081362017767333	9.732299961073465e-4	0.005433867478266017
MCP-3	Day*Allocation*srf14	Day1 Placebo No - Day1 Placebo Yes	Day1	Placebo	No	Day1	Placebo	Yes	0	-0.5955462129306668	0.14801262586364802	1090.8303101176487	-4.023617643803543	6.126367197695432e-5	0.003838770932365551
MCP-3	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.9449175236344735	0.15146537984351496	1140.413165606622	-6.238504961402441	6.214611629968011e-10	2.0818948960392835e-8
MCP-3	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.8512384209959564	0.15202493678177326	1149.6676576487546	-5.599334155408207	2.6899277234786936e-8	9.011257873653624e-7
CD244	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	0.4274787608303562	0.1535972512067519	1106.8499471103573	2.783114655189642	0.0054755769958100865	0.022040587756453366
CD244	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.792835023022726	0.15413834848356783	1115.937595681683	5.143658478391232	3.1806860241229435e-7	4.262119272324745e-6
OPG	Day*Allocation*srf14	Day1 Placebo No - Day1 Placebo Yes	Day1	Placebo	No	Day1	Placebo	Yes	0	-0.44759797128846956	0.1385472195462432	1146.8289380508922	-3.2306528615615693	0.0012701667531550504	0.012288201699650938
OPG	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.7230387212629985	0.1419873322920963	1195.720653518592	-5.092276258670481	4.1070001038127634e-7	4.5861501159242525e-6
IL6	Day*Allocation*srf14	Day1 Placebo No - Day1 Placebo Yes	Day1	Placebo	No	Day1	Placebo	Yes	0	-0.4369995237403137	0.14199352312666022	1152.8979906762825	-3.077601809700179	0.0021359815771024027	0.016287968853749966
IL6	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.8518511242788512	0.14554139543837746	1201.6375898320568	-5.852981701274994	6.22151235013156e-9	1.3894710915293816e-7
IL6	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.8213025863059206	0.14612363803405679	1210.98175593728	-5.620600454216046	2.3599338545690686e-8	9.011257873653624e-7
MCP-1	Day*Allocation*srf14	Day1 Placebo No - Day1 Placebo Yes	Day1	Placebo	No	Day1	Placebo	Yes	0	-0.5717295592104823	0.15607577230885897	1263.2646161297957	-3.6631538050574846	2.5943735695311605e-4	0.004345575728964694
MCP-1	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-1.0729016170108023	0.16038880677839473	1306.6057351944858	-6.6893796304202455	3.314394867960466e-11	2.2206445615335126e-9
MCP-1	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.4327108093273197	0.16111269517706986	1315.3538324129854	-2.685764823509108	0.00732744968889292	0.024546956457791282
TRAIL	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	0.3743939063507251	0.1595680938985487	1248.171279544627	2.346295535677451	0.019116805493214543	0.049074161244196196
TRAIL	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.5738360579592562	0.16024292677963603	1257.3775684439306	3.5810382991093768	3.552839735442953e-4	0.0019836688522889816
CXCL9	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.6012676335908529	0.15923094840194105	1149.6864672135355	-3.7760726769842146	1.674679175727295e-4	0.0014025438096716095
CXCL9	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.37545800222162	0.15982665892113057	1158.9729337142012	-2.3491575482842117	0.018983112257230567	0.04891802004747877
CST5	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.3819861127599828	0.1606464344163226	927.6426679503525	2.377806355602318	0.017617737387047496	0.04783762985867629
CXCL1	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.402804569490313	0.16444965744459536	1191.9552009162696	-2.4494095989590106	0.014452196127344717	0.04034571418883733
CD6	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	0.3673348300491196	0.15832030597657618	1122.7363655492973	2.320200354485593	0.020508604699067068	0.049074161244196196
CD6	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.8729036890289941	0.15889094756927638	1131.9127673860924	5.493728260689039	4.8581803427831674e-8	1.0849936098882407e-6
SCF	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	0.4024590994332865	0.1564601050075483	1025.3671412434726	2.572279364211536	0.01024293584761757	0.031194395535926234
SCF	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.6284530295907264	0.1569439740313768	1033.7466749524551	4.004314491648362	6.664601148268993e-5	4.961425299266917e-4
CCL11	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	0.37320927603473075	0.16081038478366386	1091.6827819786192	2.3208033270786856	0.020480982309431173	0.049074161244196196
