Assay	term	contrast	null.value	estimate	std.error	df	statistic	p.value	adj.p.value
IL8	Day*Allocation	Day1 Anakinra - Day4 Anakinra	0	-0.26459427622827353	0.057759333203016267	1053.7624445776644	-4.58097871902815	5.1806825890328035e-6	1.0554959139263915e-5
IL8	Day*Allocation	Day1 Anakinra - Day7 Anakinra	0	-0.4443085078849437	0.05805159551860113	1058.5577429396355	-7.6536829679827925	4.38334548335761e-14	8.157892982915552e-14
IL8	Day*Allocation	Day1 Anakinra - Day1 Placebo	0	-0.11131452395437944	0.09020339028649621	1315.7149944935395	-1.2340392484232785	0.21740865694320136	0.9499718020653924
IL8	Day*Allocation	Day1 Anakinra - Day4 Placebo	0	-0.30262599776437116	0.09036090633548585	1317.0246503577368	-3.3490810355620146	8.337225677299187e-4	0.002539064183541116
IL8	Day*Allocation	Day1 Anakinra - Day7 Placebo	0	-0.471651064416283	0.09134725967440561	1335.681755751835	-5.163275462202331	2.7941688429845123e-7	7.80038801999843e-7
IL8	Day*Allocation	Day4 Anakinra - Day7 Anakinra	0	-0.17971423165667016	0.058325429407200736	1052.5439035671227	-3.08123289418051	0.002115007021094519	0.0033739397717460185
IL8	Day*Allocation	Day4 Anakinra - Day1 Placebo	0	0.1532797522738941	0.0905050629161704	1320.4109456413773	1.6936041734578788	0.09057637959529116	0.14113063797405834
IL8	Day*Allocation	Day4 Anakinra - Day4 Placebo	0	-0.038031721536097615	0.09066135724185403	1321.6722709863982	-0.4194920823283261	0.6749247138566472	0.9466670979705284
IL8	Day*Allocation	Day4 Anakinra - Day7 Placebo	0	-0.20705678818800946	0.09164538238300074	1340.0559284796218	-2.259325923511192	0.024023208901648583	0.05961314801520204
IL8	Day*Allocation	Day7 Anakinra - Day1 Placebo	0	0.33299398393056423	0.09066958110956712	1323.6796209971208	3.672609709403719	2.4965463163413777e-4	4.1817150798718075e-4
IL8	Day*Allocation	Day7 Anakinra - Day4 Placebo	0	0.14168251012057254	0.09082243436582182	1324.7568134906735	1.5599946324923692	0.11899999419083519	0.162714277771142
IL8	Day*Allocation	Day7 Anakinra - Day7 Placebo	0	-0.027342556531339296	0.0918094050024048	1343.2186649063356	-0.2978186878634395	0.7658876068137753	0.8550056402374466
IL8	Day*Allocation	Day1 Placebo - Day4 Placebo	0	-0.1913114738099917	0.08504964723845124	1059.4775651669652	-2.249409374663451	0.024691152501827435	0.04241813378519072
IL8	Day*Allocation	Day1 Placebo - Day7 Placebo	0	-0.36033654046190355	0.08606753137559352	1067.6459652023561	-4.186672194528464	3.0638945835101254e-5	5.13202342737946e-5
IL8	Day*Allocation	Day4 Placebo - Day7 Placebo	0	-0.16902506665191186	0.08598096607184257	1057.7361536963533	-1.9658428414340061	0.04957803247272823	0.0914395029520197
VEGFA	Day*Allocation	Day1 Anakinra - Day4 Anakinra	0	0.11397968411592618	0.04376069589182667	1033.228023389676	2.6046131532660235	0.00932987215451707	0.015246376447625457
VEGFA	Day*Allocation	Day1 Anakinra - Day7 Anakinra	0	0.03770735509377133	0.04401485097197785	1035.8094226907344	0.8566961891516525	0.3918109601340849	0.41017709889037013
VEGFA	Day*Allocation	Day1 Anakinra - Day1 Placebo	0	0.02647781570278135	0.09056375363112833	947.969338835001	0.29236658863133147	0.7700703264268514	0.9663805461380576
VEGFA	Day*Allocation	Day1 Anakinra - Day4 Placebo	0	-0.005897007951826433	0.09068130194905677	950.5365473786866	-0.06503003182661926	0.9481637624965423	0.9773380321118205
VEGFA	Day*Allocation	Day1 Anakinra - Day7 Placebo	0	-0.049734441670989664	0.09129462393106916	968.4404620213278	-0.5447685693797372	0.5860381183342009	0.6436812119408437
VEGFA	Day*Allocation	Day4 Anakinra - Day7 Anakinra	0	-0.07627232902215486	0.04417291191904378	1031.2545208211936	-1.7266765016972407	0.08452524852913765	0.10685267266890985
VEGFA	Day*Allocation	Day4 Anakinra - Day1 Placebo	0	-0.08750186841314483	0.09076337838135803	953.2790593116424	-0.9640657936452145	0.33525743108373474	0.4679634975543797
VEGFA	Day*Allocation	Day4 Anakinra - Day4 Placebo	0	-0.11987669206775262	0.09088036440128039	955.8154537479132	-1.3190604247408113	0.18746482838276984	0.5981020715069324
VEGFA	Day*Allocation	Day4 Anakinra - Day7 Placebo	0	-0.16371412578691585	0.09149280468652381	973.6662519791832	-1.789366129367654	0.07386659287273009	0.14140176349922617
VEGFA	Day*Allocation	Day7 Anakinra - Day1 Placebo	0	-0.01122953939098998	0.09086407729142475	956.2930730813974	-0.12358612694622897	0.9016689471145221	0.9016689471145221
VEGFA	Day*Allocation	Day7 Anakinra - Day4 Placebo	0	-0.04360436304559776	0.0909799455157828	958.7562818767041	-0.47927444667499247	0.6318526954581971	0.6719703269158604
VEGFA	Day*Allocation	Day7 Anakinra - Day7 Placebo	0	-0.08744179676476099	0.09159312227997338	976.6642596298858	-0.9546764493678576	0.3399775686971762	0.5971979237601476
VEGFA	Day*Allocation	Day1 Placebo - Day4 Placebo	0	-0.03237482365460778	0.06449717010052287	1036.6473114711625	-0.501957273538507	0.6158041692591116	0.6763750711534505
VEGFA	Day*Allocation	Day1 Placebo - Day7 Placebo	0	-0.07621225737377102	0.06534867585713505	1040.7358880339762	-1.1662402699694463	0.24378449484108147	0.2768400195652959
VEGFA	Day*Allocation	Day4 Placebo - Day7 Placebo	0	-0.04383743371916323	0.0651715498684112	1034.1765078078927	-0.6726467884786539	0.5013222894668701	0.5816575727005437
CD8A	Day*Allocation	Day1 Anakinra - Day4 Anakinra	0	0.29345612436386553	0.04972797063177825	1041.7318118609926	5.901228637235697	4.8750263919912265e-9	1.1665241723693291e-8
CD8A	Day*Allocation	Day1 Anakinra - Day7 Anakinra	0	0.2851249312475177	0.05000214365024916	1045.2476113337639	5.702254152179672	1.5378207968024245e-8	2.4531903187086298e-8
CD8A	Day*Allocation	Day1 Anakinra - Day1 Placebo	0	0.05275648614423267	0.08930156078943946	1104.502466302219	0.5907677948499137	0.5547968788031732	0.9663805461380576
CD8A	Day*Allocation	Day1 Anakinra - Day4 Placebo	0	0.2918537859625278	0.08943962932997152	1106.8460991591678	3.26313724854321	0.0011355406105553899	0.0033078791698787444
CD8A	Day*Allocation	Day1 Anakinra - Day7 Placebo	0	0.2489013258072182	0.09021794536138084	1127.8354283392637	2.758889318640637	0.005893630643485819	0.00918309890961744
CD8A	Day*Allocation	Day4 Anakinra - Day7 Anakinra	0	-0.008331193116347835	0.050206151436301555	1039.808612757317	-0.16593968822561384	0.8682366720551417	0.8682366720551417
CD8A	Day*Allocation	Day4 Anakinra - Day1 Placebo	0	-0.24069963821963286	0.08954818329043204	1110.3330305427555	-2.687934354167416	0.007297082985513709	0.014815289697861165
CD8A	Day*Allocation	Day4 Anakinra - Day4 Placebo	0	-0.0016023384013377426	0.08968539664820761	1112.6276694452856	-0.01786621302042004	0.9857487860070939	0.9958326352395025
CD8A	Day*Allocation	Day4 Anakinra - Day7 Placebo	0	-0.044554798556647346	0.09046227984335367	1133.4657119619746	-0.49252349856536165	0.6224447011018441	0.719030947824544
CD8A	Day*Allocation	Day7 Anakinra - Day1 Placebo	0	-0.23236844510328503	0.08967690771522824	1113.930528087321	-2.5911737037273643	0.009689948516280437	0.012984531011815787
CD8A	Day*Allocation	Day7 Anakinra - Day4 Placebo	0	0.006728854715010092	0.08981217081947872	1116.095107522536	0.07492141269511235	0.9402906656121459	0.9402906656121459
CD8A	Day*Allocation	Day7 Anakinra - Day7 Placebo	0	-0.03622360544029951	0.09059049614769792	1137.0054089098085	-0.39986098962567634	0.6893340114004186	0.8102698028741764
CD8A	Day*Allocation	Day1 Placebo - Day4 Placebo	0	0.2390972998182951	0.07326426453266395	1046.1893764725799	3.2634914353326594	0.001136105262305662	0.00237872039295248
CD8A	Day*Allocation	Day1 Placebo - Day7 Placebo	0	0.19614483966298552	0.07419669359292931	1051.9330211852875	2.6435792508370946	0.00832546626090921	0.011383800805733
CD8A	Day*Allocation	Day4 Placebo - Day7 Placebo	0	-0.0429524601553096	0.07404849661575387	1043.710558672101	-0.5800585037964354	0.5620003639276219	0.6382038031042486
MCP-3	Day*Allocation	Day1 Anakinra - Day4 Anakinra	0	0.423262565206738	0.04685775282596903	1039.5578625520072	9.032924962892409	7.94988460281017e-19	2.663211341941407e-18
MCP-3	Day*Allocation	Day1 Anakinra - Day7 Anakinra	0	0.6376938361048712	0.04711972196931389	1042.8363953526919	13.533480450503529	1.4538013704847368e-38	5.411371767915409e-38
MCP-3	Day*Allocation	Day1 Anakinra - Day1 Placebo	0	-0.10455276149730343	0.0868672898637586	1064.3246964690138	-1.2035918429282468	0.2290150023208728	0.9499718020653924
MCP-3	Day*Allocation	Day1 Anakinra - Day4 Placebo	0	0.22313868500641618	0.08699691418602933	1066.7825521722405	2.5649034462218845	0.010456304684344763	0.02060507099562056
MCP-3	Day*Allocation	Day1 Anakinra - Day7 Placebo	0	0.3970525153168207	0.08771336691314659	1087.328012531366	4.526704757668012	6.65110045423111e-6	1.59151332297673e-5
MCP-3	Day*Allocation	Day4 Anakinra - Day7 Anakinra	0	0.21443127089813319	0.04730620908126985	1037.5842644253553	4.53283564805944	6.496586673783232e-6	1.3602228348233642e-5
MCP-3	Day*Allocation	Day4 Anakinra - Day1 Placebo	0	-0.5278153267040414	0.08709584963796528	1070.129745038507	-6.060166229482024	1.8815410285220747e-9	1.1460295355543545e-8
MCP-3	Day*Allocation	Day4 Anakinra - Day4 Placebo	0	-0.20012388020032182	0.08722471505780206	1072.5423382985325	-2.2943483400055107	0.021963021608935922	0.24525374129978444
MCP-3	Day*Allocation	Day4 Anakinra - Day7 Placebo	0	-0.026210049889917306	0.08793991987478174	1092.9643471228271	-0.2980449598684872	0.7657254956220101	0.8013789312796783
MCP-3	Day*Allocation	Day7 Anakinra - Day1 Placebo	0	-0.7422465976021746	0.08721413272003432	1073.6353968603612	-8.510622928337279	5.75377932747152e-17	3.2125267911715983e-16
MCP-3	Day*Allocation	Day7 Anakinra - Day4 Placebo	0	-0.414555151098455	0.08734132866504633	1075.9323979152011	-4.746380178028576	2.3501389604388313e-6	2.249418719277167e-5
MCP-3	Day*Allocation	Day7 Anakinra - Day7 Placebo	0	-0.2406413207880505	0.08805773332363712	1096.4242201287407	-2.732767602632076	0.006381438651954331	0.07125939828015669
MCP-3	Day*Allocation	Day1 Placebo - Day4 Placebo	0	0.3276914465037196	0.0690423456217548	1043.7615445447432	4.746238609837527	2.360808031509382e-6	7.532101814815647e-6
MCP-3	Day*Allocation	Day1 Placebo - Day7 Placebo	0	0.5016052768141241	0.06992975157290779	1049.075819461699	7.172988113523576	1.3842451122667887e-12	4.416401072470231e-12
MCP-3	Day*Allocation	Day4 Placebo - Day7 Placebo	0	0.17391383031040453	0.06977737944401298	1041.2407341576125	2.4924098854980237	0.012842500949847778	0.031868428282955594
CDCP1	Day*Allocation	Day1 Anakinra - Day4 Anakinra	0	0.49477027048318645	0.04182505470838801	1033.0754120244085	11.829518788028276	2.267903224861485e-30	1.688327956285772e-29
CDCP1	Day*Allocation	Day1 Anakinra - Day7 Anakinra	0	0.3897291806245612	0.04206818084432282	1035.6399155595798	9.264227090465118	1.1030807002076483e-19	2.6829407243133857e-19
CDCP1	Day*Allocation	Day1 Anakinra - Day1 Placebo	0	0.13622156285857434	0.086822192759322	945.203372232733	1.5689716940942888	0.11698922157423476	0.8633206739357308
CDCP1	Day*Allocation	Day1 Anakinra - Day4 Placebo	0	0.5394476782190338	0.08693441434403475	947.768687623241	6.205225885392412	8.152148990124163e-10	6.068822025981321e-9
CDCP1	Day*Allocation	Day1 Anakinra - Day7 Placebo	0	0.3562430710129547	0.08751913156492934	965.5871576486031	4.070459391483592	5.075764423766857e-5	1.0305339890678165e-4
CDCP1	Day*Allocation	Day4 Anakinra - Day7 Anakinra	0	-0.10504108985862526	0.042218871608457637	1031.1046806488073	-2.488012726460045	0.013002943001227396	0.01893906915396164
CDCP1	Day*Allocation	Day4 Anakinra - Day1 Placebo	0	-0.3585487076246121	0.08701260028915556	950.4938372488098	-4.120652715044746	4.107496042401234e-5	1.1008089393635307e-4
CDCP1	Day*Allocation	Day4 Anakinra - Day4 Placebo	0	0.04467740773584737	0.08712428811458287	953.028716879311	0.5128008354810221	0.6082094792486845	0.9102177669147989
CDCP1	Day*Allocation	Day4 Anakinra - Day7 Placebo	0	-0.1385271994702317	0.08770816924429584	970.79545937926	-1.5794104547364147	0.11456769395333129	0.18276274987793326
CDCP1	Day*Allocation	Day7 Anakinra - Day1 Placebo	0	-0.25350761776598685	0.08710858931844626	953.492478183935	-2.910248228670415	0.0036954084221950782	0.00526792264440575
CDCP1	Day*Allocation	Day7 Anakinra - Day4 Placebo	0	0.14971849759447264	0.08721921860172567	955.9551437677551	1.7165769195679357	0.08638044683511771	0.1258149986511497
CDCP1	Day*Allocation	Day7 Anakinra - Day7 Placebo	0	-0.033486109611606446	0.08780379565662198	973.7786612343621	-0.38137428298159215	0.703008736393426	0.8120962989372335
CDCP1	Day*Allocation	Day1 Placebo - Day4 Placebo	0	0.4032261153604595	0.06164471870419614	1036.4749696483402	6.541129943269771	9.57350867021004e-11	4.5816077207433764e-10
CDCP1	Day*Allocation	Day1 Placebo - Day7 Placebo	0	0.2200215081543804	0.06245906467830866	1040.534499188701	3.522651344325869	4.4579801269653535e-4	6.493144967536493e-4
CDCP1	Day*Allocation	Day4 Placebo - Day7 Placebo	0	-0.18320460720607906	0.06228896789750859	1034.0086078033355	-2.9412047331965314	0.0033422364662240907	0.010178629238046095
CD244	Day*Allocation	Day1 Anakinra - Day4 Anakinra	0	0.14045843120952872	0.04616018139758543	1039.0070606156942	3.0428483371791057	0.0024023916255112862	0.00412718561305785
CD244	Day*Allocation	Day1 Anakinra - Day7 Anakinra	0	-0.12090041012682162	0.04641914411588293	1042.2252735899128	-2.60453768438729	0.009330769873155694	0.010967747043884764
CD244	Day*Allocation	Day1 Anakinra - Day1 Placebo	0	0.08360952195832835	0.0863030176846473	1054.1328162415462	0.9687902486079799	0.33287207499486116	0.9499718020653924
CD244	Day*Allocation	Day1 Anakinra - Day4 Placebo	0	0.22191196126934684	0.08643053610834518	1056.6139312443224	2.5675180469917325	0.010379574646656186	0.02060507099562056
CD244	Day*Allocation	Day1 Anakinra - Day7 Placebo	0	0.10017664724750869	0.08713182871317564	1077.0066340039443	1.1497135860338081	0.25051709265454936	0.3085466788146251
CD244	Day*Allocation	Day4 Anakinra - Day7 Anakinra	0	-0.26135884133635034	0.04660140622834966	1037.0247079117566	-5.608389584976825	2.6183867487879042e-8	9.746217342710532e-8
CD244	Day*Allocation	Day4 Anakinra - Day1 Placebo	0	-0.05684890925120037	0.08652712741229264	1059.919377267206	-0.6570067786986769	0.5113191871035719	0.6010243076480583
CD244	Day*Allocation	Day4 Anakinra - Day4 Placebo	0	0.0814535300598181	0.08665391053425608	1062.3563103802808	0.9399867767954666	0.3474380170509682	0.8027016256005127
CD244	Day*Allocation	Day4 Anakinra - Day7 Placebo	0	-0.040281783962020035	0.08735399952099318	1082.632449054574	-0.46113268062030055	0.6447960401908415	0.7322260117421421
