Assay	term	contrast	Day1	TR1	Day2	TR2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value	Allocation
IL8	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	-0.26459427622827353	0.057759333203016267	1053.7624445776644	-4.58097871902815	5.1806825890328035e-6	1.0554959139263915e-5	Anakinra
IL8	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	-0.4443085078849437	0.05805159551860113	1058.5577429396355	-7.6536829679827925	4.38334548335761e-14	8.157892982915552e-14	Anakinra
IL8	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	-0.1913114738099917	0.08504964723845124	1059.4775651669652	-2.249409374663451	0.024691152501827435	0.04241813378519072	Placebo
IL8	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	-0.36033654046190355	0.08606753137559352	1067.6459652023561	-4.186672194528464	3.0638945835101254e-5	5.13202342737946e-5	Placebo
VEGFA	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	0.11397968411592618	0.04376069589182667	1033.228023389676	2.6046131532660235	0.00932987215451707	0.015246376447625457	Anakinra
VEGFA	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	0.03770735509377133	0.04401485097197785	1035.8094226907344	0.8566961891516525	0.3918109601340849	0.41017709889037013	Anakinra
VEGFA	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	-0.03237482365460778	0.06449717010052287	1036.6473114711625	-0.501957273538507	0.6158041692591116	0.6763750711534505	Placebo
VEGFA	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	-0.07621225737377102	0.06534867585713505	1040.7358880339762	-1.1662402699694463	0.24378449484108147	0.2768400195652959	Placebo
CD8A	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	0.29345612436386553	0.04972797063177825	1041.7318118609926	5.901228637235697	4.8750263919912265e-9	1.1665241723693291e-8	Anakinra
CD8A	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	0.2851249312475177	0.05000214365024916	1045.2476113337639	5.702254152179672	1.5378207968024245e-8	2.4531903187086298e-8	Anakinra
CD8A	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	0.2390972998182951	0.07326426453266395	1046.1893764725799	3.2634914353326594	0.001136105262305662	0.00237872039295248	Placebo
CD8A	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	0.19614483966298552	0.07419669359292931	1051.9330211852875	2.6435792508370946	0.00832546626090921	0.011383800805733	Placebo
MCP-3	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	0.423262565206738	0.04685775282596903	1039.5578625520072	9.032924962892409	7.94988460281017e-19	2.663211341941407e-18	Anakinra
MCP-3	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	0.6376938361048712	0.04711972196931389	1042.8363953526919	13.533480450503529	1.4538013704847368e-38	5.411371767915409e-38	Anakinra
MCP-3	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	0.3276914465037196	0.0690423456217548	1043.7615445447432	4.746238609837527	2.360808031509382e-6	7.532101814815647e-6	Placebo
MCP-3	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	0.5016052768141241	0.06992975157290779	1049.075819461699	7.172988113523576	1.3842451122667887e-12	4.416401072470231e-12	Placebo
CDCP1	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	0.49477027048318645	0.04182505470838801	1033.0754120244085	11.829518788028276	2.267903224861485e-30	1.688327956285772e-29	Anakinra
CDCP1	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	0.3897291806245612	0.04206818084432282	1035.6399155595798	9.264227090465118	1.1030807002076483e-19	2.6829407243133857e-19	Anakinra
CDCP1	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	0.4032261153604595	0.06164471870419614	1036.4749696483402	6.541129943269771	9.57350867021004e-11	4.5816077207433764e-10	Placebo
CDCP1	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	0.2200215081543804	0.06245906467830866	1040.534499188701	3.522651344325869	4.4579801269653535e-4	6.493144967536493e-4	Placebo
CD244	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	0.14045843120952872	0.04616018139758543	1039.0070606156942	3.0428483371791057	0.0024023916255112862	0.00412718561305785	Anakinra
CD244	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	-0.12090041012682162	0.04641914411588293	1042.2252735899128	-2.60453768438729	0.009330769873155694	0.010967747043884764	Anakinra
CD244	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	0.1383024393110185	0.06801619588791816	1043.1451474229532	2.0333751028787748	0.04226737950096251	0.061563357099228	Placebo
CD244	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	0.016567125289180334	0.06889255147223666	1048.3512582684862	0.2404777430235952	0.8100069322887082	0.8100069322887082	Placebo
IL7	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	0.023154503016489036	0.053528654781012146	1046.5286945922398	0.43256276682489087	0.6654215643181747	0.7056956443905207	Anakinra
IL7	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	-0.01094342385623159	0.05381438775691096	1050.5625077110612	-0.2033549820480158	0.8388969639255713	0.8647091782002042	Anakinra
IL7	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	-0.16131040331939625	0.07884655016017691	1051.517869516875	-2.0458777586551835	0.0410167646389685	0.06135002348170632	Placebo
IL7	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	-0.1271380722225187	0.0798271585870556	1058.2207653272617	-1.5926668877217787	0.11153357622711832	0.14099527560786654	Placebo
OPG	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	0.3977439536373328	0.04530969187295481	1043.2856096792543	8.778341612928617	6.673759057857009e-18	2.12924693750676e-17	Anakinra
OPG	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	0.6428961098052973	0.045556963302856086	1046.9701095612634	14.11191754664193	1.5838715302997324e-41	6.63246203313013e-41	Anakinra
OPG	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	0.2960127473154371	0.06675009999856459	1047.91970172692	4.434641256294786	1.0195134941573504e-5	2.7322961643416993e-5	Placebo
OPG	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	0.41516212724347223	0.06759347194808683	1053.9724427131246	6.14204471642358	1.1527229120502317e-9	2.758301253834483e-9	Placebo
LAP TGF-beta-1	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	0.04643738400014042	0.05479231713314572	1048.2345226871996	0.8475163386008525	0.3969008479378875	0.44320594686397435	Anakinra
LAP TGF-beta-1	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	-0.2558468979219007	0.05508128364069716	1052.450320083823	-4.644897159456658	3.8326461390036974e-6	5.4635593896435685e-6	Anakinra
LAP TGF-beta-1	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	-0.17768682256341725	0.08070155063783362	1053.4031563669685	-2.2017770558192478	0.02789723339159226	0.04672786593091704	Placebo
LAP TGF-beta-1	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	-0.20097140001148261	0.08169658734447578	1060.4502286842455	-2.4599730116520226	0.014053398329530918	0.018462307609383756	Placebo
uPA	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	0.4992237479365656	0.05172925644520795	1045.7826304293253	9.650704112968402	3.609610591133195e-21	1.5115244350370253e-20	Anakinra
uPA	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	0.4863730137228301	0.05200682000854676	1049.7364512428562	9.352100621474259	5.025920112797032e-20	1.2951409521438506e-19	Anakinra
uPA	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	0.5283270043940022	0.07619868648421561	1050.6917279352792	6.933544773156213	7.155421802863598e-12	4.3583023708351006e-11	Placebo
uPA	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	0.430364363157824	0.07714988227213329	1057.2445264079163	5.578289304963367	3.084365622786694e-8	6.666209571829306e-8	Placebo
IL6	Day*Allocation	Day1 Anakinra - Day4 Anakinra	1	Anakinra	4	Anakinra	0	0.5105380215268024	0.04716725510292086	1041.99774718064	10.823992628207595	5.992014396522781e-26	4.014649645670263e-25	Anakinra
IL6	Day*Allocation	Day1 Anakinra - Day7 Anakinra	1	Anakinra	7	Anakinra	0	0.8714152948993766	0.0474268593080109	1045.5424753874086	18.37387732634839	1.4700366424116777e-65	1.2311556880197802e-64	Anakinra
IL6	Day*Allocation	Day1 Placebo - Day4 Placebo	1	Placebo	4	Placebo	0	0.4232444547670813	0.06949072244950072	1046.485817324274	6.090661312014065	1.5772734849690113e-9	6.2163131466425746e-9	Placebo
IL6	Day*Allocation	Day1 Placebo - Day7 Placebo	1	Placebo	7	Placebo	0	0.602205250501239	0.0703740380812459	1052.2822404946924	8.557207557224455	4.040667499810586e-17	2.2560393540609104e-16	Placebo
