Assay	Day	Allocation	emmean	SE	df	lower.CL	upper.CL
IL8	1	Anakinra	-0.2506011773944028	0.05679238732847037	1128.4047085750083	-0.3620317330911932	-0.13917062169761238
IL8	4	Anakinra	0.013993098833870711	0.05715948784815294	1139.9440683147639	-0.09815651425649843	0.12614271192423984
IL8	7	Anakinra	0.19370733049054087	0.05738804458414759	1150.282636677929	0.08111035392076903	0.3063043070603127
IL8	1	Placebo	-0.1392866534400234	0.0800720287012621	1202.1332485277594	-0.29638311527925043	0.017809808399203653
IL8	4	Placebo	0.052024820369968326	0.08012463089923112	1202.6669676028332	-0.10517477348197307	0.20922441422190974
IL8	7	Placebo	0.22104988702188016	0.08159072609152784	1238.2170655280518	0.060978534324917594	0.3811212397188427
VEGFA	1	Anakinra	0.07484721393233912	0.05891655655607527	832.1839289280332	-0.04079530630919155	0.19048973417386977
VEGFA	4	Anakinra	-0.039132470183587065	0.059153275439697436	841.6217106654394	-0.15523773036037614	0.076972789993202
VEGFA	7	Anakinra	0.03713985883856779	0.059280256698584236	847.8181524352034	-0.0792134137848689	0.1534931314620045
VEGFA	1	Placebo	0.04836939822955777	0.0820045213098234	876.2598824956268	-0.11257882016196194	0.20931761662107748
VEGFA	4	Placebo	0.08074422188416555	0.08204591834466615	877.1128287177972	-0.08028502884234467	0.24177347261067578
VEGFA	7	Placebo	0.12458165560332878	0.08294833729570775	905.612663110496	-0.038211668723665174	0.28737497993032274
CD8A	1	Anakinra	0.3215218342274826	0.05728845699944089	948.6208742620444	0.2090950773539997	0.4339485911009655
CD8A	4	Anakinra	0.028065709863617075	0.05758410589152119	959.9594097199082	-0.08493954331901016	0.1410709630462443
CD8A	7	Anakinra	0.03639690297996491	0.05775336581875935	968.4720475539789	-0.07693925477515183	0.14973306073508164
CD8A	1	Placebo	0.2687653480832499	0.08017914363658156	1008.2584905040808	0.11142824270875479	0.42610245345774506
CD8A	4	Placebo	0.029668048264954817	0.08022643233102264	1009.0018170320683	-0.12776171325464467	0.1870978097845543
CD8A	7	Placebo	0.07262050842026442	0.08137661837210973	1044.099383136512	-0.08705983736031207	0.2323008542008409
MCP-3	1	Anakinra	0.19345176513398588	0.05592342205868377	917.768699109541	0.08369913218106986	0.3032043980869019
MCP-3	4	Anakinra	-0.22981080007275212	0.05619666455059295	928.7456288690493	-0.34009796441390167	-0.11952363573160257
MCP-3	7	Anakinra	-0.4442420709708853	0.056350575033406874	936.7141665482017	-0.5548300603806864	-0.3336540815610842
MCP-3	1	Placebo	0.2980045266312893	0.07816021782847302	973.7060147461988	0.14462265751611972	0.4513863957464589
MCP-3	4	Placebo	-0.029686919872430287	0.07820491422828878	974.4899206664359	-0.1831563477050091	0.12378250796014854
MCP-3	7	Placebo	-0.2036007501828348	0.07926252382645592	1008.3164849192474	-0.35913914378304146	-0.04806235658262811
CDCP1	1	Anakinra	0.40405280382584263	0.05649693655339988	830.2053416775434	0.2931591740943379	0.5149464335573474
CDCP1	4	Anakinra	-0.09071746665734383	0.05672268071274681	839.5979793651406	-0.20205237438753015	0.02061744107284251
CDCP1	7	Anakinra	0.014323623201281426	0.05684362930197544	845.7495990618753	-0.09724751011266852	0.12589475651523138
CDCP1	1	Placebo	0.2678312409672683	0.07862877163619804	873.9819546418884	0.11350796551245157	0.422154516422085
CDCP1	4	Placebo	-0.1353948743931912	0.07866831345685105	874.835326723856	-0.28979554900767773	0.019005800221295333
CDCP1	7	Placebo	0.047809732812887876	0.07952857529929058	903.1815689871426	-0.10827257347758358	0.20389203910335935
CD244	1	Anakinra	0.25051828020882994	0.0556100899098851	910.0622736822262	0.14137935755543796	0.3596572028622219
