Assay	term	contrast	null.value	estimate	std.error	df	statistic	p.value	adj.p.value
IL8	Day*srf14	Day1 No - Day4 No	0	-0.20336718692082667	0.0542417597766393	1047.546745160414	-3.7492733967014895	1.870484048592072e-4	3.481178645990801e-4
IL8	Day*srf14	Day1 No - Day7 No	0	-0.4188171754089968	0.05480830278801647	1054.7788117101525	-7.641491418350741	4.80859431648544e-14	8.054395480113112e-14
IL8	Day*srf14	Day1 No - Day1 Yes	0	-0.1956249804980708	0.0995809578274062	1294.5783686777552	-1.9644818122469578	0.049687883593690224	0.10738994196055629
IL8	Day*srf14	Day1 No - Day4 Yes	0	-0.5796866451619785	0.10243461411024392	1335.3243733327504	-5.659089461088791	1.860013290643973e-8	1.7802984353306597e-7
IL8	Day*srf14	Day1 No - Day7 Yes	0	-0.6152000109408671	0.10184839078562463	1326.900502593834	-6.040350821406393	1.9938478096805487e-9	1.1132316937383063e-8
IL8	Day*srf14	Day4 No - Day7 No	0	-0.21544998848817015	0.05472163369637538	1051.1530048950904	-3.937199493779752	8.786551378668846e-5	1.591078222623818e-4
IL8	Day*srf14	Day4 No - Day1 Yes	0	0.00774220642275586	0.099587638362844	1294.5297137845882	0.07774264507154399	0.9380447849349149	0.9522575847066561
IL8	Day*srf14	Day4 No - Day4 Yes	0	-0.37631945824115187	0.10244079416656088	1335.263887879194	-3.673531246051112	2.4868081535518364e-4	6.664645851518922e-4
IL8	Day*srf14	Day4 No - Day7 Yes	0	-0.41183282402004034	0.10185404906415259	1326.7960772171814	-4.043362318965328	5.572218222580775e-5	2.488924139419413e-4
IL8	Day*srf14	Day7 No - Day1 Yes	0	0.223192194910926	0.09981419205079234	1298.4693754030068	2.2360767574750335	0.025516077157181138	0.032256173010021434
IL8	Day*srf14	Day7 No - Day4 Yes	0	-0.1608694697529817	0.10265975596239636	1338.662474531838	-1.567015898731604	0.11734731342040025	0.1403976785565503
IL8	Day*srf14	Day7 No - Day7 Yes	0	-0.1963828355318702	0.1020751606495838	1330.344653828458	-1.9239042513588336	0.05457973213635803	0.08504283844502297
IL8	Day*srf14	Day1 Yes - Day4 Yes	0	-0.3840616646639077	0.10059070802125893	1084.8746215636008	-3.8180630419933	1.4211744728620008e-4	3.8087475872701623e-4
IL8	Day*srf14	Day1 Yes - Day7 Yes	0	-0.4195750304427962	0.10016433506868465	1086.2609971045886	-4.188866527742488	3.0308192942731e-5	5.8018540776085064e-5
IL8	Day*srf14	Day4 Yes - Day7 Yes	0	-0.035513365778888514	0.10201065363214971	1067.7244956249176	-0.3481338910634733	0.7278082569336216	0.8554939160447834
VEGFA	Day*srf14	Day1 No - Day4 No	0	0.11604461378902504	0.04103756768993862	1029.0158944972384	2.8277653945235226	0.0047783283208851	0.007276090852256856
VEGFA	Day*srf14	Day1 No - Day7 No	0	0.027201616170357195	0.04151160810468363	1032.5708853642666	0.6552773407804483	0.5124351619975893	0.5364555602162263
VEGFA	Day*srf14	Day1 No - Day1 Yes	0	-0.06612392266472984	0.10086248130641053	929.3655431093766	-0.6555849291854294	0.5122534741781155	0.6128746923202453
VEGFA	Day*srf14	Day1 No - Day4 Yes	0	-0.16933830812584205	0.10273469464952555	974.1674867907083	-1.6483069201065086	0.09961215057387544	0.15168213837385577
VEGFA	Day*srf14	Day1 No - Day7 Yes	0	-0.15033071473036352	0.10235523210906863	964.8837962366467	-1.4687154885269835	0.1422359045279211	0.22162338612490032
VEGFA	Day*srf14	Day4 No - Day7 No	0	-0.08884299761866785	0.04142063895467819	1030.359539600367	-2.14489684033794	0.032194385736856235	0.042294585183713096
VEGFA	Day*srf14	Day4 No - Day1 Yes	0	-0.1821685364537549	0.10086882878334223	929.4437182811461	-1.8059943656631285	0.07124262226251986	0.09179337868440059
VEGFA	Day*srf14	Day4 No - Day4 Yes	0	-0.2853829219148671	0.10274079888646927	974.2338814808284	-2.7776981005396033	0.0055796764469307905	0.012461277398145433
VEGFA	Day*srf14	Day4 No - Day7 Yes	0	-0.26637532851938855	0.10236129234157242	964.9433205798741	-2.6023052506069666	0.009401887025374452	0.019685200959377758
VEGFA	Day*srf14	Day7 No - Day1 Yes	0	-0.09332553883508704	0.1010097666443477	933.1070841717715	-0.9239258928662157	0.3557637566139248	0.3844543821473058
VEGFA	Day*srf14	Day7 No - Day4 Yes	0	-0.19653992429619924	0.10287873470514879	977.7449457347551	-1.9104037861612908	0.05637353350475977	0.071264655562620835
VEGFA	Day*srf14	Day7 No - Day7 Yes	0	-0.17753233090072074	0.10249995871997351	968.4964062274762	-1.7320234380360404	0.08358778285159439	0.1211030842326413
VEGFA	Day*srf14	Day1 Yes - Day4 Yes	0	-0.10321438546111221	0.07658596672996258	1052.1972293600872	-1.3476931854244238	0.1780471827741007	0.22940694703586054
VEGFA	Day*srf14	Day1 Yes - Day7 Yes	0	-0.08420679206563368	0.0762871880133741	1053.8039240398646	-1.1038130288780754	0.26992623679521466	0.30652640449626073
VEGFA	Day*srf14	Day4 Yes - Day7 Yes	0	0.019007593395478525	0.07741486708001963	1039.0516014618827	0.24552898057464062	0.8060953582440478	0.8950654610257152
CD8A	Day*srf14	Day1 No - Day4 No	0	0.26437034149647987	0.0466933671654783	1036.4540516659752	5.661839304918155	1.9382150558872867e-8	4.328680291481607e-8
CD8A	Day*srf14	Day1 No - Day7 No	0	0.22517236149191916	0.04721314190043729	1041.4821089973946	4.769272969944701	2.1120121254615606e-6	3.144551386798324e-6
CD8A	Day*srf14	Day1 No - Day1 Yes	0	0.09998829357996805	0.09920503337539971	1081.3924088472831	1.0078953675828566	0.31373016144105526	0.42039841633101405
CD8A	Day*srf14	Day1 No - Day4 Yes	0	0.42064216172903346	0.10152808597192885	1131.0723108428867	4.143111314492183	3.681515361584822e-5	1.6444101948412203e-4
CD8A	Day*srf14	Day1 No - Day7 Yes	0	0.46831363425691463	0.1010543189886799	1120.7461916069497	4.634276287680243	4.002059212945625e-6	1.1172415302806536e-5
CD8A	Day*srf14	Day4 No - Day7 No	0	-0.039197980004560706	0.04712134269974663	1038.6212130642566	-0.8318519328773598	0.40568373661819335	0.43144143418125325
CD8A	Day*srf14	Day4 No - Day1 Yes	0	-0.16438204791651181	0.09921183821032903	1081.4192604816005	-1.6568793692545236	0.09783393498161291	0.12138654895866786
CD8A	Day*srf14	Day4 No - Day4 Yes	0	0.15627182023255357	0.10153453409160591	1131.082934888108	1.5391001852784678	0.12405953117768954	0.17630033988357063
CD8A	Day*srf14	Day4 No - Day7 Yes	0	0.2039432927604348	0.10106059793122915	1120.7372024610322	2.0180297458680823	0.04382606735229106	0.07936071655685138
CD8A	Day*srf14	Day7 No - Day1 Yes	0	-0.1251840679119511	0.09939091349825012	1085.7729086358377	-1.2595121979048427	0.20811606420179554	0.23239627169200502
