Assay	Day	srf14	emmean	SE	df	lower.CL	upper.CL
IL8	1	No	-0.24227829289494918	0.052941681109194186	1150.9739010818162	-0.34615131208592065	-0.1384052737039777
IL8	4	No	-0.03891110597412249	0.05286148107643317	1147.2200999632707	-0.14262712775983338	0.06480491581158838
IL8	7	No	0.17653888251404765	0.05356365612602476	1175.6992441277225	0.0714478579160772	0.2816299071120181
IL8	1	Yes	-0.04665331239687835	0.09482389044485874	1156.9871026898477	-0.23269934830229388	0.13939272350853715
IL8	4	Yes	0.33740835226702937	0.09778120543145394	1211.1469337255758	0.14556899910561402	0.5292477054284447
IL8	7	Yes	0.37292171804591784	0.09715721559426561	1199.749543963634	0.18230477449949042	0.5635386615923452
VEGFA	1	No	0.06376083200703932	0.05500732907815079	841.0700960892339	-0.04420692191730993	0.17172858593138857
VEGFA	4	No	-0.05228378178198572	0.05496251875287588	838.7374523565799	-0.1601640148806833	0.05559645131671186
VEGFA	7	No	0.036559215836682125	0.05538175384762162	858.7261966168439	-0.07214023398907651	0.14525866566244075
VEGFA	1	Yes	0.12988475467176916	0.09838389180398847	846.78280458504	-0.06322014114938679	0.3229896504929251
VEGFA	4	Yes	0.23309914013288138	0.10027877248458399	892.9387059190052	0.03628959158877987	0.4299086886769829
VEGFA	7	Yes	0.21409154673740285	0.09988281408940576	883.098427664868	0.018056150931076848	0.41012694254372883
CD8A	1	No	0.3155320646194312	0.05352197333889867	962.2363081273592	0.2104988095665143	0.42056531967234806
CD8A	4	No	0.05116172312295128	0.0534622838537407	959.0523522418563	-0.05375483401263377	0.15607828025853632
CD8A	7	No	0.09035970312751199	0.05400400481075669	984.8351146092168	-0.015616443492765975	0.19633584974778995
CD8A	1	Yes	0.2155437710394631	0.09579240662774406	968.8875073545635	0.02755927298945343	0.40352826908947276
CD8A	4	Yes	-0.10511009710960229	0.09816716899931682	1023.9117183850694	-0.29774191798680205	0.08752172376759745
CD8A	7	Yes	-0.15278156963748352	0.09766860437763931	1012.1779204160492	-0.3444376947421177	0.03887455546715066
MCP-3	1	No	0.17433031099862362	0.04990664845897047	959.5628640232796	0.07639154300929678	0.27226907898795044
MCP-3	4	No	-0.29335198992212963	0.04985130125466179	956.3943397080511	-0.3911825517061364	-0.19552142813812284
MCP-3	7	No	-0.523538326718786	0.0503539144190022	982.0807397473498	-0.6223519656649232	-0.4247246877726487
MCP-3	1	Yes	0.616646879482489	0.0893206197340319	966.2049931133172	0.4413621073012986	0.7919316516636794
MCP-3	4	Yes	0.4954346206525222	0.09152532525338848	1021.1167419026725	0.3158353987223813	0.6750338425826631
MCP-3	7	Yes	0.3779498833743213	0.09106250457189798	1009.4060912597243	0.19925638964508244	0.5566433771035602
CDCP1	1	No	0.34426312543577686	0.052805496360416704	839.0199337948492	0.24061673851805712	0.44790951235349663
CDCP1	4	No	-0.1056880416346756	0.05276276714052947	836.7039653596498	-0.20925097394335057	-0.002125109326000643
CDCP1	7	No	-0.018960803400883797	0.053162762960208707	856.5711842193522	-0.12330534295445338	0.08538373615268578
CDCP1	1	Yes	0.4631024285736592	0.09444452423748066	844.7074035714704	0.2777289510999401	0.6484759060473783
CDCP1	4	Yes	-0.05958341246036089	0.09625345905666036	890.6453517357944	-0.2484934435545645	0.12932661863384273
CDCP1	7	Yes	0.2176717683628247	0.09587549431654203	880.8522289886399	0.02950069584844106	0.40584284087720834
CD244	1	No	0.2513430315101671	0.050677107592680626	934.3691158277454	0.15188889760439014	0.3507971654159441
CD244	4	No	0.16442571617543303	0.050623919523387836	931.35428574412	0.06507554706457602	0.26377588528629003
CD244	7	No	0.43642481762828	0.051109732301688714	956.0595161600502	0.3361246064669228	0.5367250287896372
CD244	1	Yes	-0.020057829115407447	0.0906880731935411	940.9001808708175	-0.19803212568607137	0.1579164674552565
CD244	4	Yes	-0.3489152358931826	0.09283191699215172	994.5713069101731	-0.5310841394728147	-0.16674633231355046
CD244	7	Yes	-0.3108251002823581	0.0923822671443173	983.1193870374501	-0.4921142055246043	-0.12953599504011196
IL7	1	No	-0.02893180522940491	0.053938558404759265	1029.3785474974686	-0.1347738858729986	0.07691027541418877
IL7	4	No	-0.0526203706529878	0.0538702743605158	1025.8677378494722	-0.15832888533541506	0.05308814402943944
IL7	7	No	-0.0049061942633049395	0.05448128354442007	1053.5619662743038	-0.11181036023154799	0.10199797170493811
IL7	1	Yes	-0.11388994681024436	0.09656708511591737	1036.0884988545627	-0.30337931386141276	0.07559942024092403
IL7	4	Yes	0.1257859494707345	0.09920533605303065	1092.7572476998325	-0.06886853622472755	0.3204404351661965
IL7	7	Yes	0.01090325343828603	0.09865029854672093	1080.707019834008	-0.1826645656801178	0.20447107255668984
OPG	1	No	0.30635319462122745	0.046455749327531125	1013.9271507672496	0.21519277953700777	0.39751360970544714
