Assay	term	Sum Sq	Mean Sq	NumDF	DenDF	F value	Pr(>F)	adj.p.value
MCP-3	Day:srf14	8.219957434597328	4.109978717298664	2	1044.5938670711596	10.769073797325607	2.3475467504515967e-5	2.6214272046709493e-4
CD244	Day:srf14	9.720193654864815	4.8600968274324075	2	1049.1635563691239	13.05778477068068	2.5032606989512195e-6	3.3543693365946344e-5
IL6	Day:srf14	10.814449463908415	5.407224731954208	2	1052.107271295213	14.015389013942572	9.837070331097534e-7	2.1969457072784494e-5
MCP-1	Day:srf14	4.909175827248007	2.4545879136240036	2	1062.8280022786607	4.538575722544842	0.01089660103288594	0.04055957051129767
CD6	Day:srf14	10.908450960561607	5.454225480280804	2	1049.80131653479	13.446362136845229	1.7134176451377078e-6	2.8699745556056607e-5
SCF	Day:srf14	4.821729691642439	2.4108648458212194	2	1036.597619037449	7.197505702996489	7.864444386128426e-4	0.004390981448921704
TGF-alpha	Day:srf14	5.2454015741496125	2.6227007870748063	2	1048.330969162798	5.139534842168906	0.006008973606678422	0.02368242539102672
MCP-4	Day:srf14	4.068837884321257	2.0344189421606287	2	1032.0476200166443	7.36358266350047	6.677888183539763e-4	0.0040674409845196735
LIF-R	Day:srf14	6.409062592735634	3.204531296367817	2	1043.4986162513283	7.402074260877299	6.425545045768822e-4	0.0040674409845196735
PD-L1	Day:srf14	2.954328496033377	1.4771642480166884	2	1044.9859769195343	4.455228573801367	0.011839175463773225	0.04174867137225295
TRANCE	Day:srf14	7.450211228672408	3.725105614336204	2	1060.3957193099106	8.817060970220432	1.5932714357946018e-4	0.0015249883742605474
HGF	Day:srf14	5.9619800417830495	2.9809900208915248	2	1061.9230699034167	5.6276895772507745	0.0037049905773108315	0.015514648042489107
IL-12B	Day:srf14	12.508524629153452	6.254262314576726	2	1055.9470057239866	19.185775001724988	6.539501612130804e-9	4.3814660801276385e-7
CD5	Day:srf14	6.340001796510889	3.1700008982554446	2	1056.1155587893782	7.063615022702814	8.967005492292573e-4	0.004621456676796942
Flt3L	Day:srf14	7.497802806245265	3.7489014031226326	2	1061.681090167322	7.738004944537491	4.6098315073882104e-4	0.0034317634555001125
DNER	Day:srf14	13.097137636825543	6.548568818412772	2	1047.7766811708605	17.20551748737899	4.4444548761756086e-8	1.488892383518829e-6
EN-RAGE	Day:srf14	9.068317601991199	4.534158800995599	2	1064.275347064603	8.608415514303193	1.9558253663024515e-4	0.0016380037442783031
CCL25	Day:srf14	4.676728966243306	2.338364483121653	2	1039.7814347256356	6.338172371123402	0.001836583760699511	0.008203407464457815
TNFB	Day:srf14	5.110868238812487	2.5554341194062435	2	1048.582652445199	6.728116275578833	0.0012491251385940336	0.0059779560204143035
