Assay	contrast	Day	srf14	estimate	SE	df	t.ratio	p.value	simple_effect	Allocation	adj.p.value
MCP-1	Anakinra - Placebo	1	No	-0.057670638062904504	0.10360037474486579	1278.771667713028	-0.5566643769863635	0.5778541618059949	Allocation | Day * srf14	NA	0.628673145719697
MCP-1	Anakinra - Placebo	4	No	0.014939706580454855	0.1025397386678904	1259.0472797638781	0.14569674912905858	0.8841841093375041	Allocation | Day * srf14	NA	0.8841841093375041
MCP-1	Anakinra - Placebo	7	No	-0.223189547962953	0.10436149504758592	1292.4985164636169	-2.1386196878569517	0.03265348490861898	Allocation | Day * srf14	NA	0.13061393963447593
MCP-1	Anakinra - Placebo	1	Yes	-0.3721269503421884	0.16858023048918064	1276.5723745252426	-2.207417496478457	0.027462256386487905	Allocation | Day * srf14	NA	0.10984902554595162
MCP-1	Anakinra - Placebo	4	Yes	-0.6292951132753425	0.17542392424663805	1337.1257763806432	-3.5872821565123707	3.4619731031004683e-4	Allocation | Day * srf14	NA	0.0013847892412401873
MCP-1	Anakinra - Placebo	7	Yes	-0.0037754087997265637	0.17458753117357506	1330.0067354632258	-0.021624733303394098	0.9827505474971067	Allocation | Day * srf14	NA	0.9827505474971067
Flt3L	Anakinra - Placebo	1	No	0.073896648844808	0.10005385458564582	1247.1520793074085	0.738568735315966	0.46030787712264953	Allocation | Day * srf14	NA	0.628673145719697
Flt3L	Anakinra - Placebo	4	No	0.19443607574360544	0.09906087917790102	1226.8205749818553	1.962793762353173	0.04989583138255265	Allocation | Day * srf14	NA	0.06652777517673686
Flt3L	Anakinra - Placebo	7	No	-0.007283890945072785	0.10076656982014735	1261.332738718019	-0.07228479601988434	0.9423867240139103	Allocation | Day * srf14	NA	0.9827505474971067
Flt3L	Anakinra - Placebo	1	Yes	-0.07875606337742987	0.16281497965118227	1244.9600561373936	-0.48371509517219036	0.628673145719697	Allocation | Day * srf14	NA	0.628673145719697
Flt3L	Anakinra - Placebo	4	Yes	-0.4646305667029359	0.16925541570754507	1308.774626477132	-2.7451444596949672	0.006131184570512722	Allocation | Day * srf14	NA	0.012262369141025443
Flt3L	Anakinra - Placebo	7	Yes	0.21083700938582814	0.16846862755913947	1301.2252475583377	1.2514912268268799	0.21098024858328118	Allocation | Day * srf14	NA	0.42196049716656236
MCP-1	No - Yes	1	NA	-0.2572732469311984	0.1243530352069588	1262.472859184766	-2.068893988015834	0.03875918741933157	srf14 | Day * Allocation	Anakinra	0.07751837483866314
MCP-1	No - Yes	4	NA	-0.4286667971550049	0.12743406015646705	1299.1841550971478	-3.3638322174517237	7.910808193545699e-4	srf14 | Day * Allocation	Anakinra	0.0010547744258060932
MCP-1	No - Yes	7	NA	-0.6521249484905461	0.12651972201734782	1287.3014215454987	-5.154334344815662	2.9433324354190264e-7	srf14 | Day * Allocation	Anakinra	1.1773329741676106e-6
MCP-1	No - Yes	1	NA	-0.5717295592104823	0.15607577230885897	1263.2646161297957	-3.6631538050574846	2.5943735695311605e-4	srf14 | Day * Allocation	Placebo	0.0010377494278124642
MCP-1	No - Yes	4	NA	-1.0729016170108023	0.16038880677839473	1306.6057351944858	-6.6893796304202455	3.314394867960466e-11	srf14 | Day * Allocation	Placebo	1.3257579471841865e-10
MCP-1	No - Yes	7	NA	-0.4327108093273197	0.16111269517706986	1315.3538324129854	-2.685764823509108	0.00732744968889292	srf14 | Day * Allocation	Placebo	0.00732744968889292
Flt3L	No - Yes	1	NA	0.10651245154014632	0.12012673228483664	1231.0392160176127	0.8866673513401744	0.37543120048879763	srf14 | Day * Allocation	Anakinra	0.5005749339850635
Flt3L	No - Yes	4	NA	0.5945677018376405	0.12302954949734972	1269.6496588953132	4.832722742355881	1.5110309992970542e-6	srf14 | Day * Allocation	Anakinra	3.0220619985941083e-6
Flt3L	No - Yes	7	NA	0.3392316628499593	0.12217047655580533	1257.237093646125	2.7767073716455895	0.005572786079685768	srf14 | Day * Allocation	Anakinra	0.00732744968889292
Flt3L	No - Yes	1	NA	-0.04614026068209154	0.1507698292496606	1231.6203381621497	-0.3060311264642187	0.7596326672568661	srf14 | Day * Allocation	Placebo	0.7596326672568661
Flt3L	No - Yes	4	NA	-0.06449894060890082	0.15482702292932218	1277.0188821712318	-0.4165871008082632	0.6770504550513015	srf14 | Day * Allocation	Placebo	0.6770504550513015
Flt3L	No - Yes	7	NA	0.5573525631808602	0.15550356636729964	1286.040915027858	3.5841786539119798	3.50788204842042e-4	srf14 | Day * Allocation	Placebo	0.00070157640968408405
