Assay	contrast	Day	estimate	SE	df	t.ratio	p.value	adj.p.value
MCP-3	No - Yes	1	-0.4651131620454878	0.0954804721587576	1079.3890223851242	-4.87129097217003	1.2743538212216642e-6	1.1187259071581794e-5
MCP-3	No - Yes	4	-0.8059485863777586	0.09758793162856995	1125.9489740720749	-8.258691140675925	4.0933980140447967e-16	3.888728113342557e-15
MCP-3	No - Yes	7	-0.8754148683563434	0.09750481909772998	1124.7793681846115	-8.978170273603677	1.1311486433226991e-18	1.0745912111565642e-17
CD244	No - Yes	1	0.26191395195941775	0.09693501990670843	1046.5546107423138	2.701953867771289	0.007004806924898129	0.016636416446633058
CD244	No - Yes	4	0.4939858419169417	0.09898769781330434	1092.8933596329023	4.990376105610854	7.007350645704928e-7	1.9019951752627663e-6
CD244	No - Yes	7	0.742093562605096	0.09890564128397109	1091.643730827606	7.503045862413933	1.289590426244393e-13	6.125554524660866e-13
IL6	No - Yes	1	-0.4620608716058214	0.09156181496871056	1140.6099344302243	-5.046436353011586	5.234655097989714e-7	9.945844686180456e-6
IL6	No - Yes	4	-0.7760865837109385	0.09372570463005815	1186.474498721588	-8.280402764366574	3.277074420397389e-16	3.888728113342557e-15
IL6	No - Yes	7	-0.9604712781793088	0.09364255240034103	1185.4893149893119	-10.25678234477311	1.0433020366361556e-23	1.9822738696086957e-22
MCP-1	No - Yes	1	-0.4145014030708404	0.10057143887074696	1250.03912942663	-4.121462392554132	4.012778507532953e-5	1.9060697910781526e-4
MCP-1	No - Yes	4	-0.7507842070829036	0.10319860858122483	1291.1011125952068	-7.275138855113358	5.985996671500972e-13	2.8433484189629615e-12
MCP-1	No - Yes	7	-0.5424178789089329	0.10310253182108632	1290.5228706774249	-5.2609559564472175	1.6763186825107327e-7	3.1530795360897224e-7
CD6	No - Yes	1	0.17343732247955437	0.0998613389149195	1062.0346123628672	1.7367814648201405	0.08271570094297642	0.12089217830127323
CD6	No - Yes	4	0.273618061869951	0.10201873429024584	1108.529433784162	2.6820374098300497	0.007426287389903751	0.010745696436526108
CD6	No - Yes	7	0.6576488133928771	0.10193303850117758	1107.3156973355306	6.451772880146996	1.6490579821546617e-10	5.310678916040519e-10
SCF	No - Yes	1	0.13263962373986377	0.09903036164127141	968.7903431823232	1.3393834127390032	0.18076001531517383	0.21465251818676892
