from	to	score
CX3CL1	IL6	0.735
CX3CL1	CCL25	0.768
CX3CL1	CCL19	0.801
CX3CL1	TNF	0.814
CX3CL1	IL10	0.815
CX3CL1	CCL2	0.831
CX3CL1	CXCL8	0.845
CX3CL1	CXCL11	0.859
CX3CL1	CCL7	0.87
CX3CL1	FLT3LG	0.889
CX3CL1	CCL20	0.92
CX3CL1	CXCL9	0.926
CX3CL1	CXCL1	0.939
CX3CL1	CXCL10	0.948
CX3CL1	CCL11	0.992
HGF	CXCL8	0.702
HGF	KITLG	0.754
HGF	IL10	0.813
HGF	IL6	0.86
CCL2	CCL23	0.792
CCL2	CXCL11	0.796
CCL2	CD40	0.811
CCL2	CCL7	0.883
CCL2	CCL19	0.892
CCL2	IL10	0.963
CCL2	CXCL10	0.965
CCL2	TNF	0.978
CCL2	CCL20	0.979
CCL2	CXCL1	0.98
CCL2	IL6	0.985
CCL2	CCL11	0.998
CCL2	CCL8	0.999
CCL2	CXCL8	0.999
CCL2	CXCL9	0.999
IL12B	TNF	0.714
IL12B	IL10	0.725
TNFSF10	TNFSF12	0.744
TNFSF10	TNFRSF11B	0.919
TNFSF10	TNF	0.946
TNFSF12	TNFSF11	0.742
TNFSF12	LTA	0.788
TNFSF12	TNF	0.925
TNFRSF11B	TNFSF11	0.999
CCL11	LTA	0.716
CCL11	IL6	0.814
CCL11	IL10	0.843
CCL11	TNF	0.861
CCL11	FLT3LG	0.906
CCL11	CXCL8	0.929
CCL11	CCL8	0.997
CCL11	CXCL11	0.998
CCL11	CXCL10	0.999
CCL11	CXCL9	0.999
CCL11	CXCL1	0.999
CXCL10	CD40	0.7
CXCL10	LTA	0.711
CXCL10	CD274	0.777
CXCL10	CCL7	0.833
CXCL10	CCL25	0.848
CXCL10	CCL19	0.935
CXCL10	CCL20	0.936
CXCL10	IL6	0.96
CXCL10	IL10	0.962
CXCL10	TNF	0.966
CXCL10	CXCL8	0.975
CXCL10	CXCL1	0.992
CXCL10	CCL8	0.999
CXCL10	CXCL9	0.999
CXCL10	CXCL11	0.999
CXCL8	CCL25	0.796
CXCL8	S100A12	0.815
CXCL8	LTA	0.818
CXCL8	CCL7	0.907
CXCL8	CCL19	0.925
CXCL8	CCL20	0.941
CXCL8	CXCL11	0.946
CXCL8	CXCL1	0.957
CXCL8	CXCL9	0.959
CXCL8	IL10	0.97
CXCL8	TNF	0.983
CXCL8	IL6	0.991
CXCL8	CCL8	0.998
CXCL11	TNF	0.705
CXCL11	IL10	0.724
CXCL11	IL6	0.735
CXCL11	CCL7	0.736
CXCL11	CXCL1	0.928
CXCL11	CCL19	0.928
CXCL11	CCL20	0.999
CXCL11	CCL25	0.999
CXCL11	CCL8	0.999
CXCL11	CXCL9	0.999
CCL19	CCL8	0.771
CCL19	CCL7	0.805
CCL19	TNF	0.836
CCL19	IL6	0.84
CCL19	IL10	0.853
CCL19	CXCL1	0.888
CCL19	CCL25	0.933
CCL19	CCL20	0.961
CCL19	CXCL9	0.962
CD6	CD5	0.985
CD5	TNF	0.728
CD5	IL6	0.83
CCL20	CCL8	0.779
CCL20	CCL23	0.78
CCL20	CCL7	0.814
CCL20	CCL25	0.823
CCL20	IL10	0.835
CCL20	CXCL9	0.866
CCL20	TNF	0.931
CCL20	IL6	0.935
CCL20	CXCL1	0.981
CXCL9	CD274	0.761
CXCL9	CCL25	0.805
CXCL9	TNF	0.815
CXCL9	IL6	0.815
CXCL9	IL10	0.819
CXCL9	CCL8	0.846
CXCL9	CCL7	0.853
CXCL9	CXCL1	0.859
CD40	CD274	0.857
CD40	LTA	0.873
CD40	TNFSF11	0.878
CD40	IL6	0.891
CD40	IL10	0.901
CD40	TNFRSF9	0.913
CD40	TNF	0.992
CCL7	IL6	0.755
CCL7	IL10	0.803
CCL7	TNF	0.808
CCL7	CCL23	0.834
CCL7	CXCL1	0.866
CD274	IL6	0.799
CD274	TNF	0.807
CD274	IL10	0.877
CD274	TNFRSF9	0.899
CCL25	CCL23	0.741
CCL25	CCL8	0.747
CCL25	CXCL1	0.765
CXCL1	FLT3LG	0.827
CXCL1	IL10	0.919
CXCL1	TNF	0.955
CXCL1	IL6	0.982
TNFSF11	IL10	0.745
TNFSF11	IL6	0.81
TNFSF11	TNF	0.831
TNFSF11	LTA	0.848
IL6	LTA	0.793
IL6	FLT3LG	0.841
IL6	KITLG	0.921
IL6	LIFR	0.956
IL6	TNF	0.994
IL6	IL10	0.997
LIFR	IL10	0.734
TNF	TNFRSF9	0.816
TNF	LTA	0.984
TNF	IL10	0.992
LTA	FLT3LG	0.73
LTA	IL10	0.846
FLT3LG	KITLG	0.982
