name	x	y	Assay	estimate	in_mice	node_status	regulation	plot_col
CX3CL1	-0.5551672830367634	0.19209737465360008	CX3CL1	-0.41455645644366057	TRUE	hit	Down	Down
HGF	1.1795710639291244	-0.520729911867435	HGF	-0.5948546731639109	TRUE	hit	Down	Down
CCL2	-0.4509222084948203	0.5277005972481006	MCP-1	-0.6521249484905461	TRUE	hit	Down	Down
CCL13	-0.02605420313468293	1.3953421974852358	MCP-4	0.4162495372962474	TRUE	hit	Up	Up
CXCL6	-0.30834755900788136	1.3142211977004006	CXCL6	0.3328092797297972	TRUE	hit	Up	Up
IFNG	-0.11617417629463972	-0.3329526434557157	IFN-gamma	-0.2922444250052629	TRUE	hit	Down	Down
IL12B	0.7553557945929085	-1.321605056542246	IL-12B	0.31265445980667483	TRUE	hit	Up	Up
TNFSF10	3.2147060509962904	0.6820956499619079	TRAIL	0.5035202255766357	TRUE	hit	Up	Up
IL10RB	0.1237729243517093	-1.266317938822382	IL-10RB	0.34395980417077354	TRUE	hit	Up	Up
TNFSF12	2.109221248713688	0.8627154540102	TWEAK	0.4099048516464401	TRUE	hit	Up	Up
CXCL5	0.05612393337464393	0.9182654048008012	CXCL5	0.3489839455575795	TRUE	hit	Up	Up
TNFRSF11B	2.5965840556824036	-0.2073603955930128	OPG	-0.6219179589153512	TRUE	hit	Down	Down
CCL11	0.3978381757788846	0.8084968620232837	CCL11	0.4766025766135232	TRUE	hit	Up	Up
CXCL10	-0.12086537320603226	0.44402973454770167	CXCL10	-0.6787421053664109	TRUE	hit	Down	Down
CD6	-1.7757929854434906	-1.373513278249709	CD6	0.4423939377567601	TRUE	hit	Up	Up
CSF1	0.8420635063252543	0.2994725316644639	CSF-1	-0.3510069989500697	TRUE	hit	Down	Down
CD5	-0.8446935817871228	-1.3187174927102143	CD5	0.35985439738607833	TRUE	hit	Up	Up
CCL20	-0.8583459747549135	0.7080245640148775	CCL20	-0.6919892704443367	TRUE	hit	Down	Down
CXCL9	-0.9348588238578952	0.2252009673436508	CXCL9	-0.6548320553837884	TRUE	hit	Down	Down
CD244	-2.1726515355725704	-0.489449081188608	CD244	0.5604929230035274	TRUE	hit	Up	Up
CD40	0.29644358948229005	-0.6054005367212735	CD40	-0.2904678007867864	TRUE	hit	Down	Down
PLAU	0.4717213187157353	-1.6511482857478603	uPA	-0.29696349616478984	TRUE	hit	Down	Down
CCL7	-0.5841919162531526	0.910232080867731	MCP-3	-0.8995913157167303	TRUE	hit	Down	Down
CD274	-0.5740771630894951	-0.7557416373838344	PD-L1	-0.6728570680872639	TRUE	hit	Down	Down
CCL25	-1.2960028896288225	0.8292166395322675	CCL25	0.4128545404899121	TRUE	hit	Up	Up
TNFSF11	1.4706564084688742	-0.02169518438066276	TRANCE	0.5501342991008882	TRUE	hit	Up	Up
IL6	0.10242936448224645	-0.1546737748425029	IL6	-1.0996399700526969	TRUE	hit	Down	Down
CD8A	-0.9003602846641762	-0.42737425961440706	CD8A	NA	FALSE	scaffold_only	NA	Not in mice hits
LTA	1.047472396059692	0.44509341127160584	TNFB	0.4547354188747712	TRUE	hit	Up	Up
FLT3LG	0.6068151140309972	-0.286990875950559	Flt3L	0.3392316628499593	TRUE	hit	Up	Up
IL10	0.2499896739826346	0.08837577409643874	IL10	-0.5145420625027161	TRUE	hit	Down	Down
KITLG	1.008112272959651	-0.9582988140742889	SCF	0.3002049745650317	TRUE	hit	Up	Up
CCL23	-1.5840568663511971	1.3894381299869858	CCL23	-0.35616320348262914	TRUE	hit	Down	Down
CCL8	-0.760274412999287	1.5853011163984472	MCP-2	-0.3453938834495599	TRUE	hit	Down	Down
SLAMF1	-1.3396550264591294	-0.9703867515617024	SLAMF1	0.33033035393599	TRUE	hit	Up	Up
TNFRSF9	-0.399742129096434	-1.4802002765718505	TNFRSF9	0.29169310951591393	TRUE	hit	Up	Up
