name	x	y	Assay	estimate	in_mice	node_status	regulation	plot_col
CX3CL1	-0.5992682672497888	-0.4181807354604121	CX3CL1	-0.645536541939656	TRUE	hit	Down	Down
HGF	-0.5169017890595894	-1.4184811685774246	HGF	-0.5087091585437679	TRUE	hit	Down	Down
CCL2	-0.4134878192597595	0.7430845329967782	MCP-1	-1.0729016170108023	TRUE	hit	Down	Down
IL12B	1.5005020617208675	-0.1841926902905373	IL-12B	0.3543115394610711	TRUE	hit	Up	Up
TNFSF10	1.1755834016015323	1.4059679432980294	TRAIL	0.3743939063507251	TRUE	hit	Up	Up
TNFSF12	1.421086520351321	0.7335424637676802	TWEAK	0.42907096245934184	TRUE	hit	Up	Up
TNFRSF11B	2.274914739312133	1.012393462045374	OPG	-0.7230387212629985	TRUE	hit	Down	Down
CCL11	-0.2527648032870086	-0.6689516979701415	CCL11	0.3732092760347307	TRUE	hit	Up	Up
CXCL10	-0.19882096088612392	0.24177140806337016	CXCL10	-0.7219527302392651	TRUE	hit	Down	Down
CXCL8	-0.838899457114798	-0.44888458187255215	IL8	-0.583180256828892	TRUE	hit	Down	Down
CXCL11	-0.741644388218472	0.14514951951302624	CXCL11	NA	FALSE	scaffold_only	NA	Not in mice hits
CCL19	-0.989123348815314	-0.0477449501566721	CCL19	-0.3641510418571019	TRUE	hit	Down	Down
CD6	2.234073917061747	-1.5238535741412294	CD6	0.3673348300491196	TRUE	hit	Up	Up
CD5	1.2995828602432051	-0.8108437709836994	CD5	0.716967875899475	TRUE	hit	Up	Up
CCL20	-0.7438321058516311	0.7475573258982927	CCL20	-0.5026289197900098	TRUE	hit	Down	Down
CXCL9	-0.32848794647535057	0.48561433933669346	CXCL9	-0.6012676335908529	TRUE	hit	Down	Down
CD40	0.4646200329663186	0.8916691819552611	CD40	-0.440071121352273	TRUE	hit	Down	Down
CCL7	-0.915251465016924	0.5087462107350694	MCP-3	-0.9449175236344736	TRUE	hit	Down	Down
CD274	0.7744243197722976	0.7023989228645247	PD-L1	-0.8411609272714812	TRUE	hit	Down	Down
CCL25	-1.497712797988797	0.509269531991471	CCL25	0.369825851808607	TRUE	hit	Up	Up
CXCL1	-0.3932656276934111	-0.1808373104871669	CXCL1	-0.402804569490313	TRUE	hit	Down	Down
TNFSF11	1.296540391882513	0.17200920054308189	TRANCE	0.46420082490647385	TRUE	hit	Up	Up
IL6	0.1767445491941148	-0.4053792004369446	IL6	-0.8518511242788512	TRUE	hit	Down	Down
LIFR	0.8058587982494928	-1.350816186887914	LIF-R	-0.4569037948299822	TRUE	hit	Down	Down
TNF	0.3565479581365944	0.31315235499528155	TNF	NA	FALSE	scaffold_only	NA	Not in mice hits
LTA	0.7301692399746565	-0.3758514580314991	TNFB	0.519974527662862	TRUE	hit	Up	Up
FLT3LG	0.03484994949058521	-1.2931225936620645	Flt3L	0.5573525631808602	TRUE	hit	Up	Up
IL10	0.2143733019500124	-0.09768646373394271	IL10	-0.35976927618496024	TRUE	hit	Down	Down
KITLG	0.16140863762145857	-1.8042595421793757	SCF	0.4024590994332865	TRUE	hit	Up	Up
CCL23	-1.384961232610459	1.4711016829884496	CCL23	-0.5305006674418266	TRUE	hit	Down	Down
CCL8	-1.5500925463876178	-0.0038713947111929602	MCP-2	-0.4702117072639086	TRUE	hit	Down	Down
S100A12	-1.8135746098413847	-1.1062804096827867	EN-RAGE	-0.44046385368791463	TRUE	hit	Down	Down
TNFRSF9	0.4129635069877228	1.676576565978214	TNFRSF9	0.43510828667091817	TRUE	hit	Up	Up
