name	x	y	Assay	estimate	regulation
CX3CL1	-0.5551672830367634	0.19209737465360008	CX3CL1	-0.4317573036220179	Down
HGF	1.1795710639291244	-0.520729911867435	HGF	-0.6047183182085853	Down
CCL2	-0.4509222084948203	0.5277005972481006	MCP-1	-0.6761094808979917	Down
CCL13	-0.026054203134682933	1.3953421974852358	MCP-4	0.40723475300676015	Up
CXCL6	-0.30834755900788136	1.3142211977004006	CXCL6	0.3215621417856758	Up
IFNG	-0.11617417629463973	-0.3329526434557157	IFN-gamma	-0.28209949277790936	Down
IL12B	0.7553557945929085	-1.321605056542246	IL-12B	0.33585436198535656	Up
TNFSF10	3.2147060509962904	0.6820956499619079	TRAIL	0.5098357898169716	Up
IL10RB	0.1237729243517093	-1.266317938822382	IL-10RB	0.3161311422066021	Up
TNFSF12	2.109221248713688	0.8627154540102	TWEAK	0.4275785916800238	Up
CXCL5	0.05612393337464393	0.9182654048008011	CXCL5	0.35790776331128415	Up
TNFRSF11B	2.5965840556824036	-0.20736039559301278	OPG	-0.6400948225023726	Down
CCL11	0.39783817577888453	0.8084968620232837	CCL11	0.4794910854675729	Up
CXCL10	-0.12086537320603226	0.44402973454770167	CXCL10	-0.6902677737756332	Down
CD6	-1.7757929854434906	-1.373513278249709	CD6	0.45962084453858665	Up
CSF1	0.8420635063252543	0.2994725316644639	CSF-1	-0.35807417474015724	Down
CD5	-0.8446935817871228	-1.3187174927102143	CD5	0.4530228462075403	Up
CCL20	-0.8583459747549135	0.7080245640148775	CCL20	-0.7171593558836483	Down
CXCL9	-0.9348588238578953	0.2252009673436508	CXCL9	-0.6656784082030326	Down
CD244	-2.1726515355725704	-0.489449081188608	CD244	0.5514696618705646	Up
CD40	0.29644358948229005	-0.6054005367212735	CD40	-0.2965375231159932	Down
PLAU	0.47172131871573525	-1.6511482857478603	uPA	-0.3187005993721188	Down
CCL7	-0.5841919162531526	0.910232080867731	MCP-3	-1.074360677501887	Down
CD274	-0.5740771630894951	-0.7557416373838344	PD-L1	-0.6886815532517467	Down
CCL25	-1.2960028896288223	0.8292166395322675	CCL25	0.3939226569541851	Up
TNFSF11	1.4706564084688742	-0.021695184380662768	TRANCE	0.6501193323959605	Up
IL6	0.10242936448224643	-0.1546737748425029	IL6	-1.1149333469342966	Down
CD8A	-0.9003602846641762	-0.42737425961440706	CD8A	0.2891981925257928	Up
LTA	1.047472396059692	0.44509341127160584	TNFB	0.481235725950464	Up
FLT3LG	0.6068151140309972	-0.286990875950559	Flt3L	0.3688803905270641	Up
IL10	0.2499896739826346	0.08837577409643874	IL10	-0.51677592889829	Down
KITLG	1.008112272959651	-0.9582988140742887	SCF	0.3050066673071844	Up
CCL23	-1.5840568663511971	1.3894381299869858	CCL23	-0.3732752610593472	Down
CCL8	-0.760274412999287	1.5853011163984472	MCP-2	-0.35961862403862105	Down
SLAMF1	-1.3396550264591294	-0.9703867515617024	SLAMF1	0.37734935360454386	Up
TNFRSF9	-0.399742129096434	-1.4802002765718503	TNFRSF9	0.2790543468263357	Up
