name	x	y	Assay	estimate	regulation
CX3CL1	-0.5992682672497888	-0.4181807354604121	CX3CL1	-0.6777391571453215	Down
HGF	-0.5169017890595894	-1.4184811685774246	HGF	-0.5035477200516207	Down
CCL2	-0.4134878192597595	0.7430845329967782	MCP-1	-1.1081837364854097	Down
IL12B	1.5005020617208675	-0.1841926902905373	IL-12B	0.4459036773021035	Up
TNFSF10	1.1755834016015325	1.4059679432980294	TRAIL	0.4029027986999758	Up
TNFSF12	1.421086520351321	0.7335424637676802	TWEAK	0.4119384397063049	Up
TNFRSF11B	2.274914739312133	1.012393462045374	OPG	-0.7661503022014383	Down
CCL11	-0.2527648032870086	-0.6689516979701415	CCL11	0.4245590506239494	Up
CXCL10	-0.19882096088612394	0.24177140806337016	CXCL10	-0.7462498162747164	Down
CXCL8	-0.838899457114798	-0.44888458187255215	IL8	-0.6021322732646031	Down
CXCL11	-0.741644388218472	0.14514951951302624	CXCL11	-0.3643907967676056	Down
CCL19	-0.9891233488153139	-0.0477449501566721	CCL19	-0.35970789440294415	Down
CD6	2.234073917061747	-1.5238535741412294	CD6	0.43561367033607906	Up
CD5	1.2995828602432051	-0.8108437709836994	CD5	0.7776785270696366	Up
CCL20	-0.7438321058516311	0.7475573258982927	CCL20	-0.5148202228624517	Down
CXCL9	-0.32848794647535057	0.48561433933669346	CXCL9	-0.6375279110719294	Down
CD40	0.4646200329663186	0.8916691819552611	CD40	-0.45178323932531256	Down
CCL7	-0.9152514650169239	0.5087462107350694	MCP-3	-0.9888204524023456	Down
CD274	0.7744243197722976	0.7023989228645247	PD-L1	-0.884039863622854	Down
CCL25	-1.497712797988797	0.509269531991471	CCL25	0.5732289557213849	Up
CXCL1	-0.3932656276934111	-0.18083731048716686	CXCL1	-0.4164181292808838	Down
TNFSF11	1.296540391882513	0.17200920054308189	TRANCE	0.5512516696099197	Up
IL6	0.1767445491941148	-0.4053792004369446	IL6	-0.8845911433206439	Down
LIFR	0.8058587982494928	-1.350816186887914	LIF-R	-0.45428909800712	Down
TNF	0.3565479581365944	0.31315235499528155	TNF	-0.3886800141471982	Down
LTA	0.7301692399746565	-0.3758514580314991	TNFB	0.5275454035211854	Up
FLT3LG	0.034849949490585216	-1.2931225936620645	Flt3L	0.6042487810123491	Up
IL10	0.21437330195001242	-0.09768646373394273	IL10	-0.3944359433390619	Down
KITLG	0.16140863762145857	-1.8042595421793757	SCF	0.4331946948390298	Up
CCL23	-1.384961232610459	1.4711016829884496	CCL23	-0.5529482749829372	Down
CCL8	-1.5500925463876178	-0.0038713947111929663	MCP-2	-0.49060666558074334	Down
S100A12	-1.8135746098413847	-1.1062804096827867	EN-RAGE	-0.4729732307475786	Down
TNFRSF9	0.41296350698772283	1.676576565978214	TNFRSF9	0.4418882385885252	Up
