Assay	estimate	p.value	p.adj	label
uPA	0.16236017094017077	0.22564056161245674	1	p=1; Δ=0.16
CX3CL1	0.6039059309674277	4.4200128290312435e-4	0.015470044901609352	p=0.015; Δ=0.6
TNFRSF9	-0.17097078269324228	0.3125038987217952	1	p=1; Δ=-0.17
CST5	-0.10533344676713696	0.5285395556163388	1	p=1; Δ=-0.11
PD-L1	0.2126373845405933	0.10382768884278111	1	p=1; Δ=0.21
MCP-1	1.0170198833252306	1.0366028570034971e-4	0.0037317702852125894	p=0.0037; Δ=1
MCP-2	0.3348227883279272	0.1478627108206756	1	p=1; Δ=0.33
EN-RAGE	0.21189255907491716	0.04638528895169861	0.9740910679856709	p=0.97; Δ=0.21
CD5	-0.4406352477999073	0.03936370787654009	0.9289217718840059	p=0.93; Δ=-0.44
SCF	-0.06028820512820646	0.6886371970653216	1	p=1; Δ=-0.06
CXCL5	0.10709846153846313	0.7862893551194408	1	p=1; Δ=0.11
IFN-gamma	1.5502142769230773	0.031636207642863665	0.7909051910715916	p=0.79; Δ=1.6
IL-18R1	0.3430789743589727	0.0029820734897064286	0.09244427818089929	p=0.092; Δ=0.34
HGF	0.14102051282051334	0.7255025882469556	1	p=1; Δ=0.14
CCL11	0.29296384615384624	0.08443104100040597	1	p=1; Δ=0.29
CXCL10	0.6765733333333355	0.10312486975142081	1	p=1; Δ=0.68
TRANCE	-0.7847975980392154	0.010091480039625355	0.28121758179523915	p=0.28; Δ=-0.78
CCL20	0.9871110256410252	0.0010930790075600835	0.03607160724948275	p=0.036; Δ=0.99
IL-12B	-0.9186861538461545	0.023233812731030232	0.604079131006786	p=0.6; Δ=-0.92
CXCL9	0.959794242424243	0.001784582245412158	0.05710663185318906	p=0.057; Δ=0.96
CCL23	0.23248545454544756	0.2381271722148697	1	p=1; Δ=0.23
SLAMF1	0.015357784615383556	0.9387778080948683	1	p=1; Δ=0.015
IL6	3.176930980392167	1.0436952003552765e-8	3.8616722413145227e-7	p=3.9e-07; Δ=3.2
CD244	-0.14640384615384583	0.11497936161754134	1	p=1; Δ=-0.15
TNFB	-0.2696098039215685	0.13239590647703803	1	p=1; Δ=-0.27
CSF-1	0.36874363636363783	0.03947250268816344	0.9289217718840059	p=0.93; Δ=0.37
OPG	0.3861521212121214	0.010043485064115683	0.28121758179523915	p=0.28; Δ=0.39
TRAIL	-0.22834205128205123	0.18197430128093212	1	p=1; Δ=-0.23
MCP-4	0.33073051282051064	0.2724412549574087	1	p=1; Δ=0.33
Flt3L	-0.8049887179487168	0.007405107869710758	0.22215323609132273	p=0.22; Δ=-0.8
CXCL6	0.24760512820512856	0.38224277034331156	1	p=1; Δ=0.25
CD6	-0.5457728205128205	0.007689493879228527	0.2229953224976273	p=0.22; Δ=-0.55
TWEAK	-0.6211989743589742	0.03870507382850025	0.9289217718840059	p=0.93; Δ=-0.62
CCL25	-0.09494153846153917	0.5371259875096808	1	p=1; Δ=-0.095
MCP-3	1.4426232352941128	5.014565326766494e-4	0.01704952211100608	p=0.017; Δ=1.4
CD40	0.26047090909091014	0.08238853800456378	1	p=1; Δ=0.26
DNER	-0.07050818181818157	0.40902192081578637	1	p=1; Δ=-0.071
