Assay	Day	more_diff	more_p	more_p_adj	more_sig
MCP-3	1	0.3346801111603087	0.00462510770343998	0.03098822161304791	TRUE
MCP-3	7	0.8995913157167303	1.153959040819202e-13	3.865762786744326e-12	TRUE
CD244	7	-0.6913521021874659	1.5979119496800168e-8	2.1412020125712225e-7	TRUE
OPG	1	0.2978141416633536	0.00708148823654151	0.03649690091140628	TRUE
OPG	7	0.6219179589153511	3.605090757683366e-8	3.450586868068365e-7	TRUE
uPA	7	0.2969634961647899	0.01916907677966426	0.03777435718345606	TRUE
IL6	1	0.48712221947132905	1.8064950556584083e-5	0.00107726194454557	TRUE
IL6	7	1.0996399700526969	6.139992213957507e-21	4.11379478335153e-19	TRUE
MCP-1	7	0.652124948490546	2.9433324354190264e-7	1.972032731730748e-6	TRUE
TRAIL	7	-0.5492853310589737	1.4022096442005194e-5	7.226772781648832e-5	TRUE
CXCL9	1	0.48926549399849706	8.402655590251555e-5	0.00187659308182284	TRUE
CXCL9	7	0.6548320553837884	2.307150599056711e-7	1.7175454459644405e-6	TRUE
CST5	7	-0.43777357905783776	5.90680381326996e-4	0.00197877927744543	TRUE
CD6	7	-0.4423939377567601	4.241079762690696e-4	0.00149553865315935	TRUE
SCF	7	-0.3002049745650317	0.01548824401718216	0.03242851091097516	TRUE
SLAMF1	1	-0.33033035393599	0.00970383693422617	0.04643979104236812	TRUE
MCP-4	1	-0.4162495372962475	8.049843386798046e-4	0.00899127294058446	TRUE
CCL11	7	-0.47660257661352323	1.874207516109786e-4	7.38658256349151e-4	TRUE
IL-18R1	1	0.32032763508072387	0.00703142341360197	0.03649690091140628	TRUE
IL-18R1	7	0.4677930927256476	1.0318723857583654e-4	4.320965615363154e-4	TRUE
PD-L1	1	0.367600362246729	0.00230012460230597	0.02152152322092082	TRUE
PD-L1	7	0.6728570680872639	4.2504879894799855e-8	3.559783691189488e-7	TRUE
CXCL5	7	-0.34898394555757944	0.00674027768855483	0.01612852161189906	TRUE
TRANCE	7	-0.8630314228831191	2.384718846767672e-13	5.325872091114467e-12	TRUE
HGF	7	0.5948546731639109	4.477505591082422e-6	2.7272079509320205e-5	TRUE
IL-12B	7	-0.46561793957720965	1.0627671819567046e-5	5.9337834325916e-5	TRUE
IL10	1	0.42130416544762156	3.4273186896745933e-4	0.00574075880520494	TRUE
IL10	7	0.3727096044906703	0.00181788375085461	0.00507492547113578	TRUE
CCL23	1	0.35616320348262914	0.00406215244989687	0.03024046823812114	TRUE
CCL23	7	0.2957607182796263	0.0185815861064915	0.03772625057984639	TRUE
CD5	7	-0.3598543973860784	0.00358333610610868	0.00960334076437128	TRUE
Flt3L	7	-0.33923166284995926	0.00557278607968576	0.01382876545699801	TRUE
CXCL6	7	-0.3328092797297972	0.0095529237031273	0.02207054786584584	TRUE
CXCL10	1	0.4514056187170078	3.215707297150975e-5	0.00107726194454557	TRUE
CXCL10	7	0.6787421053664108	8.840424841392365e-10	1.4807711609332212e-8	TRUE
DNER	7	-0.45123690336346367	2.638654599666392e-4	9.821658787647126e-4	TRUE
EN-RAGE	1	0.3437499985196872	0.00619191272839855	0.03649690091140628	TRUE
EN-RAGE	7	0.5225471108815327	4.419132346016997e-5	2.1148704798795628e-4	TRUE
CD40	7	0.2904678007867864	0.0230900178207321	0.04297308872191809	TRUE
IFN-gamma	7	0.2922444250052628	0.0128531239625727	0.02870531018307903	TRUE
MCP-2	1	0.3453938834495599	0.00256973411593084	0.02152152322092082	TRUE
MCP-2	7	0.2685002033687842	0.02042980880385654	0.0391084911388111	TRUE
CCL25	7	-0.41285454048991205	0.00126089899831308	0.00396878067116019	TRUE
CX3CL1	7	0.41455645644366057	0.00130318171291827	0.00396878067116019	TRUE
TNFRSF9	7	-0.291693109515914	0.01442222217065417	0.0311706092075429	TRUE
TWEAK	7	-0.4099048516464401	0.00137956655111538	0.00401873734455349	TRUE
CCL20	1	0.40937225801901556	8.051886215448771e-4	0.00899127294058446	TRUE
CCL20	7	0.6919892704443367	2.764145967256611e-8	3.0866296634365484e-7	TRUE
TNFB	7	-0.4845573987712697	5.153807883964273e-5	2.3020341881707085e-4	TRUE
CSF-1	7	0.35100699895006965	0.0037821169704844	0.00974622450086364	TRUE
