Assay	Day	more_diff	more_p	more_p_adj	more_sig	UniProt	n_no	n_yes	median_no	median_yes	save_diff	save_p	save_p_adj	save_sig_fdr	save_sig_p	same_direction	overlap_fdr	overlap_p
CXCL10	1	0.4514056187170078	3.215707297150975e-5	0.00107726194454557	TRUE	P02778	125	16	4.7249	5.6362000000000005	0.9113000000000007	2.2522243369319493e-4	0.014864680623750865	TRUE	TRUE	TRUE	TRUE	TRUE
CD5	1	NA	NA	NA	NA	P06127	131	18	1.3087	0.70015	-0.6085499999999999	0.00536589227359574	0.17707444502865943	FALSE	TRUE	FALSE	FALSE	NA
IL18	1	NA	NA	NA	NA	Q14116	125	16	1.1345	0.55255	-0.5819500000000001	0.011558050423096322	0.2542771093081191	FALSE	TRUE	FALSE	FALSE	NA
LIF-R	1	NA	NA	NA	NA	P42702	128	18	1.00315	1.2075	0.20435000000000003	0.02244567067022288	0.30796486213168817	FALSE	TRUE	FALSE	FALSE	NA
MCP-3	1	0.3346801111603087	0.00462510770343998	0.03098822161304791	TRUE	P80098	128	18	3.9379	4.5032	0.5652999999999997	0.02502144857560297	0.30796486213168817	FALSE	TRUE	TRUE	FALSE	TRUE
TRANCE	1	NA	NA	NA	NA	O14788	128	18	-2.1778500000000003	-2.5693	-0.39144999999999985	0.027996805648335288	0.30796486213168817	FALSE	TRUE	FALSE	FALSE	NA
AXIN1	1	NA	NA	NA	NA	O15169	128	18	1.93655	1.35775	-0.5788	0.042683732354229065	0.36495339827895357	FALSE	TRUE	FALSE	FALSE	NA
OPG	1	0.2978141416633536	0.00708148823654151	0.03649690091140628	TRUE	O00300	125	16	0.7821	1.0667	0.28459999999999996	0.04423677554896407	0.36495339827895357	FALSE	TRUE	TRUE	FALSE	TRUE
ST1A1	1	NA	NA	NA	NA	P50225	132	18	2.42295	1.5901	-0.8328500000000001	0.054484889792448143	0.38910406353725896	FALSE	FALSE	FALSE	FALSE	FALSE
VEGFA	1	NA	NA	NA	NA	P15692	135	18	1.5946	1.3071000000000002	-0.28749999999999987	0.05895516114200894	0.38910406353725896	FALSE	FALSE	FALSE	FALSE	FALSE
CXCL5	1	NA	NA	NA	NA	P42830	125	18	2.6432	1.8782999999999999	-0.7649000000000004	0.07707315859601738	0.4557079327181095	FALSE	FALSE	FALSE	FALSE	FALSE
PD-L1	1	0.367600362246729	0.00230012460230597	0.02152152322092082	TRUE	Q9NZQ7	129	18	1.7932	2.1481	0.3549	0.082855987766929	0.4557079327181095	FALSE	FALSE	TRUE	FALSE	FALSE
IL-18R1	1	0.32032763508072387	0.00703142341360197	0.03649690091140628	TRUE	Q13478	135	18	1.2757	1.514	0.23829999999999996	0.10472267370789602	0.5133611691774267	FALSE	FALSE	TRUE	FALSE	FALSE
