Protein	Protein_label	Source	Arm	AUC	CI_lower	CI_upper	Direction	Threshold_in_sample	Sensitivity_in_sample	Specificity_in_sample	Threshold_cv	Sensitivity_cv	Specificity_cv	n_cv_folds	n	n_srf
4E-BP1	4E-BP1	Olink	Placebo	0.5912356321839081	0.48887837177170246	0.6935928925961135	<	-0.008611261787448646	0.6944444444444444	0.49137931034482757	0.030257408475602765	0.5785714285714285	0.42427536231884055	5	152	36
ADA	ADA	Olink	Placebo	0.6127873563218391	0.5081457120315934	0.7174290006120846	<	0.16990652693209202	0.6111111111111112	0.5948275862068966	0.6806325435659101	0.32857142857142857	0.6065217391304347	5	152	36
AXIN1	AXIN1	Olink	Placebo	0.5917145593869731	0.49162491239350153	0.6918042063804448	>	0.5621502347687715	0.9722222222222222	0.23275862068965517	0.04170503441053467	0.6	0.44166666666666665	5	152	36
CASP-8	CASP-8	Olink	Placebo	0.5428639846743295	0.443856333345964	0.6418716360026949	<	-0.31514271811440997	0.8055555555555556	0.43103448275862066	-0.4306525862196765	0.8142857142857143	0.3789855072463768	5	152	36
CCL11	CCL11	Olink	Placebo	0.5493295019157088	0.44551735785446966	0.653141645976948	>	-0.5557403789232915	0.5	0.6379310344827587	-0.3097882289768504	0.4928571428571428	0.5003623188405797	5	152	36
CCL19	CCL19	Olink	Placebo	0.49377394636015326	0.3919714963277425	0.595576396392564	<	-0.580580266099415	0.8888888888888888	0.20689655172413793	-0.6519121768294383	0.8178571428571428	0.13804347826086957	5	152	36
CCL20	CCL20	Olink	Placebo	0.6513409961685824	0.5540311966951481	0.7486507956420168	<	-0.2402929038225815	0.9444444444444444	0.31896551724137934	-0.033201803726523205	0.7	0.37826086956521743	5	152	36
CCL23	CCL23	Olink	Placebo	0.5490900383141762	0.43871153659157863	0.6594685400367739	<	0.5186813133153675	0.5833333333333334	0.6293103448275862	0.5582606278648118	0.5035714285714286	0.6282608695652174	5	152	36
CCL25	CCL25	Olink	Placebo	0.492816091954023	0.3935870763007323	0.5920451076073137	>	1.124031937389095	0.9166666666666666	0.20689655172413793	1.0016308040569788	0.7714285714285715	0.19021739130434784	5	152	36
CCL3	CCL3	Olink	Placebo	0.5186781609195402	0.4155559561195665	0.6218003657195139	<	-0.4744541921177715	0.6388888888888888	0.49137931034482757	-0.5340542578193255	0.5	0.4221014492753623	5	152	36
CCL4	CCL4	Olink	Placebo	0.5347222222222222	0.4221272441913419	0.6473172002531025	>	-0.6907987651544796	0.4166666666666667	0.7155172413793104	-0.7538192640039758	0.30357142857142855	0.7235507246376811	5	152	36
CD244	CD244	Olink	Placebo	0.5783045977011494	0.4774742545399785	0.6791349408623203	>	0.1342760363316745	0.75	0.5086206896551724	0.1672265634487988	0.7464285714285714	0.4742753623188406	5	152	36
CD40	CD40	Olink	Placebo	0.5871647509578544	0.48389391653206926	0.6904355853836397	<	0.02896927298538785	0.5555555555555556	0.6293103448275862	-0.2518383610257846	0.6107142857142857	0.45869565217391306	5	152	36
CD5	CD5	Olink	Placebo	0.5124521072796935	0.40622910459870704	0.61867510996068	>	-0.1866219263053255	0.5555555555555556	0.5603448275862069	0.10695597739524311	0.6	0.3898550724637681	5	152	36
CD6	CD6	Olink	Placebo	0.5488505747126436	0.4446435941466209	0.6530575552786664	>	0.643846450271299	0.9166666666666666	0.2413793103448276	0.6676094878605219	0.8285714285714285	0.2246376811594203	5	152	36
CD8A	CD8A	Olink	Placebo	0.5296934865900383	0.4134767384641255	0.6459102347159511	<	0.5331481568662939	0.4722222222222222	0.6637931034482759	0.5009278811067812	0.4178571428571428	0.6134057971014493	5	152	36
