term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
PD.L1	1.062931983095758	0.15882301520126124	0.3842712055074816	0.7007774473939143	0.7786012189841014	1.4510950832597544	Anakinra
IL6	1.9666078499604198	0.19627806883088175	3.4456735743578495	5.696380028233977e-4	1.3385838263943433	2.8892822095002484	Anakinra
MCP.3	1.2298317070857598	0.2125602096392288	0.9732646428357858	0.33042179030723073	0.8108006855160769	1.8654227293737087	Anakinra
MCP.1	1.02771556749793	0.19544974430360765	0.1398745418298699	0.8887591161954782	0.7006575580773876	1.5074400832495338	Anakinra
CD244	1.1177528063574032	0.15985355426267753	0.6963889377522723	0.4861852889235465	0.817105581044786	1.52902068606893	Anakinra
TNFB	0.7223832833715539	0.17188800594621853	-1.8919261746144231	0.05850081778890793	0.5157703253085022	1.0117635359935364	Anakinra
Age	1.0086199926619908	0.012570284383757646	0.6828049702891463	0.4947300885741501	0.9840739306159564	1.03377831476616	Anakinra
cbmi	1.0583758928288036	0.026779462398677425	2.1186219394495986	0.034122430081211394	1.0042578135779354	1.1154103213101234	Anakinra
GenderMale	0.8692170582311849	0.3009758183847767	-0.4656932451789074	0.6414350880804455	0.4818780670617005	1.5679034717787532	Anakinra
DEXcorrectedYes	14.155898065486983	1.0176619185830356	2.604137300674563	0.009210585056466044	1.9262028944120262	104.03340718768206	Anakinra
