term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
PD.L1	2.7843401612902583	0.24692688363667026	4.147020787280933	3.3682949180067485e-5	1.7160808590895558	4.517590236328885	Placebo
IL6	1.455391230001889	0.26909484437542774	1.3945817206204247	0.16314201047886978	0.8588667834474133	2.466230704445566	Placebo
MCP.3	1.3802142923235143	0.27982790169574134	1.1515605465123686	0.24950170168349545	0.7975475376294038	2.388561687992185	Placebo
MCP.1	1.1270556973014	0.2770919410810296	0.43165692305195336	0.6659907801135984	0.6547632426875495	1.9400211588018323	Placebo
CD244	0.7465112609797238	0.26216722901153966	-1.1151072473185943	0.26480446620891124	0.44655937719420624	1.2479394482117874	Placebo
TNFB	0.704384850785345	0.1721812275626544	-2.0352416700887086	0.04182656210558802	0.5026307801129021	0.9871222329528735	Placebo
Age	0.9955743400899447	0.0159443955710878	-0.278184401139131	0.7808708085424011	0.9649433121949573	1.027177715124962	Placebo
cbmi	1.0627982209449807	0.03843016334150661	1.584829614925292	0.11300505178788968	0.9856869446983694	1.1459419895121643	Placebo
GenderMale	1.7485711575082343	0.4129604168412078	1.3531538380442991	0.17600648904774216	0.7783425383522926	3.92822047133932	Placebo
DEXcorrectedYes	3.5063866226320113	0.784991517122908	1.5982160668238752	0.10999489923458307	0.7527899456454192	16.332241441975665	Placebo
