term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	protein
PD.L1	1.062931983095758	0.15882301520126124	0.3842712055074816	0.7007774473939143	0.7786012189841014	1.4510950832597544	Anakinra	PD-L1
IL6	1.9666078499604198	0.19627806883088175	3.4456735743578495	5.696380028233977e-4	1.3385838263943433	2.8892822095002484	Anakinra	IL-6
MCP.3	1.2298317070857598	0.2125602096392288	0.9732646428357858	0.33042179030723073	0.8108006855160769	1.8654227293737087	Anakinra	MCP-3
MCP.1	1.02771556749793	0.19544974430360765	0.1398745418298699	0.8887591161954782	0.7006575580773876	1.5074400832495338	Anakinra	MCP-1
CD244	1.1177528063574032	0.15985355426267753	0.6963889377522723	0.4861852889235465	0.817105581044786	1.52902068606893	Anakinra	CD244
TNFB	0.7223832833715539	0.17188800594621853	-1.8919261746144231	0.05850081778890793	0.5157703253085022	1.0117635359935364	Anakinra	TNF-B
PD.L1	2.7843401612902583	0.24692688363667026	4.147020787280933	3.3682949180067485e-5	1.7160808590895558	4.517590236328885	Placebo	PD-L1
IL6	1.455391230001889	0.26909484437542774	1.3945817206204247	0.16314201047886978	0.8588667834474133	2.466230704445566	Placebo	IL-6
MCP.3	1.3802142923235143	0.27982790169574134	1.1515605465123686	0.24950170168349545	0.7975475376294038	2.388561687992185	Placebo	MCP-3
MCP.1	1.1270556973014	0.2770919410810296	0.43165692305195336	0.6659907801135984	0.6547632426875495	1.9400211588018323	Placebo	MCP-1
CD244	0.7465112609797238	0.26216722901153966	-1.1151072473185943	0.26480446620891124	0.44655937719420624	1.2479394482117874	Placebo	CD244
TNFB	0.704384850785345	0.1721812275626544	-2.0352416700887086	0.04182656210558802	0.5026307801129021	0.9871222329528735	Placebo	TNF-B
