term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	protein
PD.L1	1.4502209330140308	0.13674572554705325	2.7183000487550766	0.006561830286369773	1.1092667542747987	1.8959738461890967	Anakinra	PD-L1
IL6	2.0384562079565676	0.14761435231810693	4.824685061976577	1.4022466450524045e-6	1.5263418829775606	2.72239382152744	Anakinra	IL-6
MCP.3	1.8165143141214055	0.1588523707281049	3.757699365567523	1.7148273015522243e-4	1.3305262321070752	2.4800144287139556	Anakinra	MCP-3
MCP.1	1.4401199712862238	0.1417663413394747	2.572729323932934	0.0100900085551301	1.0907543272797458	1.9013864807391496	Anakinra	MCP-1
CD244	0.8035160220616736	0.14296876632502456	-1.5301115011927788	0.12598913188475788	0.6071546234077055	1.0633831528550657	Anakinra	CD244
TNFB	0.6374816376683178	0.13844856711050668	-3.2519643606175146	0.00114610391754852	0.4859818452317032	0.8362099167933482	Anakinra	TNF-B
PD.L1	2.154747893209835	0.18664215333521192	4.113077973462226	3.904184424443803e-5	1.4946048107582914	3.106465635512451	Placebo	PD-L1
IL6	2.2596902260916276	0.2121952053787921	3.8418763248358117	1.2209735726616673e-4	1.4908296477314984	3.4250726940290015	Placebo	IL-6
MCP.3	2.4348367550415966	0.19403268110125418	4.586236237039609	4.513079257151526e-6	1.664596324774435	3.5614821055818666	Placebo	MCP-3
MCP.1	1.7856492890709086	0.17689998145144634	3.2774570789277093	0.0010474665424221204	1.2624629105574747	2.5256531157429833	Placebo	MCP-1
CD244	0.8314946130043338	0.17328540818728533	-1.0648932356642922	0.2869242464378884	0.5920503375241328	1.1677778858238468	Placebo	CD244
TNFB	0.7045897174019687	0.1710615467123155	-2.0468633274770163	0.04067150569183541	0.5038815404115068	0.9852448046879257	Placebo	TNF-B
