Assay	term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	adj.p.value
IL8	NPX_scaled	1.2712431278784262	0.10207358048101724	2.351198629815597	0.01871304152734693	1.0407428333770334	1.552793868331803	univariate_protein	0.05970351344439259
VEGFA	NPX_scaled	1.0617111526219076	0.10963671156616682	0.5461847644041247	0.5849389378899905	0.8564133750944392	1.3162225210196379	univariate_protein	0.7124137403493875
CD8A	NPX_scaled	0.9615177653746559	0.10794780887545057	-0.3635297261157139	0.7162092113466133	0.7781654980464727	1.188071708977078	univariate_protein	0.7616828120670331
MCP-3	NPX_scaled	2.0625245873302545	0.12435033820532555	5.821703187410064	5.8250931071561595e-9	1.6164115115818745	2.6317603177539377	univariate_protein	1.9514061908973134e-7
CDCP1	NPX_scaled	1.155367223690487	0.10650329333624994	1.3559978429393234	0.17509985437099831	0.9377007758650147	1.4235601120697203	univariate_protein	0.30783013713407914
CD244	NPX_scaled	0.8093185353575132	0.11029078502479767	-1.9182264388188484	0.05508230520218688	0.6519882972185292	1.0046138779906548	univariate_protein	0.14194286340563544
IL7	NPX_scaled	0.8856286241607259	0.10530333765851525	-1.1534067109301633	0.24874348825428463	0.7204722886196526	1.0886443133510764	univariate_protein	0.37876849347811525
OPG	NPX_scaled	1.4720913294768174	0.10482032749308612	3.689017885286079	2.2512139489236854e-4	1.198702828813645	1.8078316245116013	univariate_protein	0.001077366675556335
LAP TGF-beta-1	NPX_scaled	0.9457415944042611	0.108180927020988	-0.5156722612868955	0.6060833313420162	0.7650480596627568	1.1691123872408604	univariate_protein	0.7124137403493875
uPA	NPX_scaled	1.2723864468440516	0.10840595680076909	2.222149375348473	0.026273212390124374	1.0288302303417673	1.5736000190960808	univariate_protein	0.08001387409719696
IL6	NPX_scaled	2.1022642757938947	0.11905612835669312	6.240879832771434	4.351164327877159e-10	1.664740518780723	2.654777147201377	univariate_protein	2.9152800996776963e-8
MCP-1	NPX_scaled	1.582236740191409	0.11062702484672686	4.147625816783975	3.359408615767995e-5	1.273812688278957	1.965338487398778	univariate_protein	2.4360980351536575e-4
CXCL11	NPX_scaled	1.2536279970976143	0.11159164893548483	2.025615243834165	0.042804228180809444	1.0073530340415704	1.5601116013932825	univariate_protein	0.11477489834617775
AXIN1	NPX_scaled	0.8340721260908903	0.10577292099390995	-1.7153293729103907	0.08628485620523331	0.6779060879883939	1.0262134001276124	univariate_protein	0.20646733449109397
TRAIL	NPX_scaled	0.8677682930610805	0.10782267976221026	-1.3154054763649614	0.1883736660074216	0.7024654134663625	1.0719699447212712	univariate_protein	0.30783013713407914
CXCL9	NPX_scaled	1.498584713436703	0.10191610066436944	3.9691583144992446	7.21269513307504e-5	1.227241848178953	1.8299214182424905	univariate_protein	4.393187035600252e-4
CST5	NPX_scaled	0.9248987055317406	0.10709492268762577	-0.7289893212498075	0.4660081947086888	0.7497816513334488	1.1409156438717019	univariate_protein	0.6122068440290618
OSM	NPX_scaled	1.1845684593869699	0.10852540586566355	1.5607270723071107	0.11858816081432803	0.957597871067712	1.465335792162803	univariate_protein	0.24829396170499932
CXCL1	NPX_scaled	1.103676670511994	0.10968599179820904	0.8993585455130481	0.36846171237999964	0.8901782463719582	1.3683800946574247	univariate_protein	0.525253930414042
CCL4	NPX_scaled	1.0144260804583107	0.10683313459300402	0.1340690288258615	0.8933479899216963	0.8227802856575969	1.250710901381828	univariate_protein	0.9208356203808253
