Assay	term	Sum Sq	Mean Sq	NumDF	DenDF	F value	Pr(>F)	adj.p.value
IL8	Day	34.28029981023422	17.14014990511711	2	1074.7938632911053	28.574558769078017	8.107858571504771e-13	1.6461409826994535e-12
IL8	srf14	6.683016141706773	6.683016141706773	1	588.9351430361174	11.1413399855322	8.975008774754627e-4	0.0019397599609953548
IL8	DEXcorrected	0.9548156991144989	0.9548156991144989	1	573.9799661196762	1.5917852211922734	0.207583733684687	0.27270804229164763
IL8	cbmi	2.1765930980926678	2.1765930980926678	1	570.8629665830044	3.6286256387553797	0.05729595889316176	0.15355316983367354
IL8	Age	3.1820515590541665	3.1820515590541665	1	572.9095831777133	5.304838043060765	0.02162352943940523	0.041393613498290016
IL8	Gender	1.4727108468176597	1.4727108468176597	1	576.3113116653016	2.455174714060492	0.11768701850292859	0.19337527493142997
IL8	Day:srf14	1.9569511456286017	0.9784755728143009	2	1074.795131223887	1.631228893228194	0.19617303903995292	0.31294270513516304
VEGFA	Day	0.24464861378824343	0.12232430689412171	2	1045.2797758329154	0.35990367182279265	0.6978299649762367	0.7084031462637554
VEGFA	srf14	1.341668764702925	1.341668764702925	1	588.114282218746	3.9474698614436825	0.04740545527836699	0.07386431403838578
VEGFA	DEXcorrected	1.7404301754569564	1.7404301754569564	1	578.139936948036	5.120709257239592	0.024012065811631726	0.04731789439350958
VEGFA	cbmi	0.001350937807026968	0.001350937807026968	1	576.4293933750284	0.003974741320824126	0.949752088257882	0.9846123066565189
VEGFA	Age	0.1306205161856214	0.1306205161856214	1	578.1329391696478	0.38431285313788083	0.5355483166989021	0.6081650376072278
VEGFA	Gender	0.17458334550119353	0.17458334550119353	1	580.4307165076693	0.5136606834761982	0.4738467319483949	0.5669237685811153
VEGFA	Day:srf14	2.1657251249758946	1.0828625624879473	2	1045.2856928376684	3.1860079342708194	0.04173829038086635	0.1255862774344182
CD8A	Day	21.200328400678856	10.600164200339428	2	1051.9578164390298	23.994183789874338	6.458794515803115e-11	1.1466314425029292e-10
