Assay	term	Sum Sq	Mean Sq	NumDF	DenDF	F value	Pr(>F)	adj.p.value
MCP-3	Day:srf14	10.470773233835367	5.235386616917683	2	1048.80524084199	13.708351195618071	1.3274649386498626e-6	1.778803017790816e-5
CD244	Day:srf14	10.277065905109465	5.1385329525547325	2	1053.2249094487856	13.805465448438547	1.206716107138468e-6	1.778803017790816e-5
IL6	Day:srf14	14.095412685014939	7.047706342507469	2	1056.2332871349886	18.132266997072822	1.8089427459292768e-8	6.059958198863077e-7
TRAIL	Day:srf14	5.138155703636301	2.5690778518181503	2	1047.520106327	5.180975620773425	0.0057674885819375	0.021467874166100697
CD6	Day:srf14	9.60854938494794	4.80427469247397	2	1054.4842881515942	11.825438710303196	8.33728155602183e-6	7.97996948933518e-5
SCF	Day:srf14	4.675027025715437	2.3375135128577185	2	1041.1429679057976	6.9971872014027525	9.580806988410616e-4	0.00493780052479624
TGF-alpha	Day:srf14	6.241867130399581	3.1209335651997905	2	1052.315291183962	6.080782035790736	0.0023675188730493454	0.011330268892450437
MCP-4	Day:srf14	4.329011146372921	2.1645055731864606	2	1036.4453048672328	7.813374755638664	4.2856931291224446e-4	0.002871414396512038
LIF-R	Day:srf14	4.991101846427919	2.4955509232139597	2	1048.0099874421833	5.754188995098142	0.0032704603345190117	0.01369505265079836
PD-L1	Day:srf14	3.3960664565213063	1.6980332282606532	2	1049.4364879852064	5.109177538813279	0.006192206320242462	0.021835674918749735
TRANCE	Day:srf14	10.040096523425898	5.020048261712949	2	1065.0971541683778	11.83773929748163	8.226995738581587e-6	7.97996948933518e-5
HGF	Day:srf14	6.347796218238638	3.173898109119319	2	1066.0508961744997	5.995141491672985	0.0025755881747368476	0.011504293847157919
IL-12B	Day:srf14	12.590607028409854	6.295303514204927	2	1059.9444830507096	19.32663781525169	5.701237522475393e-9	3.819829140058513e-7
CD5	Day:srf14	5.041785661110226	2.520892830555113	2	1060.1949663384576	5.612039774893077	0.003762991599896521	0.014830613952533349
Flt3L	Day:srf14	7.127771866439103	3.5638859332195514	2	1066.4835347457288	7.258689440944721	7.393573227231043e-4	0.004503358238404362
DNER	Day:srf14	13.045624961791884	6.522812480895942	2	1052.3941292231036	17.10493200355435	4.893361732906979e-8	1.0928507870158919e-6
EN-RAGE	Day:srf14	10.753390713169308	5.376695356584654	2	1068.2263718075753	10.219474686380465	4.014804548598191e-5	3.362398809450985e-4
CCL25	Day:srf14	5.925318279882179	2.9626591399410893	2	1044.1994846668545	8.021480117614079	3.4898432868353947e-4	0.0025979944468663497
TNFB	Day:srf14	5.417852222017633	2.7089261110088163	2	1052.8323779993716	7.127006516144639	8.42453333493582e-4	0.0047036977786724995
